ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,keep_open,_plan_date
LINT,INTC,1.988265,85,ols,0.132268,-0.095868,0.228136,15000,0.228136,False,False,False,True,False,False,False,False,True,False,False,False,1.406755,0.601709,0.62184,0.379905,0.45472,0.373573,0.226584,0.49706625,0.5964794999999999,0.5,0.5964794999999999,0.373573,net_decay_annual,0.228136,ETF_LS,6063.328621682297,-3049.5575900004765,6063.328621682297,-3049.5575900004765,17519.131759746993,0.0,-0.0,17519.131759746993,core_leveraged,0.5,1.0,9112.886211682771,1.0,0.0,,False,0.0,0.0,9070.632239042465,6035.214617431775,-3035.4176216106885,6035.214617431775,-3035.4176216106885,haircut,haircut,-42.25397264031017,1.004658327173539,False,2026-03-26
ELIL,LLY,1.99157,249,ols,0.0885249999999999,-0.052125,0.14065,15000,0.14065,False,False,False,True,False,False,False,False,True,False,False,False,0.844143,0.28471,0.372884,0.137289,0.282955,0.14406,0.142305,0.4978925,0.597471,0.5,0.597471,0.14406,net_decay_annual,0.14065,ETF_LS,936.3647778338138,-470.16413072792506,936.3647778338138,-470.16413072792506,936.3647778338138,0.0,-0.0,936.3647778338138,core_leveraged,0.5,1.0,1406.5289085617387,1.0,0.0,,False,0.0,0.0,1400.007216900102,932.0231092575928,-467.9841076425095,932.0231092575928,-467.9841076425095,haircut,haircut,-6.521691661636623,1.0046583271735392,False,2026-03-26
METU,META,1.999286,450,ols,0.081616,-0.045216,0.126832,100000,0.126832,False,False,False,True,False,False,False,False,True,False,False,False,0.704597,0.236909,0.352202,0.123913,0.236909,0.110077,0.110077,0.4998215,0.5997857999999999,0.5,0.5997857999999999,0.110077,net_decay_annual,0.126832,ETF_LS,525.6750776242797,-262.93140532384047,525.6750776242797,-262.93140532384047,3745.859111790584,0.0,-0.0,3745.859111790584,core_leveraged,0.5,1.0,788.6064829481202,1.0,0.0,,False,0.0,0.0,784.949929362304,523.2376653893772,-261.7122639729269,523.2376653893772,-261.7122639729269,haircut,haircut,-3.656553585816141,1.0046583271735392,False,2026-03-26
MRVU,MRVL,2.019626,28,ols_short_history,0.049509,-0.0131089999999999,0.062618,8000,0.062618,False,False,False,True,False,False,False,False,True,False,False,False,1.353121,0.510657,0.632695,0.412165,0.423109,0.448039,0.360491,0.5049065,0.6058878,0.5049065,0.6058878,0.448039,net_decay_annual,0.062618,ETF_LS,10396.83830305047,-5147.902781530081,10396.83830305047,-5147.902781530081,15744.001247471024,0.0,-0.0,15744.001247471024,core_leveraged,0.5,1.0,15544.741084580552,1.0,0.0,,False,0.0,0.0,15472.664351783586,10348.630994081808,-5124.033357701776,10348.630994081808,-5124.033357701776,haircut,haircut,-72.0767327969661,1.0046583271735392,False,2026-03-26
MSFU,MSFT,1.992366,500,ols,0.0362139999999999,0.000186,0.036028,100000,0.036028,False,False,False,True,False,False,False,False,True,False,False,False,0.478243,0.164885,0.239798,0.056846,0.164885,0.128857,0.128857,0.4980915,0.5977098,0.5,0.5977098,0.128857,net_decay_annual,0.036028,ETF_LS,1107.1542683347868,-555.6982343278227,1107.1542683347868,-555.6982343278227,2300.351455187571,0.0,-0.0,2300.351455187571,core_leveraged,0.5,1.0,1662.8525026626094,1.0,0.0,,False,0.0,0.0,1655.1423082719118,1102.0206953836782,-553.1216128882335,1102.0206953836782,-553.1216128882335,haircut,haircut,-7.710194390697552,1.0046583271735392,False,2026-03-26
MUU,MU,1.99422,363,ols,0.040108,-0.003708,0.043816,400000,0.043816,False,False,False,True,False,False,False,False,True,False,False,False,1.256294,0.509354,0.602004,0.359273,0.509354,0.4655379999999999,0.4655379999999999,0.498555,0.598266,0.5,0.598266,0.4655379999999999,net_decay_annual,0.043816,ETF_LS,11409.019376174409,-5721.043503813225,11409.019376174409,-5721.043503813225,20814.98747290425,0.0,-0.0,20814.98747290425,core_leveraged,0.5,1.0,17130.062879987632,1.0,0.0,,False,0.0,0.0,17050.635441583992,11356.11885910709,-5694.516582476903,11356.11885910709,-5694.516582476903,haircut,haircut,-79.42743840363983,1.0046583271735392,False,2026-03-26
NFXL,NFLX,1.997561,368,ols,,,,0,0.0,False,True,False,False,False,False,False,False,True,False,True,False,0.697742,0.233215,0.330052,0.108536,0.233215,0.233215,0.233215,0.49939025,1.0,0.5,1.0,0.233215,net_decay_annual,,ETF_LS,3545.6415302785467,-1774.985359785532,3545.6415302785467,-1774.985359785532,5657.097634479665,0.0,-0.0,5657.097634479665,core_leveraged,0.5,1.0,5320.626890064078,1.0,0.0,,False,0.0,0.0,5295.956591563713,3529.201355702387,-1766.7552358613266,3529.201355702387,-1766.7552358613266,haircut,haircut,-24.67029850036488,1.0046583271735392,False,2026-03-26
NVDU,NVDA,1.986783,500,ols,0.065389,-0.0289889999999999,0.094378,25000,0.094378,False,False,False,True,False,False,False,False,True,False,False,False,0.979194,0.356133,0.49257,0.237836,0.356133,0.2617549999999999,0.2617549999999999,0.49669575,0.5960348999999999,0.5,0.5960348999999999,0.2617549999999999,net_decay_annual,0.094378,ETF_LS,3686.548689390383,-1855.5366587042383,3686.548689390383,-1855.5366587042383,20158.90404954886,0.0,-0.0,20158.90404954886,core_leveraged,0.5,1.0,5542.085348094621,1.0,0.0,,False,0.0,0.0,5516.388207010115,3669.455166675376,-1846.93304033474,3669.455166675376,-1846.93304033474,haircut,haircut,-25.697141084505347,1.004658327173539,False,2026-03-26
ORCU,ORCL,2.005126,85,ols,0.142262,-0.105862,0.248124,100000,0.248124,False,False,False,True,False,False,False,False,True,False,False,False,1.08426,0.406677,0.512269,0.264441,0.312417,0.158553,0.0642929999999999,0.5012815,0.6015378,0.5012815,0.6015378,0.158553,net_decay_annual,0.248124,ETF_LS,756.0191217405378,-377.0431991508452,756.0191217405378,-377.0431991508452,756.0191217405378,0.0,-0.0,756.0191217405378,core_leveraged,0.5,1.0,1133.062320891383,1.0,0.0,,False,0.0,0.0,1127.808619353298,752.5136668776621,-375.294952475636,752.5136668776621,-375.294952475636,haircut,haircut,-5.253701538085124,1.0046583271735392,False,2026-03-26
PALU,PANW,2.007583,249,ols,0.051376,-0.014976,0.066352,200000,0.066352,False,False,False,True,False,False,False,False,True,False,False,False,0.719031,0.244264,0.341596,0.118018,0.242761,0.177912,0.176409,0.50189575,0.6022749,0.50189575,0.6022749,0.177912,net_decay_annual,0.066352,ETF_LS,1856.470175670739,-924.7289779156026,1856.470175670739,-924.7289779156026,2574.361287290448,0.0,-0.0,2574.361287290448,core_leveraged,0.5,1.0,2781.1991535863417,1.0,0.0,,False,0.0,0.0,2768.3034902132786,1847.8622288371903,-920.441261376088,1847.8622288371903,-920.441261376088,haircut,haircut,-12.895663373063144,1.004658327173539,False,2026-03-26
