ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
PALU,PANW,2.004266,254,ols,0.0529469999999999,200000,0.0529469999999999,False,False,12.657099723815918,0.0529469999999999,1.0,False,True,False,False,False,False,True,False,False,False,0.73429,0.246451,0.346637,0.120927,0.246451,0.193504,0.193504,0.5010665,0.6012797999999999,0.5010665,0.6012797999999999,0.193504,net_decay_annual,0.0529469999999999,ETF_LS,2930.141911550299,-1461.9526108561934,2930.141911550299,-1461.9526108561934,2930.141911550299,0.0,-0.0,2930.141911550299,core_leveraged,0.5,1.0,4392.094522406493,0.1148744453510795,2.0,1.0,0.023877062903545,0.0009143200294504,primary,PALU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,5883.64229265781,3925.213081443553,-1958.4292112142568,3925.213081443553,-1958.4292112142568,haircut,haircut,1491.5477702513172,0.7464924453152738,normal,False,False,False,5883.64229265781,3925.213081443553,-1958.4292112142568,2026-04-01
QCMU,QCOM,2.00203,193,ols,0.031443,20000,0.031443,False,False,14.281100273132324,0.031443,1.0,False,True,False,False,False,False,True,False,False,False,0.644393,0.216307,0.383053,0.147177,0.200122,0.184864,0.168679,0.5005075,0.600609,0.5005075,0.600609,0.184864,net_decay_annual,0.031443,ETF_LS,2570.7378696197484,-1284.0656082175335,2570.7378696197484,-1284.0656082175335,2570.7378696197484,0.0,-0.0,2570.7378696197484,core_leveraged,0.5,1.0,3854.8034778372817,0.1098371890977173,1.0,1.0,0.02095614851902,0.0008024699858806,primary,QCMU,False,,,1.0,0.0,,False,0.0,0.0,2830.823067974075,1887.8534547543288,-942.9696132197464,1887.8534547543288,-942.9696132197464,haircut,haircut,-1023.9804098632068,1.3617253305046844,normal,False,False,False,2830.823067974075,1887.8534547543288,-942.9696132197464,2026-04-01
SHPU,SHOP,2.011967,164,ols,0.050037,35000,0.050037,False,False,13.710000038146973,0.050037,1.0,False,True,False,False,False,False,True,False,False,False,1.022534,0.349928,0.578252,0.340402,0.346601,0.299891,0.296564,0.50299175,0.6035900999999999,0.50299175,0.6035900999999999,0.299891,net_decay_annual,0.050037,ETF_LS,5965.475345946633,-2964.996615723137,5965.475345946633,-2964.996615723137,5965.475345946633,0.0,-0.0,5965.475345946633,core_leveraged,0.5,1.0,8930.47196166977,0.1775202057089789,1.0,1.0,0.0485493742676331,0.0018590923636421,primary,SHPU,False,,,1.0,0.0,,False,0.0,0.0,6586.222899580526,4399.537952640362,-2186.684946940165,4399.537952640362,-2186.684946940165,haircut,haircut,-2344.249062089243,1.3559322388312347,normal,False,False,False,6586.222899580526,4399.537952640362,-2186.684946940165,2026-04-01
SOFA,SOFI,1.995758,34,ols,0.043086,3000,0.043086,False,False,12.81999969482422,0.043086,1.0,False,True,False,False,False,False,True,False,False,False,0.854453,0.339031,0.573339,0.326629,0.328302,0.295945,0.2852159999999999,0.4989395,0.5987273999999999,0.5,0.5987273999999999,0.295945,net_decay_annual,0.043086,ETF_LS,5875.158624930907,-2943.8231613907637,5875.158624930907,-2943.8231613907637,5875.158624930907,0.0,-0.0,5875.158624930907,core_leveraged,0.5,1.0,8818.98178632167,0.1762503945388029,1.0,1.0,0.0479432721183435,0.0018358830042152,primary,SOFA,False,,,1.0,0.0,,False,0.0,0.0,6537.453634574441,4355.216740080813,-2182.2368944936275,4355.216740080813,-2182.2368944936275,haircut,haircut,-2281.528151747229,1.348993397013323,normal,False,False,False,6537.453634574441,4355.216740080813,-2182.2368944936275,2026-04-01
YINN,FXI,2.972916,502,ols,0.017397,1000000,0.017397,False,False,32.04999923706055,0.017397,1.0,False,True,False,False,False,False,True,False,False,False,0.858295,0.370977,0.288011,0.243265,0.370977,0.35358,0.35358,0.743229,0.8918748,0.743229,0.8918748,0.35358,net_decay_annual,0.017397,ETF_LS,5340.295356179947,-1796.315589199273,5340.295356179947,-1796.315589199273,5340.295356179947,0.0,-0.0,5340.295356179947,core_leveraged,0.5,1.0,7136.61094537922,0.156171115617181,1.0,1.0,0.0387972771513993,0.0014856570814829,primary,YINN,False,,,1.0,0.0,,False,0.0,0.0,6912.073474053605,5172.27492959568,-1739.798544457926,5172.27492959568,-1739.798544457926,haircut,haircut,-224.5374713256142,1.0324848212578293,normal,False,False,False,6912.073474053605,5172.27492959568,-1739.798544457926,2026-04-01
MEXX,EWW,2.956819,502,ols,0.045707,700,0.045707,False,False,30.59000015258789,0.045707,1.0,False,True,False,False,False,False,True,False,True,False,0.741947,0.297012,0.250285,0.181224,0.297012,0.251305,0.251305,0.73920475,0.8870456999999999,0.73920475,0.8870456999999999,0.251305,net_decay_annual,0.045707,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,MEXX,False,,,1.0,0.0,,False,0.0,0.0,3596.7807163425323,2687.7725670330665,-909.0081493094664,2687.7725670330665,-909.0081493094664,haircut,haircut,3596.7807163425323,0.0,normal,False,False,False,3596.7807163425323,2687.7725670330665,-909.0081493094664,2026-04-01
KORU,EWY,2.929777,502,ols,0.109929,35000,0.109929,False,False,308.4800109863281,0.109929,1.0,False,True,False,False,False,False,True,False,False,False,0.90605,0.382956,0.308937,0.269806,0.382956,0.273027,0.273027,0.73244425,0.8789331,0.73244425,0.8789331,0.273027,net_decay_annual,0.109929,ETF_LS,3449.823380832428,-1177.5037420364854,3449.823380832428,-1177.5037420364854,3449.823380832428,0.0,-0.0,3449.823380832428,core_leveraged,0.5,1.0,4627.327122868914,0.121921324822471,1.0,1.0,0.0251558749986745,0.0009632893485498,primary,KORU,False,,,1.0,0.0,,False,0.0,0.0,3772.690767230599,2812.664087032053,-960.0266801985453,2812.664087032053,-960.0266801985453,haircut,haircut,-854.6363556383149,1.226532310323879,normal,False,False,False,3772.690767230599,2812.664087032053,-960.0266801985453,2026-04-01
LABU,XBI,2.9881,502,ols,0.1646,90000,0.1646,False,False,170.2949981689453,0.1646,1.0,False,True,False,False,False,False,True,False,False,False,0.79622,0.327811,0.266275,0.210603,0.327811,0.163211,0.163211,0.747025,0.8964300000000001,0.747025,0.8964300000000001,0.163211,net_decay_annual,0.1646,ETF_LS,1373.0149074318613,-459.49429652015033,1373.0149074318613,-459.49429652015033,1373.0149074318613,0.0,-0.0,1373.0149074318613,core_leveraged,0.5,1.0,1832.509203952012,0.071813001696508,1.0,1.0,0.0099622030698267,0.0003814808312476,primary,,False,,,1.0,0.0,,False,0.0,0.0,1093.985992679211,819.6734145895916,-274.31257808961936,819.6734145895916,-274.31257808961936,haircut,haircut,-738.5232112728006,1.6750755642347217,normal,False,False,False,1093.985992679211,819.6734145895916,-274.31257808961936,2026-04-01
SOXL,SOXX,2.961398,502,ols,0.019131,6600000,0.019131,False,False,52.48270034790039,0.019131,1.0,False,True,False,False,False,False,True,False,False,False,1.131231,0.548532,0.381681,0.423091,0.548532,0.529401,0.529401,0.7403495,0.8884194,0.7403495,0.8884194,0.529401,net_decay_annual,0.019131,ETF_LS,10867.33058198892,-3669.6622953040833,10867.33058198892,-3669.6622953040833,10867.33058198892,0.0,-0.0,10867.33058198892,core_leveraged,0.5,1.0,14536.992877293003,0.2345104355370035,1.0,1.0,0.0790285117018223,0.0030262244329854,primary,SOXL,False,,,1.0,0.0,,False,0.0,0.0,14130.315107422315,10563.312976502291,-3567.002130920023,10563.312976502291,-3567.002130920023,haircut,haircut,-406.6777698706883,1.028780516696126,normal,False,False,False,14130.315107422315,10563.312976502291,-3567.002130920023,2026-04-01
CWEB,KWEB,1.987706,502,ols,0.015705,550000,0.015705,False,False,26.395000457763672,0.015705,1.0,False,True,False,False,False,False,True,False,False,False,0.704814,0.190081,0.35431,0.12323,0.190081,0.174376,0.174376,0.4969265,0.5963118,0.5,0.5963118,0.174376,net_decay_annual,0.015705,ETF_LS,2337.3277394488373,-1175.8920783299125,2337.3277394488373,-1175.8920783299125,2337.3277394488373,0.0,-0.0,2337.3277394488373,core_leveraged,0.5,1.0,3513.21981777875,0.1041651874414761,1.0,1.0,0.019099172423348,0.0007313611378057,primary,CWEB,False,,,1.0,0.0,,False,0.0,0.0,2664.2687088686253,1772.5247725949002,-891.7439362737247,1772.5247725949002,-891.7439362737247,haircut,haircut,-848.9511089101247,1.3186432006967606,normal,False,False,False,2664.2687088686253,1772.5247725949002,-891.7439362737247,2026-04-01
