ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.007556,234,ols,0.023611,0.012789,0.010822,25000,0.010822,False,False,False,True,False,False,False,True,False,False,False,False,1.305997,0.497541,0.55694,0.313707,0.48441,0.486719,0.473588,0.501889,0.6022668,0.501889,0.6022668,0.486719,net_decay_annual,0.010822,ETF_LS,26616.77847377909,-13258.299381825009,26616.77847377909,-13258.299381825009,26616.77847377909,0.0,-0.0,26616.77847377909,core_leveraged,0.5,1.0,39875.0778556041,0.2885875217189577,2.0,1.0,0.1136280909229427,0.0085112225945793,primary,AMUU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,49778.28870304401,33227.212446095175,-16551.076256948832,33227.212446095175,-16551.076256948832,haircut,haircut,9903.210847439914,0.8010536098073151,normal,False,False,False,49778.28870304401,33227.212446095175,-16551.076256948832,2026-03-12
AMZU,AMZN,1.984371,500,ols,0.038641,-0.002241,0.040882,250000,0.040882,False,False,False,True,False,False,False,True,False,False,False,False,0.627729,0.214807,0.316122,0.097603,0.214807,0.173925,0.173925,0.49609275,0.5953113,0.5,0.5953113,0.173925,net_decay_annual,0.040882,ETF_LS,4446.204116521041,-2240.6113153845936,4446.204116521041,-2240.6113153845936,4446.204116521041,0.0,-0.0,4446.204116521041,core_leveraged,0.5,1.0,6686.815431905636,0.1040267087733172,2.0,1.0,0.0190547608366544,0.0014272818424558,primary,AMZU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,6117.41143168871,4067.5954296940818,-2049.816001994628,4067.5954296940818,-2049.816001994628,haircut,haircut,-569.4040002169259,1.0930792389191557,normal,False,False,False,6117.41143168871,4067.5954296940818,-2049.816001994628,2026-03-12
AVL,AVGO,1.987316,353,ols,0.048846,-0.0124459999999999,0.061292,200000,0.061292,False,False,False,True,False,False,False,True,False,False,False,False,1.082939,0.380409,0.534254,0.28002,0.380409,0.319117,0.319117,0.496829,0.5961948,0.5,0.5961948,0.319117,net_decay_annual,0.061292,ETF_LS,12842.17694649398,-6462.070927066445,12842.17694649398,-6462.070927066445,12842.17694649398,0.0,-0.0,12842.17694649398,core_leveraged,0.5,1.0,19304.247873560424,0.1906556780064157,3.0,1.0,0.0550094181764129,0.0041204371128197,primary,AVL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-19304.247873560424,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-12
BOEU,BA,1.991408,221,ols,0.04397,-0.00757,0.05154,8000,0.05154,False,False,False,True,False,False,False,True,False,False,False,False,0.580475,0.185189,0.348687,0.12002,0.177172,0.133649,0.125632,0.497852,0.5974224,0.5,0.5974224,0.133649,net_decay_annual,0.05154,ETF_LS,2794.4259431301766,-1403.2412961734492,2794.4259431301766,-1403.2412961734492,2794.4259431301766,0.0,-0.0,2794.4259431301766,core_leveraged,0.5,1.0,4197.667239303626,0.0797251835871598,1.0,1.0,0.0119616798356875,0.0008959802004917,primary,BOEU,False,,,1.0,0.0,,False,0.0,0.0,2600.496756297426,1731.1747660181245,-869.3219902793019,1731.1747660181245,-869.3219902793019,haircut,haircut,-1597.1704830062,1.6141789945088196,normal,False,False,False,2600.496756297426,1731.1747660181245,-869.3219902793019,2026-03-12
CSCL,CSCO,2.026936,178,ols,0.06232,-0.02592,0.08824,10000,0.08824,False,False,False,True,False,False,False,True,False,False,False,False,0.534728,0.191975,0.23576,0.057849,0.152589,0.103735,0.064349,0.506734,0.6080808,0.506734,0.6080808,0.103735,net_decay_annual,0.08824,ETF_LS,1762.7648370846637,-869.6697069294065,1762.7648370846637,-869.6697069294065,1762.7648370846637,0.0,-0.0,1762.7648370846637,core_leveraged,0.5,1.0,2632.43454401407,0.0610654109571839,1.0,1.0,0.0075013900361297,0.0005618857084341,primary,CSCL,False,,,1.0,0.0,,False,0.0,0.0,1294.3802232939822,866.7596117931173,-427.620611500865,866.7596117931173,-427.620611500865,haircut,haircut,-1338.0543207200878,2.0,normal,False,False,False,1294.3802232939822,866.7596117931173,-427.620611500865,2026-03-12
GGLL,GOOGL,1.981755,500,ols,0.037284,-0.000884,0.038168,350000,0.038168,False,False,False,True,False,False,False,True,False,False,False,False,0.590973,0.206846,0.297871,0.086314,0.206846,0.168678,0.168678,0.49543875,0.5945265,0.5,0.5945265,0.168678,net_decay_annual,0.038168,ETF_LS,4219.568481236978,-2129.20794005161,4219.568481236978,-2129.20794005161,4219.568481236978,0.0,-0.0,4219.568481236978,core_leveraged,0.5,1.0,6348.776421288589,0.1009882789616156,2.0,1.0,0.0180914842864997,0.0013551283716731,primary,GGLL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,6871.56286388205,4567.026487190454,-2304.536376691596,4567.026487190454,-2304.536376691596,haircut,haircut,522.7864425934613,0.923920299799438,normal,False,False,False,6871.56286388205,4567.026487190454,-2304.536376691596,2026-03-12
HODU,HOOD,2.007608,75,ols,0.099845,-0.063445,0.16329,15000,0.16329,False,False,False,True,False,False,False,True,False,False,False,False,1.466325,0.654154,0.70642,0.504739,0.549208,0.490864,0.385918,0.501902,0.6022823999999999,0.501902,0.6022823999999999,0.490864,net_decay_annual,0.16329,ETF_LS,0.0,-0.0,0.0,-0.0,37742.68610735374,0.0,-0.0,37742.68610735374,core_leveraged,0.5,1.0,0.0,0.2910395390446673,3.0,2.0,0.161003118610235,0.0120598117048579,not_selected,ROBN,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,77646.44869337088,51829.77022550842,-25816.678467862464,51829.77022550842,-25816.678467862464,haircut,haircut,77646.44869337088,0.0,normal,False,False,False,77646.44869337088,51829.77022550842,-25816.678467862464,2026-03-12
ELIL,LLY,1.992287,239,ols,0.086217,-0.049817,0.136034,7000,0.136034,False,False,False,True,False,False,False,True,False,False,False,False,0.851625,0.280945,0.37022,0.135481,0.273441,0.144911,0.137407,0.49807175,0.5976861,0.5,0.5976861,0.144911,net_decay_annual,0.136034,ETF_LS,3218.0477764770494,-1615.25311186443,3218.0477764770494,-1615.25311186443,3218.0477764770494,0.0,-0.0,3218.0477764770494,core_leveraged,0.5,1.0,4833.30088834148,0.0864146604069434,1.0,1.0,0.0137729825829348,0.0010316544051956,primary,ELIL,False,,,1.0,0.0,,False,0.0,0.0,2239.594065455589,1491.138430867199,-748.4556345883897,1491.138430867199,-748.4556345883897,haircut,haircut,-2593.7068228858907,2.0,normal,False,False,False,2239.594065455589,1491.138430867199,-748.4556345883897,2026-03-12
MSFU,MSFT,1.984501,500,ols,0.034505,0.001895,0.03261,900000,0.03261,False,False,False,True,False,False,False,True,False,False,False,False,0.476119,0.163411,0.23959,0.056076,0.163411,0.130801,0.130801,0.49612525,0.5953503,0.5,0.5953503,0.130801,net_decay_annual,0.03261,ETF_LS,2700.209304749415,-1360.6490018142672,2700.209304749415,-1360.6490018142672,2700.209304749415,0.0,-0.0,2700.209304749415,core_leveraged,0.5,1.0,4060.858306563682,0.0782298635433134,1.0,1.0,0.0115718288639919,0.0008667787207179,primary,MSFU,False,,,1.0,0.0,,False,0.0,0.0,2678.8989116227367,1781.2952882288305,-897.6036233939063,1781.2952882288305,-897.6036233939063,haircut,haircut,-1381.9593949409457,1.5158684371945288,normal,False,False,False,2678.8989116227367,1781.2952882288305,-897.6036233939063,2026-03-12
MUU,MU,1.9939,353,ols,0.031303,0.005097,0.0262059999999999,90000,0.0262059999999999,False,False,False,True,False,False,False,True,False,False,False,False,1.258375,0.507091,0.607103,0.365208,0.507091,0.4808849999999999,0.4808849999999999,0.498475,0.59817,0.5,0.59817,0.4808849999999999,net_decay_annual,0.0262059999999999,ETF_LS,26235.74450709649,-13158.00416625532,26235.74450709649,-13158.00416625532,26235.74450709649,0.0,-0.0,26235.74450709649,core_leveraged,0.5,1.0,39393.74867335181,0.2865917606590879,2.0,1.0,0.1122564944515106,0.0084084842419107,primary,MUU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,50710.5610171658,33772.60015769627,-16937.96085946952,33772.60015769627,-16937.96085946952,haircut,haircut,11316.812343813988,0.7768351973076538,normal,False,False,False,50710.5610171658,33772.60015769627,-16937.96085946952,2026-03-12
