ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
UECG,UEC,1.995753,44,ols,0.0618689999999999,800,0.0618689999999999,False,False,10.149999618530272,0.0618689999999999,1.0,False,True,False,False,False,False,False,True,False,1.261933,0.554345,0.75068,0.559936,0.55896,0.4924759999999999,0.497091,0.49893825,0.5987259,0.5,0.5987259,0.4924759999999999,net_decay_annual,0.0618689999999999,ETF_LS,8108.790678921624,-4063.023169160524,8108.790678921624,-4063.023169160524,8108.790678921624,0.0,-0.0,8108.790678921624,core_leveraged,0.5,1.0,12171.813848082144,8108.790678921623,-4063.023169160524,8108.790678921623,-4063.023169160524,12171.813848082144,8108.790678921623,-4063.023169160524,normal,no_locate,12171.813848082147,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1.8189894035458565e-12,1.0000000000000002,False,False,False,2026-04-16
DNNG,DNN,1.976268,44,ols,0.09965,400,0.09965,False,False,13.0,0.09965,1.0,False,True,False,False,False,False,False,True,False,1.123535,0.592732,0.617425,0.367751,0.407033,0.493082,0.3073829999999999,0.494067,0.5928804,0.5,0.5928804,0.493082,net_decay_annual,0.09965,ETF_LS,7879.690685762978,-3987.1569472171686,7879.690685762978,-3987.1569472171686,7879.690685762978,0.0,-0.0,7879.690685762978,core_leveraged,0.5,1.0,11866.847632980149,7879.690685762979,-3987.156947217169,7879.690685762979,-3987.156947217169,11866.847632980149,7879.690685762979,-3987.156947217169,normal,no_locate,11866.847632980149,1.0,0.0,,False,0.0,0.0,haircut,haircut,1.8189894035458565e-12,1.0,False,False,False,2026-04-16
RCAX,RCAT,2.007946,49,ols,0.158698,10000,0.158698,False,False,13.0,0.158698,1.0,False,True,False,False,False,False,False,False,False,2.423804,1.527335,1.165484,1.374586,1.404287,1.368637,1.245589,0.5019865,0.6023838,0.5019865,0.6023838,1.368637,net_decay_annual,0.158698,ETF_LS,48593.651332702175,-24200.67637909693,48593.651332702175,-24200.67637909693,48593.651332702175,0.0,-0.0,48593.651332702175,core_leveraged,0.5,1.0,72794.32771179911,48593.651332702175,-24200.67637909693,48593.651332702175,-24200.67637909693,72794.32771179911,48593.651332702175,-24200.67637909693,normal,,72794.32771179911,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
RDWU,RDW,1.978118,51,ols,0.212848,3000,0.212848,False,False,11.119999885559082,0.212848,1.0,False,True,False,False,False,False,False,False,False,1.899355,1.410664,1.077251,1.122657,1.180944,1.197816,0.968096,0.4945295,0.5934354,0.5,0.5934354,1.197816,net_decay_annual,0.212848,ETF_LS,37651.48771180819,-19033.99479293358,37651.48771180819,-19033.99479293358,37651.48771180819,0.0,-0.0,37651.48771180819,core_leveraged,0.5,1.0,56685.482504741776,37651.48771180819,-19033.99479293358,37651.48771180819,-19033.99479293358,56685.482504741776,37651.48771180819,-19033.99479293358,normal,,56685.482504741776,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
OKLL,OKLO,1.997962,203,ols,,0,0.0,False,True,9.449999809265137,,1.0,False,False,False,False,False,False,False,True,False,2.014589,1.248732,1.052905,1.105222,1.220827,1.248732,1.220827,0.4994905,1.0,0.5,1.0,1.248732,net_decay_annual,,ETF_LS,43667.28033382211,-21855.91134056709,43667.28033382211,-21855.91134056709,43667.28033382211,0.0,-0.0,43667.28033382211,core_leveraged,0.5,1.0,65523.19167438922,43667.28033382213,-21855.9113405671,43667.28033382213,-21855.9113405671,65523.19167438922,43667.28033382213,-21855.9113405671,normal,no_locate,65523.19167438921,1.0,0.0,,False,0.0,0.0,haircut,haircut,1.4551915228366852e-11,0.9999999999999998,False,False,False,2026-04-16
GDXU,GDX,3.041526,500,ols,,0,0.0,False,True,242.6100006103516,,1.0,False,False,False,False,False,False,False,True,False,1.345698,0.705404,0.443471,0.610586,0.705404,0.705404,0.705404,0.7603815,1.0,0.7603815,1.0,0.705404,net_decay_annual,,ETF_LS,13243.66396862622,-4354.282675415636,13243.66396862622,-4354.282675415636,14853.3086552662,0.0,-0.0,14853.3086552662,core_leveraged,0.5,1.0,17597.94664404186,13243.66396862622,-4354.282675415637,13243.66396862622,-4354.282675415637,17597.94664404186,13243.66396862622,-4354.282675415637,normal,no_locate,17597.946644041855,1.0,0.0,,False,0.0,0.0,haircut,haircut,3.637978807091713e-12,0.9999999999999998,False,False,False,2026-04-16
MRNX,MRNA,2.013255,48,ols,0.075905,100,0.075905,False,False,29.549999237060547,0.075905,1.0,False,True,False,False,False,False,False,True,False,1.284966,0.562798,0.645882,0.425494,0.451647,0.486893,0.375742,0.50331375,0.6039765,0.50331375,0.6039765,0.486893,net_decay_annual,0.075905,ETF_LS,5949.168371400833,-2954.9999237060547,5949.168371400833,-2954.9999237060547,5949.168371400833,0.0,-0.0,5949.168371400833,core_leveraged,0.5,1.0,11691.903874510876,7811.74641206217,-3880.157462448706,7811.74641206217,-3880.157462448706,11691.903874510876,7811.74641206217,-3880.157462448706,normal,no_locate,8904.168295106887,1.0,0.0,,False,0.0,0.0,haircut,shares_available,2787.7355794039886,0.7615670117266841,False,False,False,2026-04-16
ZETX,ZETA,2.042995,48,ols,0.113879,800,0.113879,False,False,16.59000015258789,0.113879,1.0,False,True,False,False,False,False,False,True,False,1.500771,0.707412,0.708102,0.534209,0.5672,0.5935330000000001,0.453321,0.51074875,0.6128984999999999,0.51074875,0.6128984999999999,0.5935330000000001,net_decay_annual,0.113879,ETF_LS,10800.646138887172,-5286.672820485206,10800.646138887172,-5286.672820485206,10800.646138887172,0.0,-0.0,10800.646138887172,core_leveraged,0.5,1.0,16087.31895937238,10800.646138887172,-5286.672820485206,10800.646138887172,-5286.672820485206,16087.31895937238,10800.646138887172,-5286.672820485206,normal,no_locate,16087.318959372378,1.0,0.0,,False,0.0,0.0,haircut,haircut,1.8189894035458565e-12,1.0,False,False,False,2026-04-16
LITX,LITE,1.98045,54,ols,0.074993,1100000,0.074993,False,False,38.959999084472656,0.074993,1.0,False,True,False,False,False,False,False,False,False,2.011787,1.359226,0.793605,0.61146,0.771696,1.284233,0.6967030000000001,0.4951125,0.594135,0.5,0.594135,1.284233,net_decay_annual,0.074993,ETF_LS,44861.420712063664,-22652.134975416524,44861.420712063664,-22652.134975416524,44861.420712063664,0.0,-0.0,44861.420712063664,core_leveraged,0.5,1.0,67513.55568748021,44861.42071206368,-22652.13497541653,44861.42071206368,-22652.13497541653,67513.55568748021,44861.42071206368,-22652.13497541653,normal,,67513.5556874802,1.0,0.0,,False,0.0,0.0,haircut,haircut,1.4551915228366852e-11,0.9999999999999998,False,False,False,2026-04-16
WDCX,WDC,2.043203,54,ols,0.13864,35000,0.13864,False,False,48.34000015258789,0.13864,1.0,False,True,False,False,False,False,False,False,False,1.705755,0.764532,0.618711,0.407968,0.484375,0.625892,0.345735,0.51080075,0.6129609,0.51080075,0.6129609,0.625892,net_decay_annual,0.13864,ETF_LS,11690.622228053124,-5721.713519436456,11690.622228053124,-5721.713519436456,11690.622228053124,0.0,-0.0,11690.622228053124,core_leveraged,0.5,1.0,17412.33574748958,11690.622228053124,-5721.713519436456,11690.622228053124,-5721.713519436456,17412.33574748958,11690.622228053124,-5721.713519436456,normal,,17412.33574748958,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
LNOK,NOK,1.962025,58,ols,0.436538,100000,0.436538,False,False,44.367000579833984,0.436538,1.0,False,False,True,False,False,True,True,False,False,0.958397,0.317363,0.435186,0.178735,0.210641,-0.1191749999999999,-0.225897,0.49050625,0.5886075,0.5,0.5886075,-0.1191749999999999,net_decay_annual,0.436538,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-04-16
USGG,USAR,1.997784,63,ols,0.35832,150000,0.35832,False,False,11.239999771118164,0.35832,1.0,False,False,True,False,False,True,True,False,False,2.25823,1.319112,1.334443,1.774823,1.660895,0.960792,1.302575,0.499446,0.5993352,0.5,0.5993352,0.960792,net_decay_annual,0.35832,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-04-16
