ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
TSLL,TSLA,1.992143,500,ols,0.052474,-0.0160739999999999,0.068548,3400000,0.068548,False,False,False,True,False,False,False,True,False,False,False,False,1.244883,0.49938,0.62474,0.385712,0.49938,0.430832,0.430832,0.49803575,0.5976429,0.5,0.5976429,0.430832,net_decay_annual,0.068548,ETF_LS,13009.668058574156,-6530.489055541774,13009.668058574156,-6530.489055541774,43011.41206834121,0.0,-0.0,43011.41206834121,core_leveraged,0.5,1.0,18919.411617516307,12596.38106131752,-6323.030556198787,12596.38106131752,-6323.030556198787,18919.411617516307,12596.38106131752,-6323.030556198787,normal,,19540.15711411593,1.0,0.0,,False,0.0,0.0,haircut,haircut,-620.7454965996221,1.0328099789332197,False,False,False,2026-03-18
YINN,FXI,2.973571,500,ols,0.0231809999999999,0.013219,0.0099619999999999,250000,0.0099619999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.854304,0.365735,0.286601,0.241022,0.365735,0.355773,0.355773,0.74339275,0.8920713,0.74339275,0.8920713,0.355773,net_decay_annual,0.0099619999999999,ETF_LS,8214.483795661117,-2762.4979513390185,8214.483795661117,-2762.4979513390185,8214.483795661117,0.0,-0.0,8214.483795661117,core_leveraged,0.5,1.0,10628.268482008823,7953.52868699602,-2674.7397950128043,7953.52868699602,-2674.7397950128043,10628.268482008823,7953.52868699602,-2674.7397950128043,normal,,10976.981747000136,1.0,0.0,,False,0.0,0.0,haircut,haircut,-348.7132649913128,1.0328099789332197,False,False,False,2026-03-18
MEXX,EWW,2.957035,500,ols,0.058369,-0.021969,0.0803379999999999,10000,0.0803379999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.730307,0.2941,0.246345,0.175595,0.2941,0.2137619999999999,0.2137619999999999,0.73925875,0.8871104999999999,0.73925875,0.8871104999999999,0.2137619999999999,net_decay_annual,0.0803379999999999,ETF_LS,2877.1382506169243,-972.9807900876804,2877.1382506169243,-972.9807900876804,2877.1382506169243,0.0,-0.0,2877.1382506169243,core_leveraged,0.5,1.0,3727.809683521222,2785.738237723744,-942.0714457974776,2785.738237723744,-942.0714457974776,3727.809683521222,2785.738237723744,-942.0714457974776,normal,,3850.1190407046047,1.0,0.0,,False,0.0,0.0,haircut,haircut,-122.30935718338289,1.0328099789332197,False,False,False,2026-03-18
KORU,EWY,2.936078,500,ols,0.1022289999999999,-0.065829,0.1680579999999999,250000,0.1680579999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.862869,0.350599,0.293568,0.24495,0.350599,0.182541,0.182541,0.7340195,0.8808234,0.7340195,0.8808234,0.182541,net_decay_annual,0.1680579999999999,ETF_LS,1646.9600353833118,-560.9387882008965,1646.9600353833118,-560.9387882008965,1646.9600353833118,0.0,-0.0,1646.9600353833118,core_leveraged,0.5,1.0,2137.758995962382,1594.6399327826423,-543.1190631797392,1594.6399327826423,-543.1190631797392,2137.758995962382,1594.6399327826423,-543.1190631797392,normal,,2207.8988235842085,1.0,0.0,,False,0.0,0.0,haircut,haircut,-70.1398276218265,1.0328099789332197,False,False,False,2026-03-18
SOXL,SOXX,2.960322,500,ols,0.010978,0.0254219999999999,0.0,2100000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,1.1154,0.537115,0.376466,0.411233,0.537115,0.537115,0.537115,0.7400805,0.8880966,0.7400805,0.8880966,0.537115,net_decay_annual,0.0,ETF_LS,17137.597533887045,-5789.099136474695,17137.597533887045,-5789.099136474695,17137.597533887045,0.0,-0.0,17137.597533887045,core_leveraged,0.5,1.0,22198.36866220301,16593.17578591593,-5605.192876287082,16593.17578591593,-5605.192876287082,22198.36866220301,16593.17578591593,-5605.192876287082,normal,,22926.69667036174,1.0,0.0,,False,0.0,0.0,haircut,haircut,-728.3280081587254,1.0328099789332197,False,False,False,2026-03-18
CWEB,KWEB,1.987202,500,ols,0.017106,0.019294,0.0,10000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.702805,0.188213,0.353401,0.122505,0.188213,0.188213,0.188213,0.4968005,0.5961605999999999,0.5,0.5961605999999999,0.188213,net_decay_annual,0.0,ETF_LS,3282.167193799604,-1651.6525213841392,3282.167193799604,-1651.6525213841392,3282.167193799604,0.0,-0.0,3282.167193799604,core_leveraged,0.5,1.0,4777.083699636445,3177.900350255839,-1599.1833493806062,3177.900350255839,-1599.1833493806062,4777.083699636445,3177.900350255839,-1599.1833493806062,normal,,4933.819715183743,1.0,0.0,,False,0.0,0.0,haircut,haircut,-156.73601554729794,1.0328099789332197,False,False,False,2026-03-18
NUGT,GDX,1.980061,500,ols,0.02624,0.01016,0.0160799999999999,60000,0.0160799999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.76114,0.205432,0.384057,0.143118,0.205432,0.189352,0.189352,0.49501525,0.5940183,0.5,0.5940183,0.189352,net_decay_annual,0.0160799999999999,ETF_LS,3199.526179523487,-1615.8725309591407,3199.526179523487,-1615.8725309591407,25625.394200252933,0.0,-0.0,25625.394200252933,core_leveraged,0.5,1.0,4662.4246557497545,3097.884649437886,-1564.540006311869,3097.884649437886,-1564.540006311869,4662.4246557497545,3097.884649437886,-1564.540006311869,normal,,4815.398710482627,1.0,0.0,,False,0.0,0.0,haircut,haircut,-152.9740547328729,1.0328099789332197,False,False,False,2026-03-18
JNUG,GDXJ,1.971859,500,ols,0.043137,-0.006737,0.049874,70000,0.049874,False,False,False,True,False,False,False,True,False,False,False,False,0.845996,0.238693,0.427944,0.175478,0.238693,0.188819,0.188819,0.49296475,0.5915577,0.5,0.5915577,0.188819,net_decay_annual,0.049874,ETF_LS,2938.17688924953,-1490.054252991482,2938.17688924953,-1490.054252991482,2938.17688924953,0.0,-0.0,2938.17688924953,core_leveraged,0.5,1.0,4287.556503680275,2844.837820297155,-1442.7186833831197,2844.837820297155,-1442.7186833831197,4287.556503680275,2844.837820297155,-1442.7186833831197,normal,,4428.231142241013,1.0,0.0,,False,0.0,0.0,haircut,haircut,-140.67463856073846,1.0328099789332197,False,False,False,2026-03-18
GUSH,XOP,2.010788,500,ols,0.039734,-0.0033339999999999,0.0430679999999999,250000,0.0430679999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.58009,0.147455,0.288276,0.084453,0.147455,0.104387,0.104387,0.502697,0.6032363999999999,0.502697,0.6032363999999999,0.104387,net_decay_annual,0.0430679999999999,ETF_LS,962.2423496737396,-478.5399304520117,962.2423496737396,-478.5399304520117,962.2423496737396,0.0,-0.0,962.2423496737396,core_leveraged,0.5,1.0,1395.011966880803,931.6741407433256,-463.3378261374773,931.6741407433256,-463.3378261374773,1395.011966880803,931.6741407433256,-463.3378261374773,normal,,1440.7822801257512,1.0,0.0,,False,0.0,0.0,haircut,haircut,-45.77031324494829,1.0328099789332197,False,False,False,2026-03-18
URAA,URA,1.929793,432,ols,0.037126,-0.000726,0.037852,40000,0.037852,False,False,False,True,False,False,False,True,False,False,False,False,0.877915,0.372865,0.435706,0.170315,0.372865,0.335013,0.335013,0.48244825,0.5789379,0.5,0.5789379,0.335013,net_decay_annual,0.037852,ETF_LS,8666.618445623737,-4490.957551210796,8666.618445623737,-4490.957551210796,8666.618445623737,0.0,-0.0,8666.618445623737,core_leveraged,0.5,1.0,12739.590307236263,8391.300067196691,-4348.290240039574,8391.300067196691,-4348.290240039574,12739.590307236263,8391.300067196691,-4348.290240039574,normal,,13157.575996834532,1.0,0.0,,False,0.0,0.0,haircut,haircut,-417.9856895982666,1.0328099789332192,False,False,False,2026-03-18
