ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.007593,253,ols,0.051619,15000,0.051619,False,False,54.959999084472656,0.051619,1.0,False,True,False,False,False,False,False,False,False,1.288714,0.491526,0.559699,0.31684,0.491526,0.439907,0.439907,0.50189825,0.6022778999999999,0.50189825,0.6022778999999999,0.439907,net_decay_annual,0.051619,ETF_LS,12467.262683567737,-6210.0548684757005,12467.262683567737,-6210.0548684757005,12467.262683567737,0.0,-0.0,12467.262683567737,core_leveraged,0.5,1.0,18677.31755204344,0.2608279440917945,3.0,1.0,0.102192282559806,0.0037299533224269,primary,AMUU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-18677.31755204344,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-09
ASMU,ASML,2.009665,38,ols,0.100287,8000,0.100287,False,False,23.96999931335449,0.100287,1.0,False,True,False,False,False,False,False,False,False,0.986028,0.30008,0.441985,0.198192,0.213556,0.199793,0.113269,0.50241625,0.6028995,0.50241625,0.6028995,0.199793,net_decay_annual,0.100287,ETF_LS,2915.194714739893,-1450.5873937894587,2915.194714739893,-1450.5873937894587,2915.194714739893,0.0,-0.0,2915.194714739893,core_leveraged,0.5,1.0,4365.782108529352,0.1183688740065237,2.0,1.0,0.0238872224336393,0.0008718684273223,primary,ASMU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,3658.16506872691,2442.692559751024,-1215.472508975886,2442.692559751024,-1215.472508975886,haircut,haircut,-707.6170398024419,1.1934349671237503,normal,False,False,False,3658.16506872691,2442.692559751024,-1215.472508975886,2026-04-09
AVL,AVGO,1.986563,372,ols,0.045637,85000,0.045637,False,False,41.790000915527344,0.045637,1.0,False,True,False,False,False,False,False,False,False,1.075853,0.377961,0.538487,0.28415,0.377961,0.332324,0.332324,0.49664075,0.5959689,0.5,0.5959689,0.332324,net_decay_annual,0.045637,ETF_LS,7182.9150006100335,-3615.7499161164446,7182.9150006100335,-3615.7499161164446,7182.9150006100335,0.0,-0.0,7182.9150006100335,core_leveraged,0.5,1.0,10798.664916726477,0.1986026091555852,3.0,1.0,0.059084513253245,0.0021565471578927,primary,AVL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-10798.664916726477,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-09
BOEU,BA,1.993785,240,ols,0.06232,10000,0.06232,False,False,36.30500030517578,0.06232,1.0,False,True,False,False,False,False,False,False,False,0.604725,0.192689,0.35498,0.124838,0.189458,0.130369,0.1271379999999999,0.49844625,0.5981354999999999,0.5,0.5981354999999999,0.130369,net_decay_annual,0.06232,ETF_LS,1391.8146504845756,-698.0765982714163,1391.8146504845756,-698.0765982714163,1391.8146504845756,0.0,-0.0,1391.8146504845756,core_leveraged,0.5,1.0,2089.891248755992,0.0776990289195048,1.0,1.0,0.0114347660694333,0.0004173616893907,primary,BOEU,False,,,1.0,0.0,,False,0.0,0.0,1093.7172280951474,728.3879783009413,-365.3292497942062,728.3879783009413,-365.3292497942062,haircut,haircut,-996.1740206608443,1.9108149666763616,normal,False,False,False,1093.7172280951474,728.3879783009413,-365.3292497942062,2026-04-09
FRDU,F,1.9826,178,ols,,0,0.0,False,True,26.82200050354004,,1.0,False,False,False,False,False,False,False,True,False,0.628621,0.20467,0.346118,0.116689,0.178834,0.20467,0.178834,0.49565,1.0,0.5,1.0,0.20467,net_decay_annual,,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,FRDU,False,,,1.0,0.0,,False,0.0,0.0,3021.7381305124777,2008.6159785268012,-1013.1221519856762,2008.6159785268012,-1013.1221519856762,haircut,haircut,3021.7381305124777,0.0,normal,False,False,False,3021.7381305124777,2008.6159785268012,-1013.1221519856762,2026-04-09
ELIL,LLY,1.992952,258,ols,0.105828,30000,0.105828,False,False,20.674999237060547,0.105828,1.0,False,True,False,False,False,False,False,False,False,0.842666,0.281221,0.375077,0.139199,0.281221,0.175393,0.175393,0.498238,0.5978856,0.5,0.5978856,0.175393,net_decay_annual,0.105828,ETF_LS,2340.051082618298,-1174.16329275281,2340.051082618298,-1174.16329275281,2340.051082618298,0.0,-0.0,2340.051082618298,core_leveraged,0.5,1.0,3514.2143753711084,0.1045657910655656,1.0,1.0,0.0192278996929281,0.0007018061104658,primary,ELIL,False,,,1.0,0.0,,False,0.0,0.0,1725.6993693013264,1149.1116494510493,-576.587719850277,1149.1116494510493,-576.587719850277,haircut,haircut,-1788.515006069782,2.0,normal,False,False,False,1725.6993693013264,1149.1116494510493,-576.587719850277,2026-04-09
MSFU,MSFT,1.99176,500,ols,0.035192,350000,0.035192,False,False,23.489999771118164,0.035192,1.0,False,True,False,False,False,False,False,False,False,0.481591,0.161217,0.241564,0.057634,0.161217,0.126025,0.126025,0.49794,0.597528,0.5,0.597528,0.126025,net_decay_annual,0.035192,ETF_LS,1312.9776184197058,-659.2047327086124,1312.9776184197058,-659.2047327086124,1312.9776184197058,0.0,-0.0,1312.9776184197058,core_leveraged,0.5,1.0,1972.1823511283185,0.0751673001147671,3.0,1.0,0.0107907259982265,0.0003938546363804,primary,MSFU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-1972.1823511283185,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-09
MUU,MU,1.994144,372,ols,0.0399739999999999,100000,0.0399739999999999,False,False,171.6199951171875,0.0399739999999999,1.0,False,True,False,False,False,False,False,False,False,1.276353,0.51961,0.613258,0.372788,0.51961,0.479636,0.479636,0.498536,0.5982432,0.5,0.5982432,0.479636,net_decay_annual,0.0399739999999999,ETF_LS,15907.841204440285,-7977.278072416176,15907.841204440285,-7977.278072416176,15907.841204440285,0.0,-0.0,15907.841204440285,core_leveraged,0.5,1.0,23885.119276856454,0.2858211651899664,2.0,1.0,0.1306865855502968,0.0047699772601192,primary,MUU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,27649.17672229776,18414.758897938693,-9234.417824359069,18414.758897938693,-9234.417824359069,haircut,haircut,3764.057445441304,0.8638636700381112,normal,False,False,False,27649.17672229776,18414.758897938693,-9234.417824359069,2026-04-09
ORCU,ORCL,2.00344,94,ols,0.089115,150000,0.089115,False,False,9.06999969482422,0.089115,1.0,False,True,False,False,False,False,False,False,False,1.062517,0.364458,0.51492,0.266512,0.303047,0.275343,0.213932,0.50086,0.6010319999999999,0.50086,0.6010319999999999,0.275343,net_decay_annual,0.089115,ETF_LS,5125.684919493017,-2558.441939610379,5125.684919493017,-2558.441939610379,5125.684919493017,0.0,-0.0,5125.684919493017,core_leveraged,0.5,1.0,7684.126859103396,0.1635090459805472,1.0,1.0,0.0420434284004009,0.0015345583983459,primary,ORCU,False,,,1.0,0.0,,False,0.0,0.0,4346.702926437973,2899.461454513122,-1447.2414719248504,2899.461454513122,-1447.2414719248504,haircut,haircut,-3337.4239326654238,1.767805849432726,normal,False,False,False,4346.702926437973,2899.461454513122,-1447.2414719248504,2026-04-09
PALU,PANW,2.005396,258,ols,0.050046,30000,0.050046,False,False,14.729999542236328,0.050046,1.0,False,True,False,False,False,False,False,False,False,0.737585,0.24327,0.347658,0.121846,0.24327,0.1932239999999999,0.1932239999999999,0.501349,0.6016188,0.501349,0.6016188,0.1932239999999999,net_decay_annual,0.050046,ETF_LS,2969.079148360252,-1480.545063598537,2969.079148360252,-1480.545063598537,2969.079148360252,0.0,-0.0,2969.079148360252,core_leveraged,0.5,1.0,4449.624211958789,0.1146597419656636,2.0,1.0,0.0243459615379135,0.000888612112885,primary,PALU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,4935.591965781106,3293.348492448106,-1642.2434733330003,3293.348492448106,-1642.2434733330003,haircut,haircut,485.9677538223177,0.9015381017734904,normal,False,False,False,4935.591965781106,3293.348492448106,-1642.2434733330003,2026-04-09
