ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual,net_edge_p50_annual,edge_used_for_prod_replay,blended_gross_decay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.007855,226,ols,0.017752,0.018548,0.0,50000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.558717,1.313531,0.120029,0.120029,0.120029,net_decay_annual,,0.0,ETF_LS,100315.70455761312,-49961.62798489589,100315.70455761312,-49961.62798489589,100315.70455761312,0.0,-0.0,100315.70455761312,core_leveraged,0.5,1.0,150277.33254250902,0.0711601619891163,1.0,1.0,0.0098042555808755,0.0320762716205995,primary,,False,,,1.0,0.0,,False,0.0,0.0,91416.57060233231,61023.95839119439,-30392.612211137945,61023.95839119439,-30392.612211137945,haircut,haircut,-58860.761940176686,1.6438740980147308,normal,False,False,False,91416.57060233231,61023.95839119439,-30392.612211137945,2026-02-27
BABU,BABA,2.02644,10,ols_short_history,0.067841,-0.031541,0.099382,200,0.099382,False,False,False,False,True,False,False,False,True,True,True,False,0.438939,0.370236,0.065926,-0.033456,-0.033456,net_decay_annual,,0.099382,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-02-27
METU,META,1.998657,432,ols,0.064489,-0.028189,0.092678,300000,0.092678,False,False,False,False,True,False,False,False,True,True,False,False,0.353455,0.710616,0.115385,0.0227069999999999,0.0227069999999999,net_decay_annual,,0.092678,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-02-27
PALU,PANW,2.005113,231,ols,0.060551,-0.024251,0.084802,350000,0.084802,False,False,False,False,True,False,False,False,True,True,False,False,0.341069,0.72475,0.109061,0.024259,0.024259,net_decay_annual,,0.084802,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-02-27
YINN,FXI,2.972911,501,ols,0.015154,0.0211459999999999,0.0,750000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.287291,0.856163,0.127138,0.127138,0.127138,net_decay_annual,,0.0,ETF_LS,74298.933156917,-24991.98030378878,74298.933156917,-24991.98030378878,74298.933156917,0.0,-0.0,74298.933156917,core_leveraged,0.5,1.0,99290.91346070578,0.056155066300657,1.0,1.0,0.0064778464985861,0.0211933646661058,primary,,False,,,1.0,0.0,,False,0.0,0.0,75321.47776076493,56362.71483837252,-18958.762922392405,56362.71483837252,-18958.762922392405,haircut,haircut,-23969.43569994085,1.3182284311530936,normal,False,False,False,75321.47776076493,56362.71483837252,-18958.762922392405,2026-02-27
SOXL,SOXX,2.959678,501,ols,0.008659,0.027641,0.0,1100000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.375919,1.113555,0.130001,0.130001,0.130001,net_decay_annual,,0.0,ETF_LS,77617.88429926874,-26225.111076025416,77617.88429926874,-26225.111076025416,77617.88429926874,0.0,-0.0,77617.88429926874,core_leveraged,0.5,1.0,103842.99537529417,0.0576120521055138,1.0,1.0,0.0067748292421618,0.0221649936766903,primary,,False,,,1.0,0.0,,False,0.0,0.0,78577.23104146229,58732.88232384881,-19844.34871761348,58732.88232384881,-19844.34871761348,haircut,haircut,-25265.76433383186,1.32154052769434,normal,False,False,False,78577.23104146229,58732.88232384881,-19844.34871761348,2026-02-27
ERX,XLE,1.986013,501,ols,0.06232,-0.0260199999999999,0.08834,20000,0.08834,False,False,False,False,True,False,False,False,True,True,False,False,0.219328,0.436202,0.061517,-0.026823,-0.026823,net_decay_annual,,0.08834,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-02-27
URAA,URA,1.932605,419,ols,0.024885,0.011415,0.01347,25000,0.01347,False,False,False,True,False,False,False,True,False,False,False,False,0.429707,0.870951,0.188771,0.1753009999999999,0.1753009999999999,net_decay_annual,,0.01347,ETF_LS,202035.7634828508,-104540.63995635466,202035.7634828508,-104540.63995635466,202035.7634828508,0.0,-0.0,202035.7634828508,core_leveraged,0.5,1.0,306576.4034392055,0.1069490840373945,1.0,1.0,0.0200013758797146,0.0654378662623704,primary,,False,,,1.0,0.0,,False,0.0,0.0,176439.94520640915,116275.02520988416,-60164.919996524986,116275.02520988416,-60164.919996524986,haircut,haircut,-130136.45823279631,1.7375680041192232,normal,False,False,False,176439.94520640915,116275.02520988416,-60164.919996524986,2026-02-27
MSFX,MSFT,2.008453,501,ols,0.0660419999999999,-0.029742,0.095784,7000,0.095784,False,False,False,False,True,False,False,False,True,True,False,False,0.240919,0.485383,0.130859,0.035075,0.035075,net_decay_annual,,0.095784,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-02-27
SMUP,SMR,2.062139,148,ols,0.17711,-0.14081,0.31792,9600000,0.31792,False,False,False,False,True,False,False,False,False,True,False,False,1.243219,2.406525,1.379199,1.061279,1.061279,net_decay_annual,,0.31792,ETF_LS,283952.1358599332,-137697.86414006675,283952.1358599332,-137697.86414006675,283952.1358599332,0.0,-0.0,283952.1358599332,core_leveraged,0.5,1.0,421649.9999999999,0.6167243825292383,1.0,1.0,0.4291997476556668,0.09,preferred_wrapper,SMUP,False,,,1.0,0.0,,False,0.0,0.0,421650.0,283952.1358599332,-137697.86414006678,283952.1358599332,-137697.86414006678,pair_cap,pair_cap,1.1641532182693479e-10,0.9999999999999998,normal,False,False,False,421650.0,283952.1358599332,-137697.86414006678,2026-02-27
