symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,14700.831239550002,14700.831239550002,1
DUST,flow_program,12488.3616256,12488.3616256,1
FAZ,flow_program,10620.46432986,10620.46432986,1
SDS,flow_program,9618.02753184,9618.02753184,1
ZSL,flow_program,9533.93680512,9533.93680512,1
LABD,flow_program,8266.19130072,8266.19130072,1
TSLQ,flow_program,7200.9376358399995,7200.9376358399995,1
SQQQ,flow_program,7082.717093759999,7082.717093759999,1
NVDQ,flow_program,6046.672515839999,6046.672515839999,1
EWV,flow_program,2590.133733985,2590.133733985,1
SOXS,flow_program,2034.5525443199997,2034.5525443199997,1
