underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
<<<<<<< Updated upstream
MSTR,"MSTR, MTYY",7125.27925882869,116666.40106030868,2
COIN,"COIN, COYY",3863.15149538064,101987.87770538064,2
CRWV,"CRWV, CWY",1431.97210602611,14333.72392315611,2
QBTS,"QBTS, QBY",579.1653839999963,27973.838765999997,2
AMD,"AMD, AMYY",0.0,51392.39032494,2
BABA,"BABA, BBYY",0.0,54151.884719999995,2
HOOD,"HOOD, HOYY",0.0,38976.0496488,2
MARA,"MAAY, MARA",0.0,38195.18605699999,2
IONQ,"IONQ, IOYY",0.0,72027.36242912,2
META,"FBYY, META",0.0,57337.8954148,2
HIMS,"HIMS, HMYY",0.0,12270.5627814,2
TSLA,"TSLA, TSYY",0.0,147.14770716,2
TSM,"TMYY, TSM",0.0,5904.2915631,2
SMCI,"SMCI, SMYY",0.0,64422.24200939999,2
NVDA,"NVDA, NVYY",-3.5772691416960782,182.33540397830387,2
QQQ,"QQQ, TQQY",-128.78919494696146,881.6334050530386,2
MU,"MU, MUYY",-147.39824254082168,7707.104931459178,2
RIOT,"RIOT, RTYY",-197.8200380263188,49151.94476197369,2
IBIT,"IBIT, XBTY",-913.3335686891951,85455.4616965028,2
=======
MSTR,"MSTR, MTYY",7221.308875952658,116611.29323787264,2
COIN,"COIN, COYY",4031.977819777363,101742.43757577738,2
CRWV,"CRWV, CWY",1432.7636655009928,14700.118986940994,2
QBTS,"QBTS, QBY",523.0617555000008,28029.6231195,2
AMD,"AMD, AMYY",0.0,51289.5612312,2
BABA,"BABA, BBYY",0.0,54116.149679999995,2
TSLA,"TSLA, TSYY",0.0,146.84856156,2
SMCI,"SMCI, SMYY",0.0,64810.39075739999,2
META,"FBYY, META",0.0,57337.8954148,2
MARA,"MAAY, MARA",0.0,38417.179058999995,2
IONQ,"IONQ, IOYY",0.0,71854.45647912,2
HOOD,"HOOD, HOYY",0.0,38632.3374723,2
HIMS,"HIMS, HMYY",0.0,12326.17445136,2
TSM,"TMYY, TSM",0.0,6320.639446800001,2
NVDA,"NVDA, NVYY",-3.5699936460925983,182.14982027390738,2
QQQ,"QQQ, TQQY",-128.947306689355,882.185975810645,2
MU,"MU, MUYY",-138.77806073010197,7666.214071269897,2
RIOT,"RIOT, RTYY",-146.10603877077665,49086.04616122923,2
IBIT,"IBIT, XBTY",-924.707504537917,85468.32773523706,2
>>>>>>> Stashed changes
