etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.03259,0.75
ASTN,ASTS,-2.005816,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.010773,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.991842,0.75
CBRZ,CBRS,-2.0,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.027275,0.75
CONI,COIN,-1.925575,0.75
CRCD,CRCL,-2.010421,0.75
CORD,CRWV,-2.013856,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002234,0.75
SDOW,DIA,-2.999147,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-2.003926,0.75
BTCZ,IBIT,-1.997947,0.75
IONZ,IONQ,-2.031859,0.75
IREZ,IREN,-2.017457,0.75
TWM,IWM,-2.002032,0.75
TZA,IWM,-2.997767,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.989542,0.75
MSTZ,MSTR,-2.001739,0.75
SMST,MSTR,-1.976358,0.75
NBIZ,NBIS,-2.042842,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.004502,0.75
NVDS,NVDA,-1.494417,0.75
OKLS,OKLO,-2.004924,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-2.00678,0.75
QID,QQQ,-1.996938,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.998962,0.75
RKLZ,RKLB,-2.01377,0.75
SMCZ,SMCI,-2.039517,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.006812,0.75
SPXS,SPY,-2.996011,0.75
SPXU,SPY,-2.994171,0.75
UVIX,SVIX,-1.984718,0.75
TBT,TLT,-1.997764,0.75
TBX,TLT,-1.372029,0.75
TMV,TLT,-2.989784,0.75
TSDD,TSLA,-2.010756,0.75
STSM,TSM,-2.009731,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.73515,0.75
DUG,XLE,-1.988816,0.75
SKF,XLF,-1.996919,0.75
FNGD,XLK,-2.916645,0.75
REW,XLK,-2.008636,0.75
TECS,XLK,-3.000334,0.75
WEBS,XLK,-2.795899,0.75
DRIP,XOP,-1.996282,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
