date,source,n_pairs,gross_sum,ok,error
2025-12-28,fallback_archived,94,24999.729999999996,True,KeyError: 'Delta'
2025-12-29,archived_only,94,400000.08,True,
2025-12-30,fallback_archived,92,100000.32,True,KeyError: 'Delta'
2025-12-31,archived_only,92,100000.32,True,
2026-02-27,recompute_mirror,54,4200000.0,True,
2026-02-28,recompute_mirror,53,4174800.0,True,
2026-03-02,recompute_mirror,59,4174800.0,True,
2026-03-03,recompute_mirror,49,4174800.0,True,
2026-03-04,recompute_mirror,126,4174799.9999999995,True,
2026-03-05,recompute_mirror,131,4149600.0000000005,True,
2026-03-06,recompute_mirror,136,4174799.9999999995,True,
2026-03-10,recompute_mirror,125,4174799.9999999986,True,
2026-03-11,recompute_mirror,136,4149599.9999999995,True,
2026-03-12,recompute_mirror,132,4174800.0,True,
2026-03-18,recompute_mirror,135,4149600.0,True,
2026-03-20,recompute_mirror,120,4149599.9999999995,True,
2026-03-21,recompute_mirror,126,4149600.0000000005,True,
2026-03-23,recompute_mirror,170,4149600.0,True,
2026-03-24,recompute_mirror,174,4149600.0,True,
2026-03-25,recompute_mirror,170,4149599.999999999,True,
2026-03-26,recompute_mirror,172,4149600.0,True,
2026-03-27,recompute_mirror,169,4149600.0000000005,True,
2026-03-28,recompute_mirror,175,4149600.0,True,
2026-03-31,recompute_mirror,169,4149600.0,True,
2026-04-01,recompute_mirror,203,3939868.547271986,True,
2026-04-02,recompute_mirror,203,3986911.4039473473,True,
2026-04-03,recompute_mirror,202,3998041.7651445474,True,
2026-04-04,recompute_mirror,202,3998041.767467697,True,
2026-04-07,recompute_mirror,219,3992106.868809573,True,
2026-04-08,recompute_mirror,220,4013656.3211904615,True,
2026-04-09,recompute_mirror,221,3956654.68615459,True,
2026-04-10,recompute_mirror,219,4053705.984823886,True,
2026-04-11,recompute_mirror,222,3976193.211110517,True,
2026-04-14,recompute_mirror,218,4162950.0003814693,True,
2026-04-15,recompute_mirror,221,4097242.1132600205,True,
2026-04-16,recompute_mirror,217,3833047.728834994,True,
2026-04-17,archived_only,259,3746529.9349503247,True,
2026-04-18,archived_only,258,3746529.9349503247,True,
2026-04-20,archived_only,287,3745864.8485947917,True,
2026-04-21,archived_only,290,3737224.837551253,True,
2026-04-22,recompute_mirror,241,4114045.7083635167,True,
2026-04-23,archived_only,245,2500000.0,True,
2026-04-24,archived_only,241,2500000.0,True,
2026-04-25,recompute_mirror,251,3550386.6130255265,True,
2026-04-26,recompute_mirror,236,3279664.263637794,True,
2026-04-27,recompute_mirror,231,2833273.742516865,True,
2026-04-28,archived_only,254,2500000.0000000005,True,
2026-04-29,archived_only,252,2500000.0,True,
2026-04-30,archived_only,258,2500000.0,True,
2026-05-01,archived_only,209,2500000.0,True,
2026-05-02,archived_only,210,2500000.0,True,
2026-05-03,archived_only,209,2500000.0000000005,True,
2026-05-04,archived_only,219,2500000.0000000005,True,
2026-05-05,archived_only,230,2500000.0,True,
2026-05-06,archived_only,233,2500000.0,True,
2026-05-07,archived_only,232,2500000.0,True,
2026-05-08,archived_only,234,2500000.0,True,
2026-05-09,archived_only,234,2500000.0,True,
2026-05-11,archived_only,246,2985008.8253023606,True,
2026-05-12,archived_only,249,2964176.4445111398,True,
2026-05-13,archived_only,242,330282.7681931632,True,
2026-05-14,archived_only,244,2621629.4753801106,True,
2026-05-15,archived_only,246,1950136.9889938524,True,
2026-05-16,archived_only,239,1982836.9253062648,True,
2026-05-18,archived_only,235,2298556.5046077003,True,
2026-05-19,archived_only,239,287030.8173740312,True,
2026-05-20,archived_only,252,2197098.6875801994,True,
2026-05-21,archived_only,248,2200591.748046066,True,
2026-05-22,archived_only,238,2216442.1639727633,True,
2026-05-23,archived_only,233,2159632.11340764,True,
2026-05-24,archived_only,234,2162532.1357694985,True,
2026-05-25,archived_only,231,2156270.414722611,True,
2026-05-26,archived_only,240,2313704.406004214,True,
2026-05-27,archived_only,240,2174367.57000144,True,
2026-05-28,archived_only,234,1937248.397080582,True,
2026-05-29,archived_only,243,1955915.0772180767,True,
2026-05-30,archived_only,235,2367144.41161189,True,
2026-06-01,archived_only,245,2033024.1492871055,True,
2026-06-02,archived_only,242,1822344.6231956093,True,
2026-06-03,archived_only,250,1875730.059364147,True,
2026-06-04,archived_only,245,2124646.162233953,True,
2026-06-05,archived_only,250,2202335.469614146,True,
2026-06-06,archived_only,241,2395917.053361078,True,
2026-06-09,archived_only,251,1986618.451555675,True,
2026-06-10,archived_only,251,1998804.100616593,True,
2026-06-11,archived_only,253,2091672.9804645332,True,
2026-06-12,archived_only,257,2209275.689952206,True,
