ETF,Underlying,sleeve,price_pnl_usd,borrow_cost_usd,margin_cost_usd,txn_cost_usd,pnl_usd,end_weight
COYY,COIN,yieldboost,-7590.188887181811,1646.7043739155638,30.274523969814933,4284.596583964326,-13551.764369031516,0.16534153984942485
EOSU,EOSE,core_leveraged,-10520.939110588106,467.63172813951104,35.39579174001823,2290.856621748941,-13314.823252216576,0.053080226659703196
SNDU,SNDK,core_leveraged,-9469.02417257809,111.59709002091496,10.987829517955797,464.54127633480465,-10056.150368451767,0.02424701084339606
RDWU,RDW,core_leveraged,-3214.178451563274,247.77561974845656,18.58915464314524,1452.9858898967834,-4933.529115851659,0.0
HMYY,HIMS,yieldboost,1020.5962339666515,248.9895297217437,13.08605021757973,4302.410001639915,-3543.8893476125872,0.001980447376123315
IREG,IREN,core_leveraged,-2052.0458327484857,438.6207340413949,29.69600626460108,702.843434725447,-3223.2060077799288,0.035058685649250215
NVTX,NVTS,core_leveraged,558.2796699677556,1008.9908275468636,52.957990432849925,2263.790928632743,-2767.460076644701,0.053889238030448414
IRE,IREN,core_leveraged,-1889.563810379499,305.7848750580426,14.681079096993777,527.545892844963,-2737.5756573794984,0.029886754103268253
QBTX,QBTS,core_leveraged,-879.9367219383498,556.7033576884886,55.51947655550836,1010.3141474141106,-2502.4737035964577,0.017653303419122288
NBIL,NBIS,core_leveraged,-1410.0068084118247,427.81661345094443,37.738679404167556,572.2177888599315,-2447.779890126868,0.011320423043593502
LITZ,LITE,inverse_decay_bucket4,-2169.9191128609687,142.38229708196593,0.0,133.37987880624092,-2445.6812887491756,0.01802968314827669
FLYT,FLY,core_leveraged,-53.69891409619231,727.3839364994194,46.56435899032129,1511.2941166963415,-2338.9413262822745,0.04716632156691132
CORD,CRWV,inverse_decay_bucket4,-1204.0520165245184,340.1500798871137,0.0,690.3142923639764,-2234.5163887756084,0.019973421722966924
NBIG,NBIS,core_leveraged,-1204.4649232483096,219.46309581890227,44.64274192475128,713.3902699690907,-2181.961030961054,0.01296609940844756
POEL,POET,core_leveraged,-1427.9166219960161,77.44446473525628,6.5638905919744515,633.1529145669294,-2145.0778918901765,0.0
ONDL,ONDS,core_leveraged,-1232.2334449068624,260.92535071683153,11.543658963770142,495.80065869858254,-2000.5031132860468,0.015093436570612666
CIFG,CIFR,core_leveraged,-644.0029405920754,523.164183754124,32.547042998103365,749.4298426140249,-1949.1440099583276,0.015372052167813665
SMCL,SMCI,core_leveraged,-548.2064040425262,244.83685994003633,18.10776698608456,990.7291495576627,-1801.8801805263097,0.010228103285967193
MSTZ,MSTR,inverse_decay_bucket4,-978.037254681023,289.429393586933,0.0,516.9123301115694,-1784.3789783795253,0.003994842263277718
CRWU,CRWV,core_leveraged,-703.4918848130109,244.77604314368438,19.512630486641665,720.6464048359054,-1688.4269632792425,0.017834678474344057
CRWG,CRWV,core_leveraged,-602.677972521731,265.19663118531037,44.53568545627397,756.5643699731436,-1668.974659136459,0.024139498464491836
MTYY,MSTR,yieldboost,1740.1386984431808,305.45361100361134,13.829961315850674,2967.001197284694,-1546.1460711609752,0.0
MVLL,MRVL,core_leveraged,-1136.289035291862,81.30046229593934,7.700196662032144,161.03423458057608,-1386.3239288304096,0.003004329044299342
FBYY,META,yieldboost,-299.7734207187131,57.85901830253609,5.838989963208962,962.2714179543416,-1325.7428469387996,0.0
BEX,BE,core_leveraged,-91.79324946692981,345.6608230650575,42.81156262460853,832.2515907913601,-1312.517225947956,0.034342716804114264
