bucket,etf,under,active_days,start_date,end_date,gross_trading_pnl_usd,borrow_cost_usd,underlying_borrow_cost_usd,margin_debit_cost_usd,short_credit_income_usd,net_financing_cost_usd,txn_cost_usd,total_cost_usd,net_pnl_usd,combined_portfolio_pnl_usd,combined_portfolio_pnl_pct_initial_nav,sleeve_local_initial_capital_usd,sleeve_local_return,ending_long_notional_usd,ending_short_notional_usd,ending_gross_notional_usd,ending_net_notional_usd,avg_gross_notional_usd,max_gross_notional_usd,turnover_usd,long_pnl_usd,short_pnl_usd
B1 core,ASTX,ASTS,148,2025-10-07,2026-05-08,70601.85842323303,4409.623212460839,0.0,3718.1024935919086,0.0,3718.1024935919086,4292.698301411227,12420.424007463973,58181.43441576906,43636.07581182679,0.008727215162365359,,,252393.16026306152,127569.25704956055,379962.41731262207,124823.90321350098,506883.4220289282,868311.8240356445,2100253.17650795,43455.59201812744,27146.26640510559
B1 core,QBTX,QBTS,148,2025-10-07,2026-05-08,48584.53060626984,3406.6311379166464,0.0,4030.2991542024206,0.0,4030.2991542024206,5036.054384732927,12472.984676851995,36111.54592941784,27083.659447063383,0.0054167318894126765,,,335886.735458374,181677.0674343109,517563.80289268494,154209.6680240631,550966.965114165,1001724.1806335449,2353279.8217172623,-88648.573513031,137233.10411930084
B1 core,LUNL,LUNR,78,2026-01-16,2026-05-08,49905.50165939331,14689.878780882265,0.0,1525.3093952218915,0.0,1525.3093952218915,2443.3854161338527,18658.573592238008,31246.9280671553,23435.196050366474,0.004687039210073295,,,325043.3922958374,175036.5,500079.8922958374,150006.8922958374,396966.9666164105,645985.2054691315,1126423.0860271454,143336.1641845703,-93430.662525177
B1 core,OKLL,OKLO,148,2025-10-07,2026-05-08,45178.64925765991,9619.310509124234,0.0,2940.171169037995,0.0,2940.171169037995,3143.0124497786373,15702.494127940867,29476.155129719045,22107.116347289284,0.004421423269457857,,,260020.86766052246,126137.0,386157.86766052246,133883.86766052246,398884.55621353356,733838.2631072998,1541558.6308689117,-142166.17705917358,187344.8263168335
B1 core,BMNU,BMNR,148,2025-10-07,2026-05-08,42704.036210656166,9724.385032908724,0.0,2318.83505422965,0.0,2318.83505422965,2777.9811710583867,14821.201258196761,27882.834952459405,20912.126214344553,0.004182425242868911,,,190262.94065475464,93874.4361448288,284137.37679958344,96388.50450992584,314530.9976903683,457951.57044410706,1317959.4212321043,-197769.23234558105,240473.26855623722
B1 core,BMNG,BMNR,130,2025-10-31,2026-05-08,36924.081144332886,6686.9476713537315,0.0,2158.819786503331,0.0,2158.819786503331,2989.091452342643,11834.858910199706,25089.22223413318,18816.916675599885,0.003763383335119977,,,236465.22081375122,118992.72189331055,355457.94270706177,117472.49892044067,334758.52991349145,533152.3022460938,1405708.2231674194,-78419.15324020386,115343.23438453674
B1 core,UUUG,UUUU,78,2026-01-16,2026-05-08,27330.282110214233,673.2593844367325,0.0,1338.2240305083171,0.0,1338.2240305083171,1570.848822964866,3582.332237909916,23747.949872304318,17810.962404228238,0.0035621924808456476,,,248628.0102405548,119810.04142379761,368438.0516643524,128817.9688167572,349030.880358427,449505.5990934372,724749.5900363922,-11068.151412963867,38398.4335231781
B1 core,FLYT,FLY,135,2025-10-24,2026-05-08,40414.625858306885,6170.82738721295,0.0,4203.8128209787055,0.0,4203.8128209787055,7428.664135236377,17803.304343428033,22611.321514878855,16958.49113615914,0.0033916982272318283,,,501158.4038543701,277961.18505477905,779119.5889091492,223197.21879959106,631413.7043625267,987486.8305778503,3473758.290456772,349778.677564621,-309364.0517063141
B1 core,IRE,IREN,135,2025-10-24,2026-05-08,37766.37854194641,11665.700264739944,0.0,2560.5355130337416,0.0,2560.5355130337416,3884.167164058273,18110.40294183196,19655.975600114456,14741.981700085842,0.0029483963400171683,,,345535.20430755615,222932.89171218872,568468.0960197449,122602.31259536743,385611.89442483406,568468.0960197449,1874125.718389511,61801.786319732666,-24035.407777786255
B1 core,CIFG,CIFR,101,2025-12-12,2026-05-08,28928.576407909393,4437.242693822253,0.0,1981.8518186612905,0.0,1981.8518186612905,3157.3793138869496,9576.473826370493,19352.1025815389,14514.076936154175,0.002902815387230835,,,335108.83755874634,192539.5295305252,527648.3670892715,142569.30802822113,401588.6316727176,593864.991437912,1426320.0274920464,113488.45708084106,-84559.88067293167
B1 core,BAIG,BBAI,148,2025-10-07,2026-05-08,25462.005656003952,4059.918479956637,0.0,1437.5508398370685,0.0,1437.5508398370685,1898.4332239883972,7395.902543782103,18066.10311222185,13549.577334166386,0.002709915466833277,,,130495.41464090347,64884.60159301758,195380.01623392105,65610.8130478859,195246.8920247297,343101.90379714966,714931.682420969,-62061.975247621536,87523.98090362549
B1 core,RGTX,RGTI,148,2025-10-07,2026-05-08,32900.33182811737,10668.821997747327,0.0,1932.4039411377632,0.0,1932.4039411377632,2243.959739081657,14845.185677966749,18055.146150150624,13541.359612612967,0.0027082719225225934,,,154645.10436058044,81964.61894989014,236609.72331047058,72680.48541069031,262419.9712381234,497983.59326171875,1049498.9717168808,-131706.66422367096,164606.99605178833
B1 core,CRWG,CRWV,148,2025-10-07,2026-05-08,24164.72294807434,1301.6532785923532,0.0,3148.3147395660417,0.0,3148.3147395660417,3431.321827493047,7881.289845651442,16283.433102422896,12212.574826817172,0.0024425149653634344,,,243596.1032562256,112835.24703979492,356431.3502960205,130760.85621643066,428859.8138114697,641714.6854400635,1685988.7216434479,-54959.95161437988,79124.67456245422
B1 core,CRMU,CRML,59,2026-02-13,2026-05-08,18525.057478427887,1770.8236270140292,0.0,649.7653775779885,0.0,649.7653775779885,1459.1619971488315,3879.751001740849,14645.306476687038,10983.979857515278,0.0021967959715030556,,,165784.42646694183,82660.79845428467,248445.2249212265,83123.62801265717,222153.05324160447,387656.4425802231,616718.3261198997,68967.96598768234,-50442.908509254456
B1 core,NBIG,NBIS,130,2025-10-31,2026-05-08,20933.61136484146,394.6891885826311,0.0,2448.6514605356588,0.0,2448.6514605356588,3486.4021550658103,6329.7428041841,14603.868560657362,10952.90142049302,0.002190580284098604,,,294257.1050720215,164513.1934967041,458770.2985687256,129743.91157531738,384732.46511415334,574512.3110456467,1714952.6570620537,193428.4627609253,-172494.85139608383
B1 core,RDWU,RDW,69,2026-01-30,2026-05-08,21786.077068328857,5001.249679352008,0.0,779.1209815500225,0.0,779.1209815500225,1552.3321027495888,7332.7027636516195,14453.374304677238,10840.030728507929,0.002168006145701586,,,201285.80445098877,111728.58073043823,313014.385181427,89557.22372055054,227256.36588565164,326544.06390094757,653542.7162761688,46011.53048801422,-24225.453419685364
B1 core,QPUX,IONQ,148,2025-10-07,2026-05-08,20065.229855537415,4804.653983221408,0.0,774.3057325602039,0.0,774.3057325602039,965.9641291723194,6544.923844953932,13520.306010583483,10140.229507937613,0.0020280459015875225,,,70068.52238845825,38108.20406913757,108176.72645759583,31960.31831932068,106182.79867665832,174821.26035308838,466918.89581775665,-18697.47193145752,38762.701786994934
B1 core,RKLX,RKLB,148,2025-10-07,2026-05-08,20135.033860206604,3615.9103249844534,0.0,1487.2358495766614,0.0,1487.2358495766614,1752.1514265645912,6855.297601125706,13279.736259080899,9959.802194310674,0.0019919604388621347,,,136372.71157836914,81893.29894638062,218266.01052474976,54479.412631988525,203623.8167310019,384649.8350830078,854466.112484932,94806.96765899658,-74671.93379878998
B1 core,CRWU,CRWV,148,2025-10-07,2026-05-08,22059.159178733826,2739.7938190206087,0.0,2986.30801984314,0.0,2986.30801984314,3249.101236483543,8975.203075347292,13083.956103386534,9812.9670775399,0.0019625934155079803,,,231039.6030883789,106793.31046772003,337832.91355609894,124246.29262065887,407170.0084122935,609425.417098999,1596458.591627121,-52119.58256530762,74178.74174404144
B1 core,ONDG,ONDS,78,2026-01-16,2026-05-08,18764.35565519333,3142.6816750304806,0.0,1035.89608845916,0.0,1035.89608845916,1519.9347077872656,5698.512471276907,13065.843183916422,9799.382387937316,0.0019598764775874632,,,173607.7280406952,75370.44344329834,248978.17148399353,98237.28459739685,268830.7073284112,378218.1776981354,648554.6650624275,-35067.79872608185,53832.15438127518
B1 core,LITX,LITE,69,2026-01-30,2026-05-08,16101.4120388031,509.0280039361447,0.0,1255.9447033302074,0.0,1255.9447033302074,1505.4454207493366,3270.4181280156886,12830.99391078741,9623.245433090558,0.0019246490866181116,,,255775.39654541016,120879.33456039429,376654.73110580444,134896.06198501587,369948.9745219134,532800.2520141602,750586.4287776947,158710.32333374023,-142608.91129493713
B1 core,WULX,WULF,135,2025-10-24,2026-05-08,22423.131229400635,4506.714824471583,0.0,2182.995004339425,0.0,2182.995004339425,3201.669196364246,9891.379025175254,12531.75220422538,9398.814153169034,0.0018797628306338068,,,238297.31378173828,128175.36254882812,366472.6763305664,110121.95123291016,330526.75117449585,555456.4054012299,1428167.9014987946,157930.23798561096,-135507.10675621033
B1 core,CRCA,CRCL,148,2025-10-07,2026-05-08,19987.44825363159,3160.6833306746894,0.0,2151.7549470913714,0.0,2151.7549470913714,2740.3758242034687,8052.8141019695295,11934.634151662061,8950.975613746547,0.0017901951227493093,,,185850.4470062256,99020.9976196289,284871.4446258545,86829.44938659668,294213.8386225958,518011.7729797363,1347034.6701812744,-21593.661071777344,41581.109325408936
B1 core,NEBX,NBIS,148,2025-10-07,2026-05-08,19874.704523086548,2053.9276378093064,0.0,3106.936546175504,0.0,3106.936546175504,3394.7723497840625,8555.636533768873,11319.067989317677,8489.300991988257,0.0016978601983976514,,,276375.05476379395,158190.6150894165,434565.66985321045,118184.43967437744,426192.8982023162,644280.2764892578,1671212.8492908478,113160.72497558594,-93286.02045249939
B1 core,CRCG,CRCL,148,2025-10-07,2026-05-08,18680.145149230957,2243.987354132065,0.0,2320.9176539103237,0.0,2320.9176539103237,2955.0454085091333,7519.950416551522,11160.194732679432,8370.146049509574,0.001674029209901915,,,200400.2067718506,107332.63708496094,307732.8438568115,93067.56968688965,317196.12622127665,558049.8930358887,1452552.4497261047,-23317.51194000244,41997.6570892334
B1 core,SOLX,GSOL,106,2025-12-05,2026-05-08,12549.953665733337,173.14997945374046,0.0,518.701455071104,0.0,518.701455071104,722.1905429996982,1414.0419775245427,11135.911688208795,8351.933766156595,0.001670386753231319,,,79743.50802469254,36324.67951774597,116068.1875424385,43418.828506946564,98781.57096075112,126112.9579782486,295717.8973002434,-15715.188228607178,28265.141894340515
B1 core,ONDL,ONDS,88,2026-01-02,2026-05-08,17199.658360481262,4602.025626041904,0.0,698.8619319401226,0.0,698.8619319401226,948.271771783134,6249.159329765161,10950.499030716102,8212.874273037076,0.0016425748546074152,,,103392.72478866577,45012.759506225586,148405.48429489136,58379.965282440186,161121.76394845138,225249.10494041443,406751.6312036514,-32581.13300704956,49780.79136753082
B1 core,IREX,IREN,135,2025-10-24,2026-05-08,28671.832098007202,11408.600207294816,0.0,2601.203041986002,0.0,2601.203041986002,3941.520465520549,17951.32371480137,10720.508383205834,8040.381287404375,0.0016080762574808751,,,350982.00437545776,226201.29930496216,577183.3036804199,124780.7050704956,391755.81632450246,577834.7057151794,1901821.475030899,62753.08642196655,-34081.25432395935
B1 core,KEEL,KEEX,88,2026-01-02,2026-05-08,10335.094196081161,0.0,0.0,132.72772123796557,0.0,132.72772123796557,261.82569731559994,394.5534185535655,9940.540777527596,7455.405583145697,0.0014910811166291395,,,33741.39917755127,15641.800112724304,49383.199290275574,18099.599064826965,31570.324502050877,53226.52699661255,124528.20991206169,16065.854406356812,-5730.76021027565
B1 core,CSEX,CLS,120,2025-11-14,2026-05-08,11316.539559364319,0.0,0.0,1116.6391951239339,0.0,1116.6391951239339,1089.4059234265758,2206.0451185505094,9110.494440813809,6832.870830610356,0.0013665741661220714,,,117547.14617919922,52024.95837402344,169572.10455322266,65522.18780517578,188889.22848798434,251453.6599369049,541655.1618452072,33661.43690490723,-22344.897345542908
B1 core,LABX,ALAB,148,2025-10-07,2026-05-08,14167.209415435791,0.0,0.0,2418.4386156907212,0.0,2418.4386156907212,2676.6973172681746,5095.135932958896,9072.073482476895,6804.055111857671,0.0013608110223715343,,,233954.08213806152,114467.8369140625,348421.919052124,119486.24522399902,329915.44102304045,497485.96489715576,1324682.0841140747,-9012.912902832031,23180.122318267822
B1 core,QUBX,QUBT,148,2025-10-07,2026-05-08,19215.598274230957,6772.647956038704,0.0,1508.6596930057779,0.0,1508.6596930057779,1993.9289882364246,10275.236637280907,8940.361636950049,6705.2712277125365,0.0013410542455425073,,,130809.6051979065,68522.52038955688,199332.12558746338,62287.08480834961,205854.48313419885,300976.74360084534,873624.7203235626,-94226.41408205032,113442.01235628128
B1 core,UNX,U,148,2025-10-07,2026-05-08,12084.356971740723,0.0,0.0,1527.619872615527,0.0,1527.619872615527,1645.65265192448,3173.272524540007,8911.084447200716,6683.313335400537,0.0013366626670801073,,,134717.43927001953,70466.91296386719,205184.35223388672,64250.526306152344,208486.75705623627,333077.6072692871,779111.4623680115,-6827.842994689941,18912.199966430664
B1 core,XXRP,XRPZ,111,2025-11-28,2026-05-08,10206.54310297966,0.0,0.0,699.507328180781,0.0,699.507328180781,749.9623012055333,1449.4696293863144,8757.073473593346,6567.80510519501,0.001313561021039002,,,93999.56185913086,47658.601095199585,141658.16295433044,46340.960763931274,127251.61951897165,176204.7788963318,343072.23216223717,-26474.383172035217,36680.92627501488
B1 core,XRPK,XRPZ,106,2025-12-05,2026-05-08,8858.465388298035,644.9710256055338,0.0,439.52068259749115,0.0,439.52068259749115,489.8268705326367,1574.3185787356617,7284.146809562372,5463.110107171779,0.001092622021434356,,,62059.46122741699,30848.999404907227,92908.46063232422,31210.461822509766,83928.4477464703,116151.0604133606,223679.94917964935,-16684.609384536743,25543.074772834778
B1 core,CWVX,CRWV,148,2025-10-07,2026-05-08,18908.9073677063,6203.0313137526655,0.0,2791.890003836111,0.0,2791.890003836111,3035.0060178305407,12029.927335419317,6878.980032286981,5159.235024215236,0.0010318470048430472,,,215971.8028869629,100271.94959640503,316243.7524833679,115699.85329055786,380707.0191169752,569118.4040374756,1491261.480091095,-48765.95369720459,67674.86106491089
B1 core,ETHU,ETHA,148,2025-10-07,2026-05-08,9069.793231964111,0.0,0.0,1191.376743257202,0.0,1191.376743257202,1156.71078859319,2348.0875318503918,6721.705700113719,5041.27927508529,0.0010082558550170578,,,95423.31750106812,47214.31040763855,142637.62790870667,48209.007093429565,161901.14270004065,227122.43774414062,538399.5983924866,-70527.6664352417,79597.45966720581
B1 core,ETU,ETHA,148,2025-10-07,2026-05-08,8417.00311088562,0.0,0.0,1035.317581535056,0.0,1035.317581535056,1004.3782102605155,2039.6957917955715,6377.307319090049,4782.980489317537,0.0009565960978635074,,,82925.11782836914,41015.51133918762,123940.62916755676,41909.60648918152,140883.15915515937,197679.40448760986,467500.73378276825,-61288.50690174103,69705.51001262665
B1 core,UXRP,XRPZ,111,2025-11-28,2026-05-08,7512.449168682098,0.0,0.0,558.6300063732043,0.0,558.6300063732043,600.2378081010468,1158.8678144742512,6353.581354207848,4765.186015655886,0.0009530372031311772,,,75066.95148468018,38144.400091171265,113211.35157585144,36922.55139350891,101753.26248357748,141201.8396139145,274566.64165377617,-21143.729740142822,28656.17890882492
B1 core,ETHT,ETHA,148,2025-10-07,2026-05-08,8618.021156311035,523.0917265360026,0.0,913.4462045876442,0.0,913.4462045876442,887.281600621524,2323.8195317451705,6294.201624565864,4720.651218424398,0.0009441302436848797,,,73171.27808380127,36082.89125061035,109254.16933441162,37088.38683319092,124127.25743560534,174300.3095855713,412973.6266345978,-54073.10726737976,62691.128423690796
B1 core,BEX,BE,120,2025-11-14,2026-05-08,16216.340973854065,2627.5446524466415,0.0,3025.494979683025,0.0,3025.494979683025,4619.124305286913,10272.163937416579,5944.177036437484,4458.132777328114,0.0008916265554656227,,,310625.6985473633,139625.1460800171,450250.8446273804,171000.5524673462,517049.51424992085,815752.3973083496,2280397.0382528305,396776.52822875977,-380560.1872549057
