bucket,pairs,gross_trading_pnl_usd,borrow_cost_usd,net_financing_cost_usd,txn_cost_usd,total_cost_usd,net_pnl_usd,combined_portfolio_pnl_usd,combined_portfolio_pnl_pct_initial_nav
B1 core,249,1348124.1890164614,358371.59230935446,161713.47031943474,200236.56427676583,720321.626905555,627802.5621109064,470851.92158317973,0.09417038431663595
B2 yieldBOOST,16,349320.19425702095,36650.70738009345,4533.510440225252,7584.9913543899365,48769.20917470864,300550.9850823123,225413.23881173425,0.04508264776234685
B4 inverse v6,11,1062872.8659970518,324399.6228741971,324399.6228741971,26797.512336150547,351197.13521034765,711675.7307867042,177918.93269667606,0.035583786539335215
