key,label,spy_idle_frac,put_mult,CAGR,Vol,MaxDD_raw,MaxDD_robust,Calmar_raw,Calmar_robust
spy00_puts1.00x,"All cash
puts 1.00x",0.0,1.0,0.12794668450697966,0.19153901459375394,-0.4161403125056623,-0.2728151755387682,0.30746044221620256,0.4689866839493241
spy00_puts1.50x,"All cash
puts 1.50x",0.0,1.5,0.14494994477620793,0.20857985688153002,-0.4043409624272416,-0.24130936271591807,0.3584844431938817,0.6006809812301006
spy00_puts2.00x,"All cash
puts 2.00x",0.0,2.0,0.1585816299116387,0.2265778562734734,-0.4019328695268308,-0.22774977043415268,0.3945475524266688,0.6962976498695881
spy20_puts1.00x,"20% SPY
puts 1.00x",0.2,1.0,0.1349099395499509,0.19918796441695186,-0.40850825744014085,-0.27017426672497313,0.33025021426823764,0.49934414992706894
spy20_puts1.50x,"20% SPY
puts 1.50x",0.2,1.5,0.15142340468178506,0.21574144780484802,-0.398466073090604,-0.2384605539180168,0.3800158028695058,0.635003996232621
spy20_puts2.00x,"20% SPY
puts 2.00x",0.2,2.0,0.16489861076089807,0.23387063671859915,-0.39722439539881316,-0.22328463189938752,0.41512709861472613,0.7385130331549271
spy30_puts1.00x,"30% SPY
puts 1.00x",0.3,1.0,0.1386066048277772,0.20382579647992885,-0.3984852732866374,-0.27113954215261127,0.34783369454176805,0.5112002614128569
spy30_puts1.50x,"30% SPY
puts 1.50x",0.3,1.5,0.15467068041428256,0.2198812974380629,-0.3969070526065175,-0.23787145333460902,0.38968992714679407,0.6502280044369612
spy30_puts2.00x,"30% SPY
puts 2.00x",0.3,2.0,0.16799872430544438,0.23804609229466844,-0.3935316520914872,-0.22398284998808826,0.42690015761778793,0.7500517308105455
spy40_puts1.00x,"40% SPY
puts 1.00x",0.4,1.0,0.14169872984175957,0.20916574982582242,-0.39706430624219446,-0.2931051482214677,0.35686594744008193,0.4834399214806464
spy40_puts1.50x,"40% SPY
puts 1.50x",0.4,1.5,0.15782120641203612,0.22450753051860997,-0.39343851880116143,-0.2583082824528192,0.4011330840023746,0.6109800464522953
spy40_puts2.00x,"40% SPY
puts 2.00x",0.4,2.0,0.1708087294710816,0.24216687913283128,-0.3925787789596029,-0.2394256945646932,0.43509414829745074,0.7134101867455535
