,puts 1.00×,puts 1.25×,puts 1.50×
10% SPY,-0.12240920501338926,-0.11354248474794415,-0.09079307799885694
20% SPY,-0.16359549187069944,-0.15472877160525433,-0.13197936485616713
30% SPY,-0.20409601361541396,-0.19522929334996897,-0.17247988660088154
40% SPY,-0.24438510801134483,-0.23827502802572087,-0.2127689809968124
50% SPY,-0.2832020742375805,-0.27709199425195663,-0.2602309709286047
