,puts 1.00×,puts 1.25×,puts 1.50×
10% SPY,-0.41474165395670215,-0.40422620488795025,-0.4019079363825615
20% SPY,-0.40850825744014085,-0.4011185574507534,-0.398466073090604
30% SPY,-0.3984852732866375,-0.3987605648989785,-0.3969070526065175
40% SPY,-0.39706430624219446,-0.39615321966127814,-0.39343851880116143
50% SPY,-0.39551119233644105,-0.39426457170440965,-0.39346718105905065
