date,spy00_puts1.00x,spy00_puts1.50x,spy20_puts1.00x,spy20_puts1.50x,spy30_puts1.00x,spy30_puts1.50x,spy40_puts1.00x,spy40_puts1.50x
2008-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2008-01-03,999855.94902674,998903.5157994732,999705.7288111044,998753.2955838375,999630.6214780736,998678.1882508066,999555.5159948998,998603.0827676328
2008-01-04,1001424.3601145239,1004079.7104435778,996678.5287958658,999333.8791249198,994306.1330114718,996961.4833405258,991934.0837933852,994589.4341224392
2008-01-07,1002008.2936411133,1004052.0252250419,997066.1295287154,999109.861112644,994596.244333444,996639.9759173726,992127.1568967522,994170.8884806808
2008-01-08,1006914.8018952073,1012860.5046774986,998973.945159708,1004919.6479419993,995015.9257403212,1000961.6285226126,991066.1739752156,997011.8767575067
2008-01-09,1000960.3826726811,1003591.0895088654,994916.7971907664,997547.5040269508,991896.0291088824,994526.7359450668,988875.9708556836,991506.6776918678
2008-01-10,1001793.7152735707,1002749.3943178337,996875.0329386048,997830.711982868,994411.471222862,995367.1502671252,991945.1242752234,992900.8033194864
2008-01-11,998465.0920828745,1000692.205186431,992094.9605792024,994322.073682759,988911.1850954784,991138.2981990348,985728.3063751698,987955.4194787262
2008-01-14,999505.9016092524,999719.7615718115,994503.0966970952,994716.9566596544,991996.2455724868,992210.105535046,989485.801284841,989699.6612474
2008-01-15,1002401.6906364154,1005130.4242840895,993464.9082223286,996193.6418700028,989005.976748866,991734.71039654,984553.4194750948,987282.153122769
2008-01-16,1006831.1089484527,1011433.4174028367,996329.813547742,1000932.1220021258,991099.144128054,995701.452582438,985881.841325994,990484.149780378
2008-01-17,1013859.025557102,1028473.9671845571,998670.8181662882,1013285.7597937434,991134.5524666642,1005749.4940941194,983636.7629772236,998251.7046046788
2008-01-18,1009828.2649089337,1022744.6040098974,992765.5572621447,1005681.8963631088,984313.9121303486,997230.2512313124,975915.1745181476,988831.5136191114
2008-01-22,1023827.5934008483,1045086.3741184584,1004918.0606857628,1026176.8414033728,995567.2563422414,1016826.0370598512,986285.325553837,1007544.106271447
2008-01-23,1015994.0434668219,1031329.4298358842,1001343.8945515344,1016679.2809205968,994060.6502440402,1009396.0366131024,986805.469854689,1002140.8562237512
2008-01-24,1012570.3605640413,1024852.9198923098,999392.5036587676,1011675.0629870362,992828.6756310888,1005111.2349593572,986281.8450494992,998564.4043777678
