spy_idle_frac,put_mult,ladder_per_roll_%,final_$,total_return,CAGR,Vol,Sharpe,MaxDD,Calmar,realized_$,gfc_2008_09,covid_2020,bear_2022,aug24,crash_mild_-20%,crash_severe_-30%,crash_volmageddon_-40%,label
0.1,1.0,2.4,9700593.391728833,8.700593391728834,0.13128040666530927,0.1953136916934622,0.7224127432804822,-0.41474165395670215,0.3165353791037699,8105613.878801689,-0.12240920501338926,-0.2034696720281991,-0.10752489073319127,0.015846233566300327,0.304200639571802,0.8292471626205768,1.6129473720226275,spy10_puts1.00x
0.1,1.25,3.0,11266367.366675183,10.266367366675183,0.14050747355292814,0.20269988437519668,0.7393759087211963,-0.40422620488795025,0.34759615248565146,9790972.711348075,-0.11354248474794415,-0.18027409889266022,-0.10165338470137053,0.015237857671061672,0.4103470710420285,1.1031281543555405,2.1511401589253727,spy10_puts1.25x
0.1,1.5,3.6,12759280.810871061,11.759280810871061,0.14823802851138246,0.21178147267115774,0.7442500641733643,-0.4019079363825615,0.36883578325330724,11387626.481213132,-0.09079307799885694,-0.16459351713020876,-0.0954993706501347,0.01478379790717943,0.5164935025122549,1.3770091460905038,2.689332945828117,spy10_puts1.50x
0.2,1.0,2.4,10290201.437659234,9.290201437659233,0.1349099395499509,0.19918796441695186,0.7280255507703695,-0.40850825744014085,0.33025021426823764,8362263.046795256,-0.16359549187069944,-0.20177041973896914,-0.11224661288103299,0.01672275258422995,0.304200639571802,0.8292471626205768,1.6129473720226275,spy20_puts1.00x
0.2,1.25,3.0,11878905.80251154,10.87890580251154,0.1437900907461791,0.20735803981776682,0.7405856402953167,-0.4011185574507534,0.358472795823795,10093342.620800555,-0.15472877160525433,-0.17597484065137226,-0.10677343884112445,0.016050843019280947,0.4103470710420285,1.1031281543555405,2.1511401589253727,spy20_puts1.25x
0.2,1.5,3.6,13427295.775800124,12.427295775800124,0.15142340468178506,0.21574144780484805,0.7466169178560582,-0.398466073090604,0.3800158028695058,11714020.43687613,-0.13197936485616713,-0.1623554469486036,-0.09933128910984146,0.01545882630777995,0.5164935025122549,1.3770091460905038,2.689332945828117,spy20_puts1.50x
0.3,1.0,2.4,10925449.741880411,9.925449741880412,0.1386066048277772,0.2038257964799289,0.7316762640157137,-0.3984852732866375,0.34783369454176793,8585740.618524991,-0.20409601361541396,-0.19590844637130245,-0.11763077108215303,0.017581389302546935,0.304200639571802,0.8292471626205768,1.6129473720226275,spy30_puts1.00x
0.3,1.25,3.0,12506297.825123688,11.506297825123688,0.14699036392286824,0.2115514092484913,0.7429231658810473,-0.3987605648989785,0.3686181053537894,10336978.667699821,-0.19522929334996897,-0.17638265717187374,-0.11135437369662049,0.016858023234803454,0.4103470710420285,1.1031281543555405,2.1511401589253727,spy30_puts1.25x
0.3,1.5,3.6,14142251.719888672,13.142251719888673,0.15467068041428256,0.21988129743806287,0.7488909224792993,-0.3969070526065175,0.38968992714679407,12091031.01161034,-0.17247988660088154,-0.1592690163320134,-0.1031943239861538,0.01621036657454855,0.5164935025122549,1.3770091460905038,2.689332945828117,spy30_puts1.50x
0.4,1.0,2.4,11485119.023662774,10.485119023662774,0.14169872984175957,0.20916574982582242,0.7310665264029964,-0.39706430624219446,0.35686594744008193,8771191.17124437,-0.24438510801134483,-0.19682832622526192,-0.12481013133854746,0.018653827710021886,0.304200639571802,0.8292471626205768,1.6129473720226275,spy40_puts1.00x
0.4,1.25,3.0,13137453.44037036,12.13745344037036,0.15006015135980988,0.21693842744736597,0.7415880245514739,-0.39615321966127814,0.37879321412082784,10590516.695921112,-0.23827502802572087,-0.1739370043932985,-0.11573457112924768,0.01777594975723895,0.4103470710420285,1.1031281543555405,2.1511401589253727,spy40_puts1.25x
0.4,1.5,3.6,14870200.78797284,13.87020078797284,0.15782120641203612,0.22450753051860997,0.7495571562415665,-0.39343851880116143,0.4011330840023746,12417896.522029294,-0.2127689809968124,-0.15534769477679589,-0.10689120058103974,0.016984623761917117,0.5164935025122549,1.3770091460905038,2.689332945828117,spy40_puts1.50x
0.5,1.0,2.4,12022691.235681985,11.022691235681984,0.14453741104390638,0.2150811642526725,0.7281539433617645,-0.39551119233644105,0.36544455338941667,8920532.043650059,-0.2832020742375805,-0.20067285251472,-0.13189293202549313,0.01980499548813186,0.304200639571802,0.8292471626205768,1.6129473720226275,spy50_puts1.00x
0.5,1.25,3.0,13744496.314926174,12.744496314926174,0.15288380220672826,0.22213971295136295,0.7401318902853465,-0.39426457170440965,0.38776956688197994,10807580.916465856,-0.27709199425195663,-0.1766703224322973,-0.12116806673028147,0.018763731797027505,0.4103470710420285,1.1031281543555405,2.1511401589253727,spy50_puts1.25x
0.5,1.5,3.6,15478155.657320784,14.478155657320784,0.160342559198986,0.23068325814311263,0.7441618568008898,-0.39346718105905065,0.40751190167223156,12684056.240661658,-0.2602309709286047,-0.15722940556868836,-0.11109812740586222,0.01792932228191635,0.5164935025122549,1.3770091460905038,2.689332945828117,spy50_puts1.50x
