etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.008128,1.0
ASTN,ASTS,-1.898529,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BEZ,BE,-1.982932,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
BMNZ,BMNR,-1.966563,1.0
CELT,CELH,-1.0,1.0
CLSZ,CLSK,-2.017505,1.0
CONI,COIN,-1.503146,1.0
CRCD,CRCL,-2.009274,1.0
CORD,CRWV,-2.005534,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-1.989586,1.0
SDOW,DIA,-2.98831,1.0
DKUP,DKNG,-1.0,1.0
ETHD,ETHA,-1.981421,1.0
HOOZ,HOOD,-2.00811,1.0
BTCZ,IBIT,-1.992582,1.0
IONZ,IONQ,-1.984602,1.0
IREZ,IREN,-2.009311,1.0
TWM,IWM,-2.003536,1.0
TZA,IWM,-2.990991,1.0
LYFX,LYFT,-1.0,1.0
MSDD,MSTR,-2.003384,1.0
MSTZ,MSTR,-1.982392,1.0
SMST,MSTR,-1.629063,1.0
NBIZ,NBIS,-1.987081,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVD,NVDA,-1.992517,1.0
NVDS,NVDA,-1.461916,1.0
OKLS,OKLO,-2.003453,1.0
OKTX,OKTA,-1.0,1.0
PLTZ,PLTR,-1.996705,1.0
QBTZ,QBTS,-2.000342,1.0
QID,QQQ,-1.992694,1.0
QSX,QS,-1.0,1.0
RGTZ,RGTI,-1.748743,1.0
RKLZ,RKLB,-1.997927,1.0
ZSL,SLV,-2.023575,1.0
SMCZ,SMCI,-1.987955,1.0
HIBS,SPHB,-3.015858,1.0
SPXS,SPY,-2.901809,1.0
SPXU,SPY,-2.895658,1.0
TBT,TLT,-1.981574,1.0
TBX,TLT,-0.42309,1.0
TMV,TLT,-2.966291,1.0
TSDD,TSLA,-1.993309,1.0
STSM,TSM,-1.985814,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.340579,1.0
DUG,XLE,-1.977396,1.0
SKF,XLF,-2.004369,1.0
FNGD,XLK,-2.827066,1.0
REW,XLK,-1.998762,1.0
TECS,XLK,-2.964201,1.0
WEBS,XLK,-2.245509,1.0
DRIP,XOP,-1.998792,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
