symbol,underlying,bucket,leg_class,total_pnl
PONX,PONY,bucket_1,core_levered_etf,-921.8222891085243
PTIR,PLTR,bucket_1,core_levered_etf,466.75999112499596
PYPG,PYPL,bucket_1,core_levered_etf,-170.66286984891335
PYPY,PYPL,bucket_2,yieldboost_etf,1191.33550389
QBTX,QBTS,bucket_1,core_levered_etf,-1399.3196733602974
QCMU,QCOM,bucket_1,core_levered_etf,939.8685036146869
QID,QQQ,bucket_4,inverse_b4_etf,71.65317078
QQQX,QQQ,bucket_2,yieldboost_etf,120.11834842
QUBX,QUBT,bucket_1,core_levered_etf,-5333.457800855713
QYLD,QQQ,bucket_2,yieldboost_etf,40.81391703
QYLG,QQQ,bucket_2,yieldboost_etf,89.18458955
RBLU,RBLX,bucket_1,core_levered_etf,929.7952903705212
RBLY,RBLX,bucket_2,yieldboost_etf,575.5320815400001
RCAX,RCAT,bucket_1,core_levered_etf,2804.4957510810264
RDTL,RDDT,bucket_1,core_levered_etf,-283.22852183983775
RDWU,RDW,bucket_1,core_levered_etf,-391.50065876175853
RDYY,RDDT,bucket_2,yieldboost_etf,690.08119775
RKTL,RKT,bucket_1,core_levered_etf,1212.779584269888
RTXG,RTX,bucket_1,core_levered_etf,225.74894674480652
SATG,SATS,bucket_1,core_levered_etf,-298.1637688623576
SBTU,SBET,bucket_1,core_levered_etf,-956.3172529941896
SBU,SBUX,bucket_1,core_levered_etf,-15.752488627900387
SDOW,DIA,bucket_4,inverse_b4_etf,-27.79841554
SDS,SPY,bucket_3,flow_inverse,280.1366918859184
SHPU,SHOP,bucket_1,core_levered_etf,-24.84973986822995
SMCL,SMCI,bucket_1,core_levered_etf,494.3908935113684
SNAG,SNAP,bucket_1,core_levered_etf,-92.19789033017524
SNDU,SNDK,bucket_1,core_levered_etf,-2495.3510046979254
SNOU,SNOW,bucket_1,core_levered_etf,2617.134739389098
SNOY,SNOW,bucket_2,yieldboost_etf,606.9012534699999
SNPX,SNPS,bucket_1,core_levered_etf,86.78061886485594
SNXX,SNDK,bucket_1,core_levered_etf,-98.37757425000001
SOFA,SOFI,bucket_1,core_levered_etf,35.522734057790196
SOLT,SOEZ,bucket_1,core_levered_etf,2127.341199946715
SOLX,GSOL,bucket_1,core_levered_etf,1471.3127476999712
SOXL,SOXX,bucket_1,core_levered_etf,-905.1628932359339
SOXS,SOXX,bucket_3,flow_inverse,1512.2488353198403
SPOG,SPOT,bucket_1,core_levered_etf,-139.6999153517773
SPXL,SPY,bucket_1,core_levered_etf,-18.70649721156112
SPYI,SPY,bucket_2,yieldboost_etf,14.786999749999998
SQQQ,QQQ,bucket_3,flow_inverse,650.8420843274716
SRPU,SRPT,bucket_1,core_levered_etf,-1300.6103764003728
TARK,ARKK,bucket_1,core_levered_etf,-199.8730469392599
TEMT,TEM,bucket_1,core_levered_etf,397.1033537596256
TERG,TER,bucket_1,core_levered_etf,-4158.58644727461
TQQQ,QQQ,bucket_1,core_levered_etf,-70.12133930455305
TQQY,QQQ,bucket_3,flow_low_delta,36.8829073585249
TSLI,TSLA,bucket_1,core_levered_etf,1153.5354872567614
TSLL,TSLA,bucket_1,core_levered_etf,999.6024436353302
TSLQ,TSLA,bucket_3,flow_inverse,-92.4853918264432
TSLR,TSLA,bucket_1,core_levered_etf,749.4173815575488
TSLT,TSLA,bucket_1,core_levered_etf,-6.56676925
TSLW,TSLA,bucket_2,yieldboost_etf,420.14373237
TSLY,TSLA,bucket_2,yieldboost_etf,161.74500094000004
TSMG,TSM,bucket_1,core_levered_etf,174.5892771397404
TSMU,TSM,bucket_1,core_levered_etf,-447.81206174408
TSMY,TSM,bucket_2,yieldboost_etf,-394.89204713
TSYY,TSLA,bucket_3,flow_low_delta,1.5326420152154516
TTDU,TTD,bucket_1,core_levered_etf,-59.32272484646226
UBRL,UBER,bucket_1,core_levered_etf,41.74557528868493
UECG,UEC,bucket_1,core_levered_etf,1030.8693085364316
UNHG,UNH,bucket_1,core_levered_etf,-855.24645069387
UNX,U,bucket_1,core_levered_etf,-581.7742640470116
UPSG,UPS,bucket_1,core_levered_etf,101.92981715033451
UPSX,UPST,bucket_1,core_levered_etf,-481.9142845992295
URAA,URA,bucket_1,core_levered_etf,360.60130793792297
URTY,IWM,bucket_1,core_levered_etf,-25.241086929892408
USGG,USAR,bucket_1,core_levered_etf,-3305.279618060294
UUUG,UUUU,bucket_1,core_levered_etf,313.749775632522
UXRP,XRPZ,bucket_1,core_levered_etf,1610.2500762373945
VALG,VALE,bucket_1,core_levered_etf,-385.25590487001085
VRTL,VRT,bucket_1,core_levered_etf,-4108.074771792106
WDCX,WDC,bucket_1,core_levered_etf,-947.5237642936816
WEBS,XLK,bucket_4,inverse_b4_etf,312.20477971
WULX,WULF,bucket_1,core_levered_etf,-2485.335217015825
XBTY,IBIT,bucket_2,yieldboost_etf,215.97949734168833
XOMO,XOM,bucket_2,yieldboost_etf,-441.54719707
XOMX,XOM,bucket_1,core_levered_etf,11.719321004089798
XPEG,XPEV,bucket_1,core_levered_etf,56.54089546611058
XXRP,XRPZ,bucket_1,core_levered_etf,2093.0364938771036
XYLD,SPY,bucket_2,yieldboost_etf,-12.502203399999999
XYLG,SPY,bucket_2,yieldboost_etf,12.435287119999998
XYZG,XYZ,bucket_1,core_levered_etf,-271.4280835362799
XYZY,XYZ,bucket_2,yieldboost_etf,957.77321044
YINN,FXI,bucket_1,core_levered_etf,131.50151942600826
ZETX,ZETA,bucket_1,core_levered_etf,113.534303669554
ZSL,SLV,bucket_3,flow_inverse,-1685.9487959473665
AAL,AAL,bucket_1,spot,-153.179941
AAOI,AAOI,bucket_1,spot,9616.649518
AAPL,AAPL,bucket_1,spot,1147.47732607
ABNB,ABNB,bucket_1,spot,-48.18917025000002
ACHR,ACHR,bucket_1,spot,-322.268245
ADBE,ADBE,bucket_1,spot,-220.901457
AFRM,AFRM,bucket_1,spot,809.086277
ALAB,ALAB,bucket_1,spot,4442.125835
ALB,ALB,bucket_1,spot,-86.624044
AMD,AMD,bucket_1,spot,7785.19979033
AMZN,AMZN,bucket_1,spot,820.43834724
APH,APH,bucket_1,spot,255.397486
APP,APP,bucket_1,spot,-1192.481122
ARKK,ARKK,bucket_1,spot,186.844286
ARM,ARM,bucket_1,spot,681.94533525
ASHR,ASHR,bucket_1,spot,55.053307000000004
ASML,ASML,bucket_1,spot,415.30079600000005
ASTS,ASTS,bucket_1,spot,-2989.309047
AVGO,AVGO,bucket_1,spot,4443.55656
AXON,AXON,bucket_1,spot,-94.63568700000002
BA,BA,bucket_1,spot,-2013.298484
BABA,BABA,bucket_1,spot,-2322.09925325
BBAI,BBAI,bucket_1,spot,628.772564
BE,BE,bucket_1,spot,1416.616229
BIDU,BIDU,bucket_1,spot,73.027643
BKNU,BKNG,bucket_1,spot,-0.64
BLSH,BLSH,bucket_1,spot,2181.74385416
BMNR,BMNR,bucket_1,spot,153.526267
BULL,BULL,bucket_1,spot,322.14333
CEG,CEG,bucket_1,spot,-786.059299
CELH,CELH,bucket_1,spot,17.107270300000092
CHNL,CHNL,bucket_1,spot,6.944265
CIFR,CIFR,bucket_1,spot,911.404165
CLS,CLS,bucket_1,spot,621.713467
CLSK,CLSK,bucket_1,spot,414.7989409799999
CMG,CMG,bucket_1,spot,-650.366184
CNC,CNC,bucket_1,spot,-684.4336490000001
COHR,COHR,bucket_1,spot,212.622743
COIN,COIN,bucket_1,spot,34.017057220090344
COPX,COPX,bucket_1,spot,-1311.327228
CORZ,CORZ,bucket_1,spot,1705.507215
COST,COST,bucket_1,spot,125.477182
CRCL,CRCL,bucket_1,spot,-1205.341771
