ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.986324,501,ols
AMUU,AMD,2.0,2.00739,250,ols
AMZU,AMZN,2.0,1.988277,501,ols
ASMU,ASML,2.0,1.99462,35,ols
AVL,AVGO,2.0,1.98685,369,ols
BOEU,BA,2.0,1.993382,237,ols
BABU,BABA,2.0,2.026944,34,ols
BRKU,BRK-B,2.0,1.946232,326,ols
CONX,COIN,2.0,2.002905,91,ols
CSCL,CSCO,2.0,2.02456,194,ols
FRDU,F,2.0,1.984709,175,ols
GGLL,GOOGL,2.0,1.994625,501,ols
HODU,HOOD,2.0,2.006388,91,ols
LINT,INTC,2.0,1.990525,91,ols
ELIL,LLY,2.0,1.992757,255,ols
LMTL,LMT,2.0,1.993688,165,ols
METU,META,2.0,1.998303,456,ols
MRVU,MRVL,2.0,2.009517,34,ols
MSFU,MSFT,2.0,1.991565,501,ols
MUU,MU,2.0,1.994272,369,ols
NFXL,NFLX,2.0,1.99609,374,ols
NVDU,NVDA,2.0,1.987254,501,ols
ORCU,ORCL,2.0,2.003735,91,ols
PALU,PANW,2.0,2.004541,255,ols
PLTU,PLTR,2.0,1.99191,326,ols
QCMU,QCOM,2.0,2.002478,194,ols
SHPU,SHOP,2.0,2.011988,165,ols
SOFA,SOFI,2.0,1.99374,35,ols
TSLL,TSLA,2.0,1.99386,501,ols
TSMX,TSM,2.0,1.994996,374,ols
XOMX,XOM,2.0,1.980943,237,ols
YINN,FXI,2.0,2.972947,501,ols
MEXX,EWW,2.0,2.956326,501,ols
KORU,EWY,2.0,2.929706,501,ols
HIBL,SPY,2.0,4.472242,501,ols
LABU,XBI,2.0,2.98841,501,ols
SOXL,SOXX,2.0,2.96138,501,ols
CHAU,ASHR,2.0,1.966401,501,ols
CWEB,KWEB,2.0,1.987711,501,ols
ERX,XLE,2.0,1.98719,501,ols
NUGT,GDX,2.0,1.977942,501,ols
JNUG,GDXJ,2.0,1.974827,501,ols
GUSH,XOP,2.0,2.010454,501,ols
URAA,URA,2.0,1.932456,443,ols
MSTU,MSTR,2.0,1.966006,385,ols
NVDX,NVDA,2.0,1.997758,501,ols
TSLT,TSLA,2.0,1.992568,501,ols
BTCL,IBIT,2.0,2.006125,434,ols
ETU,ETHA,2.0,1.989479,359,ols
CCUP,CRCL,2.0,1.98429,162,ols
CRWU,CRWV,2.0,1.988541,172,ols
AAPX,AAPL,2.0,1.99566,501,ols
GOOX,GOOGL,2.0,1.979172,501,ols
MSFX,MSFT,2.0,2.007171,501,ols
NFLU,NFLX,2.0,1.991516,378,ols
ROBN,HOOD,2.0,2.011229,293,ols
DJTU,DJT,2.0,2.007331,272,ols
RBLU,RBLX,2.0,2.018114,272,ols
SNOU,SNOW,2.0,2.016265,236,ols
SMUP,SMR,2.0,1.981767,172,ols
GLXU,GLXY,2.0,2.011133,163,ols
AFRU,AFRM,2.0,1.948468,137,ols
KTUP,KTOS,2.0,2.027311,137,ols
TTDU,TTD,2.0,1.995609,136,ols
BMNU,BMNR,2.0,1.946579,129,ols
SBTU,SBET,2.0,2.024281,112,ols
CIFU,CIFR,2.0,1.985336,89,ols
SOLX,GSOL,2.0,1.974781,82,ols
XRPK,XRPZ,2.0,1.957244,82,ols
XRPT,XRPZ,2.0,2.016112,88,ols
GMEU,GME,2.0,1.965364,236,ols
APLX,APLD,2.0,1.994403,142,ols
APPX,APP,2.0,1.986212,235,ols
ARCX,ACHR,2.0,1.986338,204,ols
ASTX,ASTS,2.0,1.989748,183,ols
BEX,BE,2.0,1.975847,95,ols
CEGX,CEG,2.0,1.984389,183,ols
CLSX,CLSK,2.0,1.998559,137,ols
COZX,CORZ,2.0,2.03878,101,ols
CRDU,CRDO,2.0,1.990239,137,ols
CSEX,CLS,2.0,1.996829,95,ols
CWVX,CRWV,2.0,1.98922,183,ols
DOGD,DDOG,2.0,2.013121,161,ols
ENPX,ENPH,2.0,2.019387,137,ols
FLYT,FLY,2.0,1.980808,110,ols
GEVX,GEV,2.0,1.996559,183,ols
IREX,IREN,2.0,1.981848,110,ols
JOBX,JOBY,2.0,1.978657,142,ols
LABX,ALAB,2.0,1.995478,161,ols
LRCU,LRCX,2.0,2.039648,156,ols
MDBX,MDB,2.0,1.990915,156,ols
NEBX,NBIS,2.0,1.997853,142,ols
NNEX,NNE,2.0,1.984944,95,ols
NVTX,NVTS,2.0,1.997983,142,ols
OPEX,OPEN,2.0,1.994673,110,ols
PONX,PONY,2.0,2.005926,142,ols
QBTX,QBTS,2.0,1.992184,235,ols
QUBX,QUBT,2.0,1.962745,195,ols
RGTU,RGTI,2.0,1.986086,195,ols
SMU,SMR,2.0,1.98534,183,ols
SNPX,SNPS,2.0,1.919582,95,ols
SRPU,SRPT,2.0,1.964962,110,ols
TARK,ARKK,2.0,1.977541,501,ols
TEMT,TEM,2.0,1.984595,223,ols
UNX,U,2.0,2.029477,137,ols
UPSX,UPST,2.0,1.985386,204,ols
VOYX,VOYG,2.0,1.968437,142,ols
