ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.986324,501,ols,0.100909,100000,0.100909,False,False,28.5,0.100909,1.0,False,,True,False,False,False,False,True,False,False,False,0.563875,0.174743,0.283714,0.07885,0.174743,0.07383400000000001,0.07383400000000001,0.496581,0.5958972,0.5,0.5958972
AMUU,AMD,2.00739,250,ols,0.049134000000000004,60000,0.049134000000000004,False,False,48.5099983215332,0.049134000000000004,1.0,False,,True,False,False,False,False,True,False,False,False,1.293411,0.497616,0.561633,0.318937,0.496198,0.448482,0.44706399999999996,0.5018475,0.602217,0.5018475,0.602217
AMZU,AMZN,1.988277,501,ols,0.04958,25000,0.04958,False,False,27.200000762939453,0.04958,1.0,False,,True,False,False,False,False,True,False,False,False,0.636507,0.210614,0.319988,0.100599,0.210614,0.161034,0.161034,0.49706925,0.5964831,0.5,0.5964831
ASMU,ASML,1.99462,35,ols,0.057016,25000,0.057016,False,False,20.610000610351562,0.057016,1.0,False,,True,False,False,False,False,True,False,False,False,0.898666,0.339613,0.438057,0.190348,0.211079,0.282597,0.154063,0.498655,0.598386,0.5,0.598386
AVL,AVGO,1.98685,369,ols,0.05229,150000,0.05229,False,False,33.939998626708984,0.05229,1.0,False,,True,False,False,False,False,True,False,False,False,1.073003,0.377809,0.535931,0.281581,0.377809,0.325519,0.325519,0.4967125,0.596055,0.5,0.596055
BOEU,BA,1.993382,237,ols,0.05177,10000,0.05177,False,False,33.249000549316406,0.05177,1.0,False,,True,False,False,False,False,True,False,False,False,0.602165,0.194693,0.353718,0.123877,0.190478,0.14292300000000002,0.138708,0.4983455,0.5980146,0.5,0.5980146
BABU,BABA,2.026944,34,ols,0.049821,20000,0.049821,False,False,12.819999694824219,0.049821,1.0,False,,True,False,False,False,False,True,False,False,False,0.706334,0.235103,0.444906,0.206013,0.209938,0.185282,0.160117,0.506736,0.6080831999999999,0.506736,0.6080831999999999
BRKU,BRK-B,1.946232,326,ols,0.143776,30000,0.143776,False,False,21.597999572753906,0.143776,1.0,False,,True,False,False,False,False,True,False,False,False,0.356307,0.136437,0.172811,0.027498,0.136437,-0.007338999999999984,-0.007338999999999984,0.486558,0.5838696,0.5,0.5838696
CONX,COIN,2.002905,91,ols,0.120007,35000,0.120007,False,False,8.118000030517578,0.120007,1.0,False,,True,False,False,False,False,True,False,False,False,1.535905,0.710397,0.793345,0.632142,0.660401,0.59039,0.540394,0.50072625,0.6008715,0.50072625,0.6008715
CSCL,CSCO,2.02456,194,ols,0.097609,20000,0.097609,False,False,30.027000427246094,0.097609,1.0,False,,True,False,False,False,False,True,False,False,False,0.533956,0.193915,0.239298,0.05939,0.162953,0.096306,0.06534399999999999,0.50614,0.607368,0.50614,0.607368
FRDU,F,1.984709,175,ols,0.10302199999999999,10000,0.10302199999999999,False,False,24.42099952697754,0.10302199999999999,1.0,False,,True,False,False,False,False,True,False,False,False,0.619758,0.206234,0.344266,0.115815,0.178606,0.10321200000000001,0.075584,0.49617725,0.5954127,0.5,0.5954127
GGLL,GOOGL,1.994625,501,ols,0.046714000000000006,35000,0.046714000000000006,False,False,82.44999694824219,0.046714000000000006,1.0,False,,True,False,False,False,False,True,False,False,False,0.600832,0.191625,0.301107,0.089936,0.191625,0.14491099999999998,0.14491099999999998,0.49865625,0.5983875,0.5,0.5983875
HODU,HOOD,2.006388,91,ols,0.098088,15000,0.098088,False,False,6.949999809265137,0.098088,1.0,False,,True,False,False,False,False,True,False,False,False,1.41349,0.644703,0.706668,0.504175,0.554921,0.5466150000000001,0.456833,0.501597,0.6019163999999999,0.501597,0.6019163999999999
LINT,INTC,1.990525,91,ols,0.148511,35000,0.148511,False,False,42.16999816894531,0.148511,1.0,False,,True,False,False,False,False,True,False,False,False,1.453035,0.621603,0.627066,0.387641,0.472127,0.473092,0.323616,0.49763125,0.5971575,0.5,0.5971575
