etf,underlying,delta
DAMD,AMD,-2.026345
ASTN,ASTS,-1.99947
AURU,AUR,-1.0
AXUP,AXON,-1.0
BEZ,BE,-2.00081
BKNU,BKNG,-1.0
BLSX,BLSH,-1.0
BMNZ,BMNR,-1.990822
CELT,CELH,-1.0
CONI,COIN,-1.928425
CRCD,CRCL,-1.990544
CORD,CRWV,-2.001771
DASX,DASH,-1.0
DXD,DIA,-2.001992
SDOW,DIA,-2.998327
DKUP,DKNG,-1.0
HOOZ,HOOD,-2.011309
BTCZ,IBIT,-1.99689
IONZ,IONQ,-2.009689
IREZ,IREN,-2.005993
TWM,IWM,-2.001966
TZA,IWM,-2.996991
BTFL,KEEL,-1.0
LITZ,LITE,-1.999933
LYFX,LYFT,-1.0
MSTZ,MSTR,-1.993825
SMST,MSTR,-1.971023
MUZ,MU,-2.0
NBIZ,NBIS,-2.025915
NWMX,NEM,-1.0
NETX,NET,-1.0
NVD,NVDA,-2.00372
NVDS,NVDA,-1.500634
OKLS,OKLO,-1.997647
OKTX,OKTA,-1.0
QBTZ,QBTS,-1.992563
QID,QQQ,-1.995043
QSX,QS,-1.0
RGTZ,RGTI,-1.981936
RKLZ,RKLB,-1.995666
SMCZ,SMCI,-2.007257
SNDQ,SNDK,-2.019445
SNK,SPCX,-2.0
SPCG,SPCX,-2.0
SSPC,SPCX,-2.0
HIBS,SPHB,-3.005375
SPXS,SPY,-2.99452
SPXU,SPY,-2.991284
UVIX,SVIX,-1.992109
TBT,TLT,-1.997762
TBX,TLT,-1.369311
TMV,TLT,-2.990545
TSDD,TSLA,-2.007805
STSM,TSM,-1.99864
PXIU,UPXI,-1.0
SCO,USO,-1.755551
DUG,XLE,-1.992121
SKF,XLF,-1.997932
FNGD,XLK,-2.876481
REW,XLK,-2.007581
TECS,XLK,-2.99837
WEBS,XLK,-2.725564
DRIP,XOP,-1.996028
GXRP,XRPZ,-1.0
XRP,XRPZ,-1.0
