symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,17376.22377504,17376.22377504,1
DUST,flow_program,15954.9810816,15954.9810816,1
ZSL,flow_program,14065.07682294,14065.07682294,1
SDS,flow_program,10430.09246136,10430.09246136,1
FAZ,flow_program,8601.256736880001,8601.256736880001,1
SQQQ,flow_program,7926.836768200001,7926.836768200001,1
TSLQ,flow_program,7442.86163652,7442.86163652,1
NVDQ,flow_program,5784.10392924,5784.10392924,1
LABD,flow_program,5089.21883466,5089.21883466,1
EWV,flow_program,3102.89814765,3102.89814765,1
SOXS,flow_program,1502.33181048,1502.33181048,1
TSYY,flow_program,-64.42140768,64.42140768,1
NVYY,flow_program,-91.67106070199999,91.67106070199999,1
TQQY,flow_program,-455.75122656,455.75122656,1
