symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed,discrepancy_blocker,purgatory,purgatory_no_locate,purgatory_borrow_band,purgatory_net_edge,purgatory_vol_ratio
CWY,-165789.99429666964,-29861.999999999996,135927.99429666964,135927.99429666964,165789.99429666964,29861.999999999996,-135927.99429666964,True,none,False,False,False,False,False
AMYY,0.0,-104357.1478,-104357.1478,104357.1478,0.0,104357.1478,104357.1478,False,none,False,False,False,False,False
HMYY,-142051.8673990808,-43487.625,98564.2423990808,98564.2423990808,142051.8673990808,43487.625,-98564.2423990808,True,none,False,False,False,False,False
CRY,-98790.74213181004,-18707.899999999998,80082.84213181004,80082.84213181004,98790.74213181004,18707.899999999998,-80082.84213181004,True,none,False,False,False,False,False
HOYY,0.0,-78613.63650000001,-78613.63650000001,78613.63650000001,0.0,78613.63650000001,78613.63650000001,False,none,False,False,False,False,False
LITX,-7896.593860823495,-60565.32,-52668.726139176506,52668.726139176506,7896.593860823495,60565.32,52668.726139176506,False,none,False,False,False,False,False
SNXX,-5777.207355994523,-53594.6,-47817.39264400548,47817.39264400548,5777.207355994523,53594.6,47817.39264400548,False,none,False,False,False,False,False
RTYY,-63208.8023185521,-110071.81279999999,-46863.010481447884,46863.010481447884,63208.8023185521,110071.81279999999,46863.010481447884,False,none,False,False,False,False,False
MUYY,-164506.4760488165,-120381.42,44125.05604881649,44125.05604881649,164506.4760488165,120381.42,-44125.05604881649,True,borrow_band,True,False,True,False,False
QBY,-115552.52517319776,-72232.475,43320.05017319776,43320.05017319776,115552.52517319776,72232.475,-43320.05017319776,True,borrow_band,True,False,True,False,False
SEMY,0.0,-42401.925,-42401.925,42401.925,0.0,42401.925,42401.925,False,none,False,False,False,False,False
CORD,-4743.723578791282,-39181.34,-34437.61642120872,34437.61642120872,4743.723578791282,39181.34,34437.61642120872,False,none,False,False,False,False,False
POEL,-39613.23800209043,-6449.099999999999,33164.13800209043,33164.13800209043,39613.23800209043,6449.099999999999,-33164.13800209043,True,none,False,False,False,False,False
NBIG,-5674.094984363371,-37864.59,-32190.495015636625,32190.495015636625,5674.094984363371,37864.59,32190.495015636625,False,none,False,False,False,False,False
MAAY,-120876.98519010004,-89190.64,31686.345190100037,31686.345190100037,120876.98519010004,89190.64,-31686.345190100037,True,none,False,False,False,False,False
SMYY,-128290.53896974088,-98934.4,29356.13896974089,29356.13896974089,128290.53896974088,98934.4,-29356.13896974089,True,none,False,False,False,False,False
AAOG,-28166.39861908508,0.0,28166.39861908508,28166.39861908508,28166.39861908508,0.0,-28166.39861908508,True,none,False,False,False,False,False
IOYY,-119145.55020241316,-91126.89,28018.660202413157,28018.660202413157,119145.55020241316,91126.89,-28018.660202413157,True,none,False,False,False,False,False
QBTZ,-5543.107981636739,-30161.739999999998,-24618.63201836326,24618.63201836326,5543.107981636739,30161.739999999998,24618.63201836326,False,none,False,False,False,False,False
LITZ,-6122.291149477921,-30360.6,-24238.308850522077,24238.308850522077,6122.291149477921,30360.6,24238.308850522077,False,none,False,False,False,False,False
XBTY,-58897.16451010136,-40266.32,18630.844510101357,18630.844510101357,58897.16451010136,40266.32,-18630.844510101357,True,no_locate,True,True,False,False,False
IREG,-7544.055821469864,-25714.08,-18170.024178530137,18170.024178530137,7544.055821469864,25714.08,18170.024178530137,False,none,False,False,False,False,False
FBYY,-66933.7888610457,-48996.25,17937.5388610457,17937.5388610457,66933.7888610457,48996.25,-17937.5388610457,True,no_locate,True,True,False,False,False
SNDQ,-4845.110548673128,-21170.75,-16325.639451326871,16325.639451326871,4845.110548673128,21170.75,16325.639451326871,False,none,False,False,False,False,False
MTYY,-104551.86233874862,-88878.90000000001,15672.962338748606,15672.962338748606,104551.86233874862,88878.90000000001,-15672.962338748606,True,none,False,False,False,False,False
