date,ETF,Underlying,gross_target_usd,hedge_ratio,Delta
2026-02-27,XRPT,XRPZ,0.0,,-0.125828
2026-02-27,CLSZ,CLSK,444.3879728453674,0.9164277000000001,-2.036506
2026-02-27,TWM,IWM,0.0,,-2.002444
2026-02-27,REW,XLK,0.0,,-1.999443
2026-02-27,APLZ,APLD,444.3879728453674,0.8920575000000003,-1.98235
2026-02-28,CLSZ,CLSK,445.977625517932,0.9158607000000001,-2.035246
2026-02-28,TWM,IWM,0.0,,-2.002444
2026-02-28,REW,XLK,0.0,,-1.999443
2026-02-28,APLZ,APLD,445.977625517932,0.8920575,-1.98235
2026-03-02,CLSZ,CLSK,447.0279475373116,0.8898745499999999,-1.977499
2026-03-02,TWM,IWM,0.0,,-2.002396
2026-03-02,TSXD,SOXX,0.0,,-1.938655
2026-03-02,REW,XLK,0.0,,-1.999762
2026-03-02,SKF,XLF,0.0,,-2.000975
2026-03-02,APLZ,APLD,447.0279475373116,0.8912655000000002,-1.98059
2026-03-03,CLSZ,CLSK,448.27493174108,0.8261050500000002,-1.835789
2026-03-03,TWM,IWM,0.0,,-2.001919
2026-03-03,APLZ,APLD,448.27493174108,0.8931334500000002,-1.984741
2026-03-04,DUG,XLE,0.0,,-1.974182
2026-03-04,APLZ,APLD,449.5537500731588,0.8902795500000003,-1.978399
2026-03-04,CLSZ,CLSK,449.5537500731588,0.8732367000000001,-1.940526
2026-03-05,APLZ,APLD,449.3681624430214,0.8930299499999997,-1.984511
2026-03-05,CLSZ,CLSK,449.3681624430214,0.9334395,-2.07431
2026-03-06,SCO,USO,0.0,,-1.510837
2026-03-06,APLZ,APLD,449.0700021511748,0.8916367500000002,-1.981415
2026-03-06,CLSZ,CLSK,449.0700021511748,0.9032733000000002,-2.007274
2026-03-10,SCO,USO,0.0,,-1.504645
2026-03-10,TZA,IWM,0.0,,-2.990894
2026-03-10,APLZ,APLD,443.1180269241096,0.8949681,-1.988818
2026-03-10,CLSZ,CLSK,443.1180269241096,0.92605545,-2.057901
2026-03-11,DRIP,XOP,0.0,,-1.999481
2026-03-11,APLZ,APLD,441.2201062245137,0.89527905,-1.989509
2026-03-11,CLSZ,CLSK,441.2201062245137,0.92579445,-2.057321
2026-03-12,NVDQ,NVDA,0.0,,-1.99244
2026-03-12,CORD,CRWV,727.8183146357436,0.90114345,-2.002541
2026-03-12,TZA,IWM,0.0,,-2.990894
2026-03-12,FAZ,XLF,0.0,,-3.001344
2026-03-12,APLZ,APLD,727.8183146357436,0.8950171499999999,-1.988927
2026-03-12,CLSZ,CLSK,727.8183146357436,0.9284359500000002,-2.063191
2026-03-18,SPXS,SPY,0.0,,-2.898454
2026-03-18,DUG,XLE,0.0,,-1.974991
2026-03-18,APLZ,APLD,0.0,,-1.987602
2026-03-18,CLSZ,CLSK,115000.0,0.9321191999999998,-2.071376
2026-03-20,NVDQ,NVDA,0.0,,-1.992642
2026-03-20,SPXS,SPY,0.0,,-2.898597
2026-03-20,APLZ,APLD,449.18715754879145,0.89432775,-1.987395
2026-03-20,CLSZ,CLSK,449.18715754879145,0.9321322500000001,-2.071405
2026-03-21,SPXS,SPY,0.0,,-2.89913
2026-03-21,DUG,XLE,0.0,,-1.975326
2026-03-21,TBT,TLT,0.0,,-1.981373
2026-03-21,APLZ,APLD,0.0,,-1.986543
2026-03-21,CLSZ,CLSK,115000.0,0.9287253,-2.063834
2026-03-23,SPXS,SPY,0.0,,-2.899653
2026-03-23,DUG,XLE,0.0,,-1.976264
2026-03-23,APLZ,APLD,458.3162896571671,0.8931096000000002,-1.984688
2026-03-23,CLSZ,CLSK,458.3162896571671,0.9151114499999999,-2.033581
2026-03-24,TECS,XLK,0.0,,-2.962295
2026-03-24,DUG,XLE,0.0,,-1.975861
2026-03-24,APLZ,APLD,466.2768656041999,0.8935965000000001,-1.98577
2026-03-24,CLSZ,CLSK,466.2768656041999,0.9180639,-2.040142
2026-03-25,SPXS,SPY,0.0,,-2.898542
2026-03-25,DUG,XLE,0.0,,-1.975363
2026-03-25,APLZ,APLD,473.5235749301352,0.8925970499999999,-1.983549
2026-03-25,CLSZ,CLSK,473.5235749301352,0.91405125,-2.031225
2026-03-26,SPXS,SPY,0.0,,-2.898542
2026-03-26,DUG,XLE,0.0,,-1.975364
2026-03-26,APLZ,APLD,479.422382702864,0.8925970500000002,-1.983549
2026-03-26,CLSZ,CLSK,479.422382702864,0.9140512500000001,-2.031225
2026-03-27,SPXS,SPY,0.0,,-2.899247
2026-03-27,DUG,XLE,0.0,,-1.975684
2026-03-27,TBT,TLT,0.0,,-1.98422
2026-03-27,APLZ,APLD,483.2083582154093,0.89228025,-1.982845
2026-03-27,CLSZ,CLSK,483.2083582154093,0.9174510000000002,-2.03878
2026-03-28,SPXS,SPY,0.0,,-2.900001
2026-03-28,DUG,XLE,0.0,,-1.975632
2026-03-28,APLZ,APLD,485.4179496448852,0.8916417,-1.981426
2026-03-28,CLSZ,CLSK,485.4179496448852,0.9117004500000001,-2.026001
2026-03-31,SPXS,SPY,0.0,,-2.901946
2026-03-31,DUG,XLE,0.0,,-1.975267
2026-03-31,APLZ,APLD,0.0,,-1.988712
2026-03-31,CLSZ,CLSK,115000.0,0.9088335000000001,-2.01963
2026-04-01,MSTZ,MSTR,0.0,,-1.982465
2026-04-01,BTCZ,IBIT,0.0,,-1.992766
2026-04-01,TMV,TLT,0.0,,-2.963534
2026-04-01,TBX,TLT,0.0,,-0.425979
2026-04-01,APLZ,APLD,474.2087851344748,0.8943376499999999,-1.987417
2026-04-01,CLSZ,CLSK,474.2087851344748,0.9061649999999999,-2.0137
2026-04-02,MSTZ,MSTR,0.0,,-1.982456
2026-04-02,BTCZ,IBIT,0.0,,-1.992745
2026-04-02,TMV,TLT,0.0,,-2.966066
2026-04-02,TBX,TLT,0.0,,-0.426475
2026-04-02,APLZ,APLD,470.62385955453,0.8942481,-1.987218
2026-04-02,CLSZ,CLSK,470.62385955453,0.9117062999999999,-2.026014
2026-04-03,MSTZ,MSTR,0.0,,-1.982458
2026-04-03,BTCZ,IBIT,0.0,,-1.992719
2026-04-03,CORD,CRWV,1305.2107779928667,0.9026932500000001,-2.005985
2026-04-03,TMV,TLT,0.0,,-2.965707
2026-04-03,TBX,TLT,0.0,,-0.426352
2026-04-03,APLZ,APLD,1171.643318672995,0.8942382000000001,-1.987196
2026-04-03,BEZ,BE,1305.2107779928667,0.88711065,-1.971357
2026-04-03,NBIZ,NBIS,0.0,,-1.987635
2026-04-03,SMZ,SMR,1217.517446197765,0.87906555,-1.953479
2026-04-03,CLSZ,CLSK,1205.7154025946293,0.9110380499999999,-2.024529
2026-04-04,MSTZ,MSTR,0.0,,-1.982458
2026-04-04,BTCZ,IBIT,0.0,,-1.992719
2026-04-04,CORD,CRWV,1305.2107759864173,0.90269325,-2.005985
2026-04-04,TMV,TLT,0.0,,-2.965703
2026-04-04,TBX,TLT,0.0,,-0.426352
2026-04-04,APLZ,APLD,1171.6433158105797,0.8942382000000001,-1.987196
2026-04-04,BEZ,BE,1305.2107759864173,0.88711065,-1.971357
2026-04-04,NBIZ,NBIS,0.0,,-1.987635
2026-04-04,SMZ,SMR,1217.517446197765,0.87906555,-1.953479
2026-04-04,CLSZ,CLSK,1205.7154018367996,0.91103805,-2.024529
2026-04-07,MSTZ,MSTR,1483.5703845069124,0.89199,-1.9822
2026-04-07,TMV,TLT,0.0,,-2.966258
2026-04-07,TBX,TLT,0.0,,-0.425904
2026-04-07,APLZ,APLD,1168.0894475843477,0.8941356,-1.986968
2026-04-07,NBIZ,NBIS,1356.9761129159297,0.8945437500000001,-1.987875
2026-04-07,SMZ,SMR,1221.593917599701,0.8870994000000001,-1.971332
2026-04-07,HIBS,SPY,0.0,,-4.473407
2026-04-07,CLSZ,CLSK,1207.7634816846532,0.9115803,-2.025734
2026-04-08,MSTZ,MSTR,1485.1941894958427,0.89199,-1.9822
2026-04-08,TMV,TLT,0.0,,-2.966257
2026-04-08,TBX,TLT,0.0,,-0.425904
2026-04-08,APLZ,APLD,1163.792439395137,0.8941355999999999,-1.986968
2026-04-08,NBIZ,NBIS,1357.7967265835475,0.8945437500000001,-1.987875
2026-04-08,SMZ,SMR,1227.973975943165,0.8870994000000002,-1.971332
2026-04-08,HIBS,SPY,0.0,,-4.473407
2026-04-08,CLSZ,CLSK,1211.2739568716715,0.9115803,-2.025734
2026-04-09,MSTZ,MSTR,1246.9209942094278,0.89200305,-1.982229
2026-04-09,TMV,TLT,0.0,,-2.966265
2026-04-09,TBX,TLT,0.0,,-0.426007
2026-04-09,APLZ,APLD,1164.3245144134985,0.8932932,-1.985096
2026-04-09,NBIZ,NBIS,1246.9209942094278,0.8945095500000001,-1.987799
2026-04-09,SMZ,SMR,0.0,,-1.97751
2026-04-09,HIBS,SPY,0.0,,-4.474336
2026-04-09,CLSZ,CLSK,1246.9209942094278,0.9172813500000001,-2.038403
2026-04-10,MSTZ,MSTR,1487.436974389144,0.8920016999999999,-1.982226
2026-04-10,TMV,TLT,0.0,,-2.966168
2026-04-10,TBX,TLT,0.0,,-0.42289
2026-04-10,APLZ,APLD,1168.3853246350643,0.8926744500000001,-1.983721
2026-04-10,NBIZ,NBIS,1351.2449908068188,0.89386695,-1.986371
2026-04-10,SMZ,SMR,1233.507834141735,0.8897480999999999,-1.977218
2026-04-10,HIBS,SPY,0.0,,-4.463863
2026-04-10,CLSZ,CLSK,1216.5559825419152,0.91694295,-2.037651
2026-04-11,MSTZ,MSTR,1213.6594296734486,0.8920053000000001,-1.982234
2026-04-11,TMV,TLT,0.0,,-2.966158
2026-04-11,TBX,TLT,0.0,,-0.423029
2026-04-11,APLZ,APLD,1172.3141866799474,0.89229195,-1.982871
2026-04-11,NBIZ,NBIS,0.0,,-1.98736
2026-04-11,SMZ,SMR,1213.6594296734486,0.88986105,-1.977469
