ETF,Underlying,date,reason,on_model_cadence,on_operator_day,in_plan,prev_etf_usd,prev_underlying_usd,prev_gross,etf_usd,underlying_usd,gross,turnover_usd,txn_cost,book_h,model_h,h_gap,days_since_prev_trade,weekday
MSTZ,MSTR,2026-06-15,resize,,False,True,-2141.6563268622403,-1956.210842699987,4097.867169562227,-1960.39624316776,-2069.3513446126994,4029.7475877804595,294.4005856071926,0.1622657104585252,1.055578101531597,,,20.0,0
MSTZ,MSTR,2026-07-08,resize,,True,True,-2919.634261020761,-1536.3127124616076,4455.946973482369,-3261.928493848932,-1733.5716040660277,4995.500097914959,539.5531244325907,0.8047708719657053,0.5314560412145913,,,23.0,2
NBIZ,NBIS,2026-05-18,enter_operator,,True,True,0.0,0.0,0.0,-1069.5112554324155,-1630.8070723299925,2700.318327762408,2700.318327762408,5.768261832731454,1.52481525,,,,0
NBIZ,NBIS,2026-05-27,resize,,False,True,-860.2590487636086,-1752.4689323639038,2612.7279811275125,-2061.9482756933826,-2615.632587780638,4677.580863474021,2064.8528823465085,4.580211105958423,1.2685248309155888,,,9.0,2
NBIZ,NBIS,2026-07-10,resize,,False,True,-2080.6134168736658,-2713.921249447932,4794.534666321598,-2298.876041233758,-2913.8247926332665,5212.700833867024,418.16616754542656,0.9843395256986428,1.2674997435135644,,,44.0,4
QBTZ,QBTS,2026-05-18,enter_operator,,True,True,0.0,0.0,0.0,-1080.451142312314,-1619.8671854500938,2700.3183277624075,2700.3183277624075,5.938194165821873,1.4992507500000003,,,,0
QBTZ,QBTS,2026-05-26,resize,,True,True,-240.78625391823724,-2498.6409217586934,2739.427175676931,-1629.1092575874009,-3433.446111414337,5062.555369001738,2323.1281933248074,6.202454477174713,2.1075603710576387,,,8.0,1
QBTZ,QBTS,2026-06-10,resize,,False,True,-1952.4439020464504,-2902.755391733384,4855.199293779834,-2731.5543898091587,-3516.073441217645,6247.6278310268035,1392.4285372469692,3.3902818979751173,1.2872060883485819,,,15.0,2
QBTZ,QBTS,2026-06-29,resize,,False,True,-2431.1966412319903,-3441.9712828765146,5873.167924108505,-3042.438571683765,-4239.498583254816,7281.937154938581,1408.7692308300766,3.812955993201036,1.3934541268021616,,,19.0,0
RKLZ,RKLB,2026-05-18,enter_operator,,True,True,0.0,0.0,0.0,-120.6808057058249,-182.53011084267868,303.2109165485036,303.2109165485036,0.7886898758836759,1.51250325,,,,0
RKLZ,RKLB,2026-05-26,resize,,True,True,-106.94518391086588,-188.93173340534872,295.8769173162146,-368.30155887936985,-552.3919664696624,920.6935253490323,624.8166080328176,1.7738216875634731,1.4998360803859314,,,8.0,1
RKLZ,RKLB,2026-06-08,resize,,False,True,-555.4066143340405,-424.63205290722414,980.0386672412646,-604.1494037387579,-581.0954871905845,1185.2448909293425,205.20622368807784,0.5697884496832686,0.9618407029693236,,,13.0,0
RKLZ,RKLB,2026-06-22,resize,,False,True,-611.0147310520565,-548.3209676048658,1159.3356986569224,-691.1102709346443,-567.3831715000666,1258.493442434711,99.1577437777886,0.1111008417554996,0.820973432695116,,,14.0,0
RKLZ,RKLB,2026-07-08,exit_operator,,True,True,-810.1093868200286,-471.8858508387214,1281.99523765875,0.0,0.0,0.0,1281.99523765875,3.38406813062566,,,,16.0,2
SMZ,SMR,2026-04-06,enter_operator,,True,True,0.0,0.0,0.0,-1825.6467240545444,-1604.8631415867064,3430.509865641251,3430.509865641251,7.529341284301198,0.8790655500000001,,,,0
SMZ,SMR,2026-06-02,exit_operator,,True,False,-606.8916018733922,-2034.089114144543,2640.9807160179353,0.0,0.0,0.0,2640.9807160179353,6.070707533622984,,,,57.0,1
SNDQ,SNDK,2026-07-08,enter_operator,,True,True,0.0,0.0,0.0,-452.7083944715407,-387.6956723334888,840.4040668050295,840.4040668050295,2.216890850783167,0.8563916133829524,,,,2
