ETF,Underlying,date,reason,on_model_cadence,on_operator_day,in_plan,prev_etf_usd,prev_underlying_usd,prev_gross,etf_usd,underlying_usd,gross,turnover_usd,txn_cost,book_h,model_h,h_gap,days_since_prev_trade,weekday
APLZ,APLD,2026-03-06,enter_operator,,True,True,0.0,0.0,0.0,-4527.7948844023695,-4043.456439228104,8571.251323630473,8571.251323630473,17.83793650433745,0.8930299500000001,,,,4
APLZ,APLD,2026-04-20,exit_operator,,True,True,-1936.427234407966,-5071.20872714811,7007.635961556076,0.0,0.0,0.0,7007.635961556076,14.752650608742162,,,,45.0,0
ASTN,ASTS,2026-05-18,enter_operator,,True,True,0.0,0.0,0.0,-1080.5912289195385,-1619.7270988428695,2700.318327762408,2700.318327762408,5.901146549604633,1.4989267499999996,,,,0
ASTN,ASTS,2026-05-27,resize,,False,True,-685.1620490425544,-1974.7127496982855,2659.8747987408397,-1686.0424295679431,-3185.292196284105,4871.334625852049,2211.459827111208,5.398367932911949,1.8892123593238115,,,9.0,2
BEZ,BE,2026-04-06,enter_operator,,True,True,0.0,0.0,0.0,-1948.797728199092,-1728.7992193812197,3677.5969475803117,3677.5969475803117,7.437886863400706,0.8871106499999999,,,,0
BEZ,BE,2026-04-13,exit_operator,,True,True,-1215.158153288617,-2134.7468488516506,3349.9050021402677,0.0,0.0,0.0,3349.9050021402677,6.760844544808726,,,,7.0,0
BEZ,BE,2026-04-20,enter_operator,,True,True,0.0,0.0,0.0,-507.1459011828552,-1005.2453337804104,1512.3912349632656,1512.3912349632656,3.0754350454755137,1.9821619999999995,,,7.0,0
BEZ,BE,2026-06-02,exit_operator,,True,False,-201.2796864502141,-1259.6538950717322,1460.9335815219463,0.0,0.0,0.0,1460.9335815219463,3.157918017759109,,,,43.0,1
CBRZ,CBRS,2026-07-08,enter_operator,,True,True,0.0,0.0,0.0,-2838.98209257087,-2838.98209257087,5677.96418514174,5677.96418514174,11.820527337750336,1.0,,,,2
CLSZ,CLSK,2026-03-06,enter_operator,,True,True,0.0,0.0,0.0,-4433.162415286577,-4138.088908343895,8571.251323630473,8571.251323630473,19.408057303958863,0.9334395000000001,,,,4
CLSZ,CLSK,2026-05-19,resize,,False,True,-1384.002014868718,-6038.644186902798,7422.646201771516,-2311.7248591077123,-6804.981998395958,9116.70685750367,1694.0606557321544,3.5638753603937947,2.9436816287136214,,,74.0,1
CLSZ,CLSK,2026-06-11,resize,,False,True,-1870.1365428892568,-6902.262224405009,8772.398767294266,-2469.825243849467,-6757.129067435876,9226.954311285343,744.821857929343,2.0357518542744923,2.735873351470091,,,23.0,3
CLSZ,CLSK,2026-06-18,exit,,False,False,-2469.825347383924,-7827.386056136789,10297.211403520712,0.0,0.0,0.0,10297.211403520712,23.6461752555443,,,,7.0,3
CONI,COIN,2026-04-20,enter_operator,,True,True,0.0,0.0,0.0,-78.34869595602017,-117.40230859356204,195.7510045495822,195.7510045495822,0.4002888862135338,1.4984590000000002,,,,0
CORD,CRWV,2026-03-13,enter_operator,,True,True,0.0,0.0,0.0,-3033.51734988132,-2733.63429030691,5767.15164018823,5767.15164018823,12.326378053995883,0.90114345,,,,4
CORD,CRWV,2026-03-20,exit_operator,,True,True,-3012.330945626628,-2718.4681322623824,5730.799077889011,0.0,0.0,0.0,5730.799077889011,12.158039836389769,,,,7.0,4
CORD,CRWV,2026-04-06,enter_operator,,True,True,0.0,0.0,0.0,-1932.8375436136705,-1744.7594039666412,3677.5969475803117,3677.5969475803117,7.924431237997446,0.9026932500000001,,,17.0,0
CORD,CRWV,2026-04-13,exit_operator,,True,True,-1151.2375387256266,-2198.733059508237,3349.9705982338637,0.0,0.0,0.0,3349.9705982338637,7.254669653050455,,,,7.0,0
CORD,CRWV,2026-05-18,enter_operator,,True,True,0.0,0.0,0.0,-1037.6699687123428,-1563.396378748225,2601.066347460568,2601.066347460568,5.831346912785413,1.5066412500000002,,,35.0,0
CORD,CRWV,2026-05-28,resize,,False,True,-1006.3751516548372,-1570.929367229114,2577.304518883951,-1890.3554430250188,-2371.90565088698,4262.261093911999,1684.9565750280476,3.972687561880342,1.2547405619608587,,,10.0,3
CORD,CRWV,2026-06-22,resize,,False,True,-1312.2054454389595,-2618.063472634274,3930.2689180732336,-1829.580498426131,-2551.9359293332705,4381.516427759401,583.5025962881753,1.1929274333219586,1.394820250614026,,,25.0,0
CRCD,CRCL,2026-04-20,enter_operator,,True,True,0.0,0.0,0.0,-999.1941621755036,-2008.272353003248,3007.4665151787517,3007.4665151787517,6.791828309245757,2.0098920000000007,,,,0
CRCD,CRCL,2026-05-26,resize,,True,True,-584.8941578841999,-2135.9136215114136,2720.8077793956136,-1147.06649418505,-2233.839346581134,3380.905840766184,660.0980613705707,1.9791866596130503,1.9474366637900948,,,36.0,1
CRCD,CRCL,2026-06-23,exit_operator,,True,False,-1677.5416887075448,-1714.4614772131872,3392.003165920732,0.0,0.0,0.0,3392.003165920732,8.239796305689245,,,,28.0,1
DAMD,AMD,2026-07-08,enter_operator,,True,True,0.0,0.0,0.0,-1070.003553957115,-985.2441300560424,2055.2476840131576,2055.2476840131576,6.32012523300082,0.9207858482454446,,,,2
ETHD,ETHA,2026-04-20,enter_operator,,True,True,0.0,0.0,0.0,-665.1972859955413,-1318.0917481865952,1983.2890341821364,1983.2890341821364,4.275537168039479,1.9815050000000003,,,,0
ETHD,ETHA,2026-04-27,exit_operator,,True,True,-666.0050953931208,-1310.6110630927974,1976.6161584859183,0.0,0.0,0.0,1976.6161584859183,4.265715054116325,,,,7.0,0
IREZ,IREN,2026-04-20,enter_operator,,True,True,0.0,0.0,0.0,-367.49674420305104,-738.1932825578779,1105.690026760929,1105.690026760929,2.358572131894092,2.0087069999999994,,,,0
IREZ,IREN,2026-05-27,resize,,False,True,-185.6315957813621,-861.0739849819533,1046.7055807633155,-1466.2684423157598,-1969.959245263609,3436.2276875793686,2389.5221068160536,5.663288633498571,1.3435188185270783,,,37.0,2
IREZ,IREN,2026-06-22,resize,,False,True,-1589.5388357299837,-1741.1373956174823,3330.676231347466,-1875.3046317672345,-1751.4994903219117,3626.8041220891464,296.1278907416802,0.5335672072532749,0.9339813173027508,,,26.0,0
LITZ,LITE,2026-07-08,enter_operator,,True,True,0.0,0.0,0.0,-816.0349257835078,-597.6588979402497,1413.6938237237575,1413.6938237237575,2.958308404247048,0.7323937726886058,,,,2
MSDD,MSTR,2026-04-20,enter_operator,,True,True,0.0,0.0,0.0,-891.4873010320275,-1783.9623699935978,2675.4496710256253,2675.4496710256253,5.481515229715551,2.001107999999999,,,,0
MSDD,MSTR,2026-05-12,resize,,False,True,-619.0853820372124,-2046.423488835979,2665.5088708731914,-1233.831743246877,-2264.196428972958,3498.028172219835,832.5193013466437,1.8425682399124084,1.835093351557511,,,22.0,1
MSDD,MSTR,2026-06-05,resize,,False,True,-2274.8968315724846,-1588.3260159901145,3863.222847562599,-3109.991866901641,-2069.009476559834,5179.001343461476,1315.7784958988761,2.2841456979678534,0.6652780988205942,,,24.0,4
MSTZ,MSTR,2026-04-13,enter_operator,,True,True,0.0,0.0,0.0,-2341.468836333875,-2088.6026117946494,4430.071448128525,4430.071448128525,9.671381186172892,0.8920053000000001,,,,0
MSTZ,MSTR,2026-05-26,resize,,True,True,-1308.9760898957063,-2523.0180476362707,3831.994137531977,-1441.2704689528048,-2523.6491301497645,3964.919599102569,132.92546157059223,0.3466922111483779,1.7509892726681564,,,43.0,1
