date,plan_date,n_pairs,turnover_step,turnover_usd,txn_cost_usd,target_planned_gross_usd,target_tradeable_gross_usd,raw_plan_stock_gross_usd,blended_stock_structural_gross_usd,target_blend_alpha,pace_bootstrap_active,deployed_gross_usd,confirmed_desired_gross_usd,turnover_reference_gross_usd,deployed_desired_gross_ratio,untradeable_plan_gross_usd,blocked_pairs,n_added,n_exited,n_resize_candidates,n_resized,turnover_budget_usd,turnover_used_usd,n_deferred_pace,turnover_pace_mode,target_confirmed_today,persistent_target_pairs,n_hedge_repairs,hedge_repair_turnover_usd,hedge_reserve_usd,reserve_committed_usd,unused_reserve_to_tracking_usd,tracking_budget_usd,max_request_age,equity
2026-05-21,2026-05-20,296,0.00010996464241061049,135.99064829773653,0.2895069015595158,4920470.092613079,4920470.092613079,4801393.059647905,3124039.596411172,0.05,False,3888788.806043503,3243116.6293763453,3888866.9299365347,1.1990900268028044,0.0,45,8,7,257,4,311109.3543949228,135.99064829773653,0,hedge_safe_v1,True,297,0,0.0,46666.40315923842,0.0,46666.40315923842,311109.3543949228,4,1242542.663173169
2026-05-22,2026-05-21,296,0.00021990446786926624,273.2406831499566,0.6256519158878887,4967893.14321178,4967893.14321178,4799191.771890214,3124039.5964111714,0.05,False,3899550.1915245913,3292740.9677327382,3899822.9169394025,1.1842869602371668,0.0,145,9,6,258,4,311985.8333551522,273.2406831499566,0,hedge_safe_v1,True,299,0,0.0,46797.875003272835,0.0,46797.875003272835,311985.8333551522,4,1241972.660151029
2026-05-26,2026-05-25,297,0.004012231451750922,4983.081769272718,12.524231391785726,4915337.281634355,4915337.281634354,4796384.464423086,3232061.6757804835,0.05,False,3904347.687243808,3351014.492991753,3899364.6054745354,1.1651240826947438,9.313225746154785e-10,330,5,2,259,4,311949.1684379628,4983.081769272718,0,hedge_safe_v1,True,299,0,0.0,46792.37526569442,46792.37526569442,0.0,265156.79317226843,4,1241234.2640601117
2026-05-27,2026-05-26,297,0.0020330549948076346,2523.4975202737883,5.619951942656079,4724406.1808350915,4724406.180835091,4563973.220944232,3232061.6757804835,0.05,False,4389216.446938712,3392494.635671342,4387374.083161706,1.293802030160065,9.313225746154785e-10,44,8,7,259,10,350989.9266529365,2523.4975202737883,0,hedge_safe_v1,True,298,0,0.0,52648.488997940476,0.0,52648.488997940476,350989.9266529365,4,1181095.92525683
2026-05-28,2026-05-27,297,0.0010157281006404413,1199.6723208352846,2.7107424175707293,4664719.933048077,4664719.933048077,4506313.818654986,3232061.6757804835,0.05,False,4598496.675321886,3390467.7901735744,4598496.675321886,1.3563015371063198,0.0,23,8,7,258,8,367879.7340257509,1199.6723208352846,0,hedge_safe_v1,True,298,0,0.0,55181.960103862635,0.0,55181.960103862635,367879.7340257509,5,1166177.2725196015
2026-05-29,2026-05-28,297,2.5796035281810065e-05,30.08275006676067,0.06375175909877022,4672977.371553811,4672977.371553812,4514290.848311463,3232061.6757804835,0.05,False,4574437.44573786,3390748.199022832,4574438.655478518,1.3490938215512882,0.0,156,7,5,260,3,365955.09243828146,30.08275006676067,0,hedge_safe_v1,True,299,0,0.0,54893.263865742214,0.0,54893.263865742214,365955.09243828146,5,1168244.2791366938
2026-06-01,2026-05-30,297,0.0033266390107296075,3886.3269930378146,8.250594151093622,4912904.240052018,4912904.240052018,4746070.200233585,3232061.6757804835,0.05,False,4377378.772153252,3398895.7155989166,4374796.964705542,1.2878826355465036,0.0,118,6,4,261,11,349983.75717644335,3886.3269930378146,0,hedge_safe_v1,True,299,0,0.0,52497.5635764665,0.0,52497.5635764665,349983.75717644335,6,1228217.8094188531
2026-06-02,2026-06-01,300,0.4521431315076066,555330.246524053,1182.8458686510405,4932901.966383854,4932901.966383854,4765388.837108735,3332601.9551605275,0.05,False,4729391.575411061,3500115.0844356455,4401342.564869728,1.351210306324434,0.0,86,10,4,257,191,352107.40518957825,555330.246524053,0,hedge_safe_v1,True,303,117,417332.9003946442,52816.110778436734,52816.110778436734,0.0,299291.29441114154,1,1232042.6457273122
2026-06-03,2026-06-02,300,0.0006475270882935814,797.7809870413269,1.791043924819235,5010253.894732031,5010253.894732032,4840114.022890089,3332601.9551605275,0.05,False,4517638.460476163,3502741.8270024695,4517638.460476163,1.289743487701521,0.0,79,5,2,262,9,361411.07683809305,797.7809870413269,0,hedge_safe_v1,True,303,0,0.0,54211.66152571396,0.0,54211.66152571396,361411.07683809305,2,1252561.682639083
2026-06-04,2026-06-03,300,0.0015621883418281337,1956.7372580394058,4.050685904743727,4900046.414737743,4900046.414737743,4733649.005237274,3332601.955160527,0.05,False,4447265.734266362,3498999.3646609965,4445641.45215331,1.2710107292909552,0.0,79,5,4,261,8,355651.3161722648,1956.7372580394058,0,hedge_safe_v1,True,301,0,0.0,53347.69742583972,0.0,53347.69742583972,355651.3161722648,3,1225007.552998531
2026-06-05,2026-06-04,300,0.0004625232439884294,566.5944673232084,1.308875900583443,5107992.104212718,5107992.104212716,4934533.205673827,3332601.9551605275,0.05,False,4146454.1974829216,3506060.8536994173,4146454.197482921,1.1826532312203861,1.862645149230957e-09,91,5,3,262,8,331716.3357986337,566.5944673232084,0,hedge_safe_v1,True,302,0,0.0,49757.45036979505,0.0,49757.45036979505,331716.3357986337,4,1276996.7171772786
2026-06-08,2026-06-06,300,0.0024739413585233875,3159.2149933234627,8.21725937797452,4963202.2304479405,4963202.2304479405,4794660.154705646,3332601.9551605275,0.05,False,4125035.044012537,3501144.030902822,4121936.158452713,1.1781963288579236,0.0,81,5,2,264,10,329754.892676217,3159.2149933234627,0,hedge_safe_v1,True,303,0,0.0,49463.23390143255,0.0,49463.23390143255,329754.892676217,5,1240792.3403526072
2026-06-09,2026-06-06,300,0.1588856236996373,197144.06487865662,437.8160348490907,4904600.607402639,4904600.607402639,4738048.545109591,3426302.6812995123,0.05,False,3875087.3043564195,3592854.7435925603,3971131.749346003,1.0785538467056561,0.0,286,6,2,263,45,317690.53994768026,197144.06487865662,0,hedge_safe_v1,True,304,39,162970.2966047603,47653.580992152034,47653.580992152034,0.0,270036.9589555282,2,1225712.3358158106
2026-06-10,2026-06-09,300,0.0023315811405113236,2857.8477658802262,6.922431540391797,4939316.46161434,4939316.46161434,4771585.506772019,3426302.6812995123,0.05,False,3677713.2220983915,3594033.6361418325,3675713.705564777,1.0232829167526625,0.0,98,6,3,265,8,294057.09644518216,2857.8477658802262,0,hedge_safe_v1,True,303,0,0.0,44108.56446677732,0.0,44108.56446677732,294057.09644518216,2,1234822.1929720442
2026-06-11,2026-06-10,300,0.0002171899305130006,268.1909462875093,0.6231532751506255,4906366.348313792,4906366.348313792,4739754.3244023025,3426302.6812995123,0.05,False,3934931.1386384675,3592914.705211002,3934931.1386384675,1.0951919156142005,0.0,60,6,3,261,7,314794.4910910774,268.1909462875093,0,hedge_safe_v1,True,303,0,0.0,47219.173663661604,0.0,47219.173663661604,314794.4910910774,3,1226590.9639251728
2026-06-12,2026-06-11,300,0.00025076825589877847,307.5900767247171,0.7096912953239469,4954948.086924371,4954948.08692437,4786686.308139231,3426302.6812995123,0.05,False,3965116.092375937,3594564.4600846525,3965117.120601951,1.10308665664673,9.313225746154785e-10,74,7,2,262,7,317209.3696481561,307.5900767247171,0,hedge_safe_v1,True,305,0,0.0,47581.40544722341,0.0,47581.40544722341,317209.3696481561,3,1238736.3120397972
2026-06-15,2026-06-14,300,5.641822953327711e-05,69.88730958386645,0.17054261783591687,4896861.38554397,4896861.385543969,4778355.691238929,3426302.6812995127,0.05,False,4071225.682576496,3544808.3756045536,4071155.7952669123,1.1485037415829746,9.313225746154785e-10,88,7,2,263,1,325692.463621353,69.88730958386645,0,hedge_safe_v1,True,305,0,0.0,48853.86954320294,0.0,48853.86954320294,325692.463621353,3,1236580.9874230311
2026-06-16,2026-06-15,298,0.29891735631690997,369635.5196322466,813.5607051292188,5015959.88338155,5015959.88338155,4845626.245675052,3515918.4646942415,0.05,False,3900975.6953445333,3686252.1024007397,3975573.5737595917,1.0582498393975688,0.0,80,7,4,261,127,318045.88590076735,369635.5196322466,89,hedge_safe_v1,True,303,88,139016.195572324,47706.8828851151,47706.8828851151,0.0,270339.00301565224,3,1253176.4101402583
2026-06-17,2026-06-16,298,0.01971317958960269,24704.091630548508,56.70191620225335,5034996.335387215,5034996.335387215,4864016.251498024,3515918.464694241,0.05,False,3919325.8280372946,3686898.548583432,3943771.9822618775,1.0630414090301359,0.0,84,7,3,261,3,315501.7585809502,24704.091630548508,0,hedge_safe_v1,True,302,0,0.0,47325.26378714253,0.0,47325.26378714253,315501.7585809502,3,1258692.3819306013
2026-06-18,2026-06-17,298,0.0037544558601202128,4725.704989428015,11.181678355126774,4988201.962586118,4988201.962586117,4818810.93760663,3515918.4646942415,0.05,False,3999989.2999313707,3685309.4896737286,3995524.2775696437,1.0853876210775182,9.313225746154785e-10,95,7,2,261,5,319641.9422055715,4725.704989428015,0,hedge_safe_v1,True,303,0,0.0,47946.291330835724,0.0,47946.291330835724,319641.9422055715,3,1247039.308968174
2026-06-22,2026-06-20,298,0.0003945888483121899,492.06780472578095,1.1147993012358366,5011269.558426995,5011269.558426995,4841095.196338745,3515918.4646942415,0.05,False,3985676.2406977317,3686092.826782491,3985676.2406977313,1.0812739743661692,0.0,62,10,3,261,8,318854.0992558185,492.06780472578095,0,hedge_safe_v1,True,305,0,0.0,47828.11488837278,0.0,47828.11488837278,318854.0992558185,3,1252816.2748074473
2026-06-23,2026-06-22,298,0.0002774838839139382,347.6363257641622,0.7949472499238114,5158723.259251973,5158723.259251973,4983541.615239874,3515918.464694241,0.05,False,3816462.182963256,3691100.1087063397,3816462.182963256,1.0339633362859002,0.0,52,9,3,259,5,305316.9746370605,347.6363257641622,0,hedge_safe_v1,True,304,0,0.0,45797.54619555907,0.0,45797.54619555907,305316.9746370605,4,1289680.0198657431
2026-06-24,2026-06-23,298,0.25689352170922214,331310.44218133035,734.6822982523324,5114161.2670621835,5114161.267062184,4940492.874034864,3597435.8872927716,0.05,False,3615450.9423125074,3771104.280320092,3771104.280320092,0.9587247324822392,0.0,81,14,3,260,137,301688.3424256074,331310.44218133035,108,hedge_safe_v1,True,309,97,83629.566748431,45253.251363841104,45253.251363841104,0.0,256435.09106176626,4,1277805.6344672935
2026-06-25,2026-06-24,298,0.0008866361484327874,1132.9486661897954,2.690678161884374,5008434.662999973,5008434.662999974,4838356.569235599,3597435.8872927716,0.05,False,3544144.194297434,3767513.981057146,3767513.981057146,0.9407116236640917,0.0,56,17,4,258,8,301401.1184845717,1132.9486661897954,0,hedge_safe_v1,True,311,0,0.0,45210.16777268575,0.0,45210.16777268575,301401.1184845717,4,1252105.9750718311
2026-06-26,2026-06-25,298,0.0003493343365056288,437.4036100364515,0.9524532631057213,4997038.37712099,4997038.377120988,4827347.282231255,3597435.8872927716,0.05,False,3520310.4904137785,3767126.9821825055,3767126.9821825055,0.9344815046224609,1.862645149230957e-09,52,15,4,260,8,301370.1585746005,437.4036100364515,0,hedge_safe_v1,True,309,0,0.0,45205.52378619007,0.0,45205.52378619007,301370.1585746005,4,1249258.6418269842
2026-06-30,2026-06-29,298,0.0007900285610535241,975.2192300799902,2.559899396141711,4939083.734272201,4939083.734272201,4771360.6824625395,3597435.8872927725,0.05,False,3664571.316408323,3765158.9391024318,3765158.9391024318,0.9732846277352405,0.0,70,15,4,259,1,301212.71512819454,975.2192300799902,0,hedge_safe_v1,True,309,0,0.0,45181.90726922918,0.0,45181.90726922918,301212.71512819454,4,1234768.3736686541
2026-07-01,2026-06-30,297,0.27825726226728603,343583.2671912689,749.873128099643,5172709.119275084,5172709.119275083,4997052.538766367,3690217.238571652,0.05,False,3532670.9043358164,3865873.8190803686,3865873.8190803686,0.9138091592384626,9.313225746154785e-10,59,17,4,260,159,309269.9055264295,343583.2671912689,121,hedge_safe_v1,True,311,114,111129.38820131647,46390.48582896442,46390.48582896442,0.0,262879.419697465,5,1292427.406690671
2026-07-02,2026-07-01,297,2.7880818605148693e-06,3.603393408626534,0.007787803447420398,5123991.742952427,5123991.742952427,4949989.523348001,3690217.238571652,0.05,False,3396437.9160393486,3864219.4581760787,3864219.4581760787,0.8789453996596963,0.0,50,18,2,259,2,309137.5566540863,3.603393408626534,0,hedge_safe_v1,True,313,0,0.0,46370.63349811294,0.0,46370.63349811294,309137.5566540863,5,1280997.9279503033
2026-07-06,2026-07-05,297,0.0008189390228281391,1049.0591913604924,2.343744202079211,5009094.812738018,5009094.812738016,4838994.301388789,3690217.238571652,0.05,False,3460837.1821472393,3860317.749920881,3860317.749920881,0.8965161435786396,1.862645149230957e-09,62,20,3,259,11,308825.4199936705,1049.0591913604924,0,hedge_safe_v1,True,314,0,0.0,46323.81299905057,0.0,46323.81299905057,308825.4199936705,5,1252271.359440302
2026-07-07,2026-07-06,297,0.0006140570242704542,768.9660245570283,1.7108564224869292,5226389.851333819,5226389.851333819,5048910.362632275,3690217.238571652,0.05,False,3305220.4404397295,3867696.727273197,3867696.727273197,0.8545707364108601,0.0,58,19,3,259,12,309415.73818185576,768.9660245570283,0,hedge_safe_v1,True,313,0,0.0,46412.36072727836,0.0,46412.36072727836,309415.73818185576,5,1306595.751977032
2026-07-08,2026-07-07,297,0.0011083634791344053,1448.183013483498,3.149914326946946,5097349.450450372,5097349.450450372,4924251.958695495,3690217.238571652,0.05,False,3312120.809002787,3863314.7303265296,3863314.7303265296,0.8573261668284645,0.0,72,20,3,259,8,309065.17842612235,1448.183013483498,0,hedge_safe_v1,True,314,0,0.0,46359.77676391835,0.0,46359.77676391835,309065.17842612235,6,1274334.212698266
2026-07-09,2026-07-08,316,0.22092456861668078,281531.73621384194,624.949015886984,5043030.485440636,5043030.485440636,4871777.575205881,3762603.593129761,0.05,False,3422587.2430756,3933856.503364516,3933856.503364516,0.870033576503962,0.0,81,23,3,259,197,314708.52026916126,281531.73621384194,0,hedge_safe_v1,True,317,91,51922.997537744544,47206.278040374185,47206.278040374185,0.0,267502.2422287871,6,1260132.6723442718
2026-07-10,2026-07-09,316,0.003926861465486193,4948.36643242886,11.541823906640014,5141693.53830261,5141693.538302608,4967090.195231083,3762603.5931297615,0.05,False,3421033.252334289,3937206.936201287,3937206.936201287,0.8688985130243078,1.862645149230957e-09,67,5,3,274,14,314976.554896103,4948.36643242886,0,hedge_safe_v1,True,318,0,0.0,47246.48323441545,0.0,47246.48323441545,314976.554896103,6,1285411.8427517456
2026-07-13,2026-07-11,316,0.0004369060344148212,561.6041908065129,1.2509604077643603,5297376.080285445,5240013.671577013,5060123.608850654,3762603.5931297615,0.05,False,3261694.9455499565,3942493.6558561213,3942493.6558561213,0.8273177410710816,57362.40870843176,88,5,3,275,9,315399.49246848974,561.6041908065129,0,hedge_safe_v1,True,318,0,0.0,47309.92387027346,0.0,47309.92387027346,315399.49246848974,6,1324342.7691109534
2026-07-14,2026-07-13,316,0.000620271006872693,821.4514228410214,1.7487669041780758,5144120.8594705565,5084757.807541624,4910072.036688771,3762603.5931297615,0.05,False,3265524.601420303,3937289.363982615,3937289.363982615,0.829383949092628,59363.05192893278,93,5,3,275,11,314983.1491186092,821.4514228410214,0,hedge_safe_v1,True,318,0,0.0,47247.47236779138,0.0,47247.47236779138,314983.1491186092,6,1286028.4661007347
2026-07-15,2026-07-14,316,0.0008613124083958105,1107.6722754027937,2.3877315323541164,5205275.256965882,5142839.657665133,4966077.1853973325,3762603.5931297615,0.05,False,3275496.192366559,3939366.0653975606,3939366.0653975606,0.8314779936644441,62435.5993007496,54,5,3,279,15,315149.2852318049,1107.6722754027937,0,hedge_safe_v1,True,318,0,0.0,47272.39278477073,0.0,47272.39278477073,315149.2852318049,6,1301316.426509938
2026-07-16,2026-07-15,319,0.27034966645512437,351810.46185953607,807.9949012694389,5142772.132646922,5083070.087326482,4908430.116988681,3835937.9641517857,0.05,False,3186221.3329724744,4010577.9344895873,4010577.9344895873,0.7944544115629993,59702.045320440084,47,8,3,278,224,320846.234759167,351810.46185953607,0,hedge_safe_v1,True,321,137,124350.13056988161,48126.93521387505,48126.93521387505,0.0,272719.299545292,7,1284885.038260461
2026-07-17,2026-07-16,319,0.000838019751005477,1076.7590398336943,2.4016294299004914,5135895.188446794,5075372.479524076,4900966.038749736,3835937.9641517857,0.05,False,3154326.5573133742,4010344.4049261245,4010344.4049261245,0.7865475477464586,60522.70892271772,130,4,2,279,7,320827.55239409,1076.7590398336943,0,hedge_safe_v1,True,321,0,0.0,48124.132859113495,0.0,48124.132859113495,320827.55239409,7,1283971.3954822682
