date,plan_date,n_pairs,turnover_step,turnover_usd,txn_cost_usd,target_planned_gross_usd,target_tradeable_gross_usd,raw_plan_stock_gross_usd,blended_stock_structural_gross_usd,target_blend_alpha,pace_bootstrap_active,deployed_gross_usd,confirmed_desired_gross_usd,turnover_reference_gross_usd,deployed_desired_gross_ratio,untradeable_plan_gross_usd,blocked_pairs,n_added,n_exited,n_resize_candidates,n_resized,turnover_budget_usd,turnover_used_usd,n_deferred_pace,turnover_pace_mode,target_confirmed_today,persistent_target_pairs,n_hedge_repairs,hedge_repair_turnover_usd,hedge_reserve_usd,reserve_committed_usd,unused_reserve_to_tracking_usd,tracking_budget_usd,max_request_age,equity
2026-03-02,2026-02-28,17,2.280833333333333,2736999.9999999995,6023.740484994253,2852000.0000000005,2851999.9999999995,2737000.0,2737000.0000000005,1.0,True,2737000.0,2852000.0,2852000.0,0.9596774193548387,9.313225746154785e-10,1,19,0,0,0,0.0,2736999.9999999995,0,hedge_safe_v1,True,19,0,0.0,0.0,0.0,0.0,,0,1193976.2595150059
2026-03-06,2026-03-05,93,0.08181866571521072,97984.50514875885,219.0936338352,2834227.1043471433,2717035.960447973,2602752.6094662333,2760708.03176062,0.05,False,2517096.1554052173,2874991.3827423602,2874991.3827423602,0.8755143304131373,117191.14389917022,3,76,0,16,9,229999.31061938882,97984.50514875885,0,hedge_safe_v1,True,93,10,48839.47161973687,34499.89659290832,34499.89659290832,0.0,195499.41402648052,1,1192302.8296538827
2026-03-13,2026-03-12,99,0.07204229590196434,86492.4311632937,187.88647204994544,2860505.8853421896,2739562.3015510775,2624219.3223034083,2799434.480330456,0.05,False,2728934.49185545,2914777.459578125,2914777.459578125,0.9362411126406978,120943.58379111206,1,7,0,82,60,233182.19676624998,86492.4311632937,0,hedge_safe_v1,True,100,39,42801.91879709473,34977.3295149375,34977.3295149375,0.0,198204.86725131248,2,1203391.0274166693
2026-03-20,2026-03-18,103,0.07627428411617491,92217.94516520298,206.09231623037363,2874093.898618574,2825228.422051919,2709337.539043106,2800992.5726419855,0.05,False,2674229.8073971225,2916883.455650799,2916883.455650799,0.9168106467251579,48865.47656665463,2,6,2,95,77,233350.67645206393,92217.94516520298,0,hedge_safe_v1,True,103,47,25123.19562236021,35002.60146780959,29157.921023696505,5844.680444113084,204192.7554283674,2,1209090.0782105187
2026-03-24,2026-03-23,103,8.926459185389579e-06,10.824835543006202,0.024170095735419686,2874187.8035701,2850684.9559450955,2734790.2864463013,2800992.572641986,0.05,False,2713258.098990392,2916887.24214078,2916887.24214078,0.9301895732517451,23502.847625004593,1,1,0,100,1,233350.97937126242,10.824835543006202,0,hedge_safe_v1,False,104,0,0.0,35002.64690568936,0.0,35002.64690568936,233350.97937126242,3,1209335.6575564537
2026-03-27,2026-03-26,122,0.09216567749042895,111711.86091704496,258.3104122960678,2867878.347225572,2836766.1393558094,2721125.883419295,2812443.4807090433,0.05,False,2552231.439129523,2928083.7366455584,2928083.7366455584,0.8716388152387283,31112.207869762555,1,20,0,99,84,234246.69893164467,111711.86091704496,0,hedge_safe_v1,True,123,67,53076.41361178986,35137.004839746696,35137.004839746696,0.0,199109.69409189798,3,1206422.6210991645
2026-04-06,2026-04-04,149,0.13289081973727346,161946.0091431733,358.05102637004853,2890716.0344913425,2784567.6227990473,2668006.492376009,2820875.0728644696,0.05,False,2934287.5637226356,2937436.2032875074,2937436.2032875074,0.9989280994217515,106148.41169229522,0,27,0,116,104,234994.89626300058,161946.0091431733,0,hedge_safe_v1,True,149,57,91022.78504051467,35249.23443945008,35249.23443945008,0.0,199745.6618235505,2,1215932.0055618524
2026-04-13,2026-04-11,164,0.19073690401466453,232526.86311609633,502.53372610435173,2895915.535449475,2808271.086873021,2691500.299153284,2827824.592549467,0.05,False,3320071.5591762643,2944595.380269204,3234533.4691347852,1.1275136751972807,87644.44857645407,0,17,2,136,133,258762.67753078282,232526.86311609633,0,hedge_safe_v1,True,164,95,143626.19021348123,38814.40162961742,38814.40162961742,0.0,219948.27590116538,2,1217975.251175498
2026-04-20,2026-04-18,250,0.47116815018528846,572592.9275898676,1275.814063224304,4819310.670344901,4692073.532244774,4575444.591358902,2701985.91803707,0.05,False,3508677.7341811946,2818614.858922942,3766097.567984528,1.244823400782731,127237.13810012769,9,95,3,155,143,301287.80543876224,572592.9275898676,0,hedge_safe_v1,True,256,112,146698.15048509804,45193.17081581434,45193.17081581434,0.0,256094.6346229479,1,1215721.829963266
2026-04-27,2026-04-26,249,0.20197923701604373,247943.13556573394,540.9588431781971,4933303.288150021,4933303.288150022,4765776.530656594,2835985.959394495,0.05,False,3486461.8272345476,3003512.716887923,3519179.519303115,1.1607947612910494,0.0,2,34,4,202,141,281534.36154424923,247943.13556573394,80,hedge_safe_v1,True,280,79,79860.75843411344,42230.15423163738,42230.15423163738,0.0,239304.20731261186,2,1232784.863194327
2026-05-04,2026-05-03,249,0.2314062816285707,287049.29635617026,625.5713684981815,4816442.185054998,4816442.185054999,4816442.185054999,2935426.365024941,0.05,False,3462196.8899093177,2935426.365024941,3481091.006556882,1.1794528151551507,0.0,0,43,7,207,135,278487.2805245506,287049.29635617026,122,hedge_safe_v1,True,285,78,82550.70610977794,41773.09207868259,41773.09207868259,0.0,236714.188445868,1,1245811.9145202222
2026-05-11,2026-05-09,249,0.3036009205415072,377169.268154605,811.2408080928801,4776814.399146805,4776814.399146803,4776814.399146803,3027890.313868001,0.05,False,3900295.5885957316,3027890.313868001,3846282.618880376,1.2881231432763725,1.862645149230957e-09,5,44,7,212,128,307702.6095104301,377169.268154605,174,hedge_safe_v1,True,286,107,223360.54338204156,46155.39142656451,46155.39142656451,0.0,261547.21808386556,1,1235371.049244994
2026-05-12,2026-05-11,249,0.0008557079398410989,1057.1168154887705,2.20591451553441,4892282.59534141,4892282.5953414105,4773887.70930095,3022353.81379605,0.05,False,3761811.0105853705,3140748.6998365093,3760753.8937698817,1.197743395000431,0.0,5,47,2,217,1,300860.31150159054,1057.1168154887705,0,hedge_safe_v1,True,294,0,0.0,45129.04672523858,0.0,45129.04672523858,300860.31150159054,1,1235422.6918989716
2026-05-14,2026-05-13,249,0.001582072224506193,1949.540780893102,4.795015815141966,4905996.190146847,4905996.190146847,4787269.430494723,3022353.81379605,0.05,False,4000735.825185087,3141080.573448173,3998786.284404194,1.2736813754488359,0.0,13,47,2,217,1,319902.90275233553,1949.540780893102,0,hedge_safe_v1,True,294,0,0.0,47985.435412850326,0.0,47985.435412850326,319902.90275233553,1,1238883.131788944
2026-05-18,2026-05-16,296,0.19046277682282461,236339.02112385418,515.6215954085741,4901933.429838095,4901933.429838095,4783304.990353378,3124039.5964111723,0.05,False,3684073.288499278,3242668.0358958906,3661012.4666500865,1.1361240952564653,0.0,110,51,2,218,113,292880.9973320069,236339.02112385418,0,hedge_safe_v1,True,298,72,80988.42420825404,43932.149599801036,43932.149599801036,0.0,248948.84773220588,1,1237346.3556364335
2026-05-19,2026-05-18,296,2.2053423833847295e-05,27.287723610116615,0.06423340324869922,4917968.384823957,4917968.384823957,4798951.894029607,3124039.5964111714,0.05,False,3586421.1765940147,3243056.0872055227,3586421.176594015,1.1058770123474377,0.0,39,8,6,259,3,286913.69412752124,27.287723610116615,0,hedge_safe_v1,True,298,0,0.0,43037.05411912819,0.0,43037.05411912819,286913.69412752124,2,1241911.144055475
2026-05-20,2026-05-19,296,4.702355817347686e-05,58.39908092878183,0.1339284262259963,4897238.000998992,4897238.000998992,4778723.192473132,3124039.596411172,0.05,False,3721587.8920006263,3242554.404937031,3721587.8920006263,1.1477333692024507,0.0,38,8,6,258,6,297727.03136005014,58.39908092878183,0,hedge_safe_v1,True,298,0,0.0,44659.05470400752,0.0,44659.05470400752,297727.03136005014,3,1236676.128950107
