date,n_pairs,gross_b4,median_hedge,mean_abs_delta
2026-02-27,5,888.7759456907348,0.9042426000000001,1.6293142
2026-02-28,4,891.955251035864,0.9039591,2.00487075
2026-03-02,6,894.0558950746232,0.890570025,1.9833128333333334
2026-03-03,3,896.54986348216,0.8596192500000002,1.9408163333333335
2026-03-04,3,899.1075001463176,0.8817581250000002,1.9643690000000003
2026-03-05,2,898.7363248860428,0.9132347249999999,2.0294105
2026-03-06,3,898.1400043023496,0.8974550250000002,1.8331753333333332
2026-03-10,4,886.2360538482192,0.910511775,2.1355645
2026-03-11,3,882.4402124490274,0.91053675,2.015437
2026-03-12,6,2183.4549439072307,0.90114345,2.3398895
2026-03-18,4,115000.0,0.9321191999999998,2.23310575
2026-03-20,4,898.3743150975829,0.91323,2.23750975
2026-03-21,5,115000.0,0.9287253,2.1812411999999997
2026-03-23,4,916.6325793143342,0.9041105250000001,2.2235465
2026-03-24,4,932.5537312083998,0.9058302,2.241017
2026-03-25,4,947.0471498602705,0.90332415,2.22216975
2026-03-26,4,958.844765405728,0.9033241500000002,2.22217
2026-03-27,5,966.4167164308186,0.9048656250000001,2.1761552
2026-03-28,4,970.8358992897704,0.9016710750000001,2.220765
2026-03-31,4,115000.0,0.9088335000000001,2.22138875
2026-04-01,6,948.4175702689496,0.9002513249999999,1.8943101666666669
2026-04-02,6,941.24771910906,0.9029771999999999,1.896829
2026-04-03,10,6205.297723451123,0.8942382000000001,1.9297417000000003
2026-04-04,10,6205.297715817978,0.8942382000000001,1.9297413000000003
2026-04-07,8,6437.993344291544,0.8941356,2.22745975
2026-04-08,8,6446.031288289364,0.8941355999999999,2.2274596250000003
2026-04-09,8,4905.087497041782,0.893901375,2.2297056250000002
2026-04-10,8,6457.131106514677,0.8926744500000001,2.2275134999999997
2026-04-11,8,4798.583834628505,0.892148625,2.046691375
2026-04-14,9,4806.234359968537,0.892216575,2.0400270000000003
2026-04-15,8,6558.703333054889,0.8920629,1.92317025
2026-04-16,7,4801.944727663271,0.89500095,1.9176918571428572
2026-04-17,14,1871529.934950325,1.9918909999999999,2.0362109285714283
2026-04-18,14,1871529.934950325,1.9918909999999999,2.0362108571428568
2026-04-20,19,1870864.8485947915,1.9921205,1.936470052631579
2026-04-21,19,1862224.8375512534,1.989392,1.7868510526315788
2026-04-22,12,8492.359101258193,0.89611515,1.9001111666666668
2026-04-23,4,0.0,,1.8548965000000002
2026-04-24,4,0.0,,1.5814485
2026-04-25,14,115000.00000000003,0.8962287984625801,1.9538556428571427
2026-04-26,14,114637.13789575249,0.89622879846258,1.9538556428571427
2026-04-27,13,113174.33054812328,0.845070243297807,1.9506856923076923
2026-04-28,4,0.0,,1.9910942500000002
2026-04-29,1,0.0,,2.009008
2026-04-30,3,0.0,,1.9951929999999998
2026-05-01,4,0.0,,1.8943162499999997
2026-05-02,5,0.0,,1.8085283999999997
2026-05-03,5,0.0,,1.8085286
2026-05-04,7,0.0,,2.0461544285714286
2026-05-05,9,0.0,,1.9320177777777776
2026-05-06,5,0.0,,1.7668146
2026-05-07,5,0.0,,1.7678349999999998
2026-05-08,6,0.0,,1.8077183333333335
2026-05-09,9,0.0,,1.9828044444444441
2026-05-11,19,208508.2516029302,1.6051232,1.9940863157894735
2026-05-12,24,208217.37751843172,1.6030324000000002,2.0362330833333333
2026-05-13,22,16682.76819316318,1.6036695999999995,1.9362019545454545
2026-05-14,23,163398.1949054917,1.5525067375000001,1.9393536521739123
2026-05-15,24,59634.00001525879,1.5035789999999998,1.9400894583333332
2026-05-16,23,64000.0,1.5043147500000003,1.937302043478261
2026-05-18,24,64000.0,1.503130875,2.023559666666667
2026-05-19,24,6400.0,1.50267,1.9812337083333331
2026-05-20,24,65999.99999999997,1.5018562500000001,1.9818337083333333
2026-05-21,22,65999.99999999999,1.504401375,1.992880090909091
2026-05-22,22,60465.00012874603,1.5039656250000002,2.0390431818181813
2026-05-23,24,60540.00005722046,1.5042765,2.0362777916666666
2026-05-24,24,60540.00005722045,1.5042765,2.036277833333333
2026-05-25,24,60540.00005722046,1.5054675,2.0362777916666666
2026-05-26,24,66000.0,1.5054675,2.0362778333333336
2026-05-27,22,66000.0,1.5059812500000003,2.039013
