symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AMZO,TRADR 2X SHORT AMZN DAILY ET,0.0,4896.306186,0.0,0.0,0.0,-157.21,29.14118871607963,0.0,0.0,4768.237374716079
SOXS,DIREX DAI SEMI BE 3X ETF-USD,0.0,2311.797821,0.0,0.0,-25.53,-54.95,4.092345946216536,0.0,0.0,2235.4101669462166
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,1342.888082,0.0,0.0,-29.37,-23.17,10.192576236867346,0.0,0.0,1300.5406582368673
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,1378.783862,0.0,0.0,0.0,-118.28,12.041574712625323,0.0,0.0,1272.5454367126254
LABD,DIRE DLY SP BT BE 3X ETF-USD,0.0,760.312916,0.0,0.0,-15.54,-77.92,11.402528743821078,0.0,0.0,678.2554447438212
SDS,PROSHARES ULTRASHORT S&P500,0.0,688.729892,0.0,0.0,-26.99,-49.44,18.78081117101107,0.0,0.0,631.0807031710111
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,534.140642,0.0,0.0,0.0,-50.75,16.293841355320154,0.0,0.0,499.68448335532014
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
FAZ,DIREX DLY FIN BEA 3X ETF-USD,0.0,78.695122,0.0,0.0,-26.13,-61.480000000000004,13.530293909010107,0.0,0.0,4.615415909010105
TSYY,GRANITE YIELDBOOST TSLA ETF,0.0,9.261186,0.0,0.0,-10.08,-0.68,0.4915432059499536,0.0,0.0,-1.0072707940500463
TQQY,GRANITE YIELDBOOST QQQ,159.88451495,-20.351611,0.0,0.0,-122.64,-21.02,1.9816156386911974,0.0,0.0,-2.1454804113087835
NVYY,GRANITE YIELDBOOST NVDA,104.42386226,4.495803,0.0,0.0,-156.44,-7.3100000000000005,0.5671652376345617,0.0,0.0,-54.263169502365436
EWV,PROSHARES ULTSHRT MSCI JAPAN,-379.67922922,82.477875,0.0,0.0,-1.46,-9.15,3.962435255996241,0.0,0.0,-303.84891896400376
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-824.217632,0.0,0.0,0.0,-385.63,17.956332020302305,0.0,0.0,-1191.8912999796976
DUST,DIR DLY GOL MN IDX BR 2X ETF,-3.4059583,-1499.669378,0.0,0.0,-90.65,-163.16,22.65134575797586,0.0,0.0,-1734.2339905420245
