symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,15471.536744664001,15471.536744664001,1
DUST,flow_program,13254.878112,13254.878112,1
FAZ,flow_program,10469.515207800001,10469.515207800001,1
ZSL,flow_program,9368.41706892,9368.41706892,1
SDS,flow_program,9223.74846393,9223.74846393,1
LABD,flow_program,9181.0608156,9181.0608156,1
TSLQ,flow_program,7648.752356159999,7648.752356159999,1
SQQQ,flow_program,7220.47392528,7220.47392528,1
NVDQ,flow_program,5254.114852799999,5254.114852799999,1
SOXS,flow_program,2689.39664032,2689.39664032,1
EWV,flow_program,2008.0644084799999,2008.0644084799999,1
