symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AMZO,TRADR 2X SHORT AMZN DAILY ET,0.0,3690.399987,0.0,0.0,0.0,-261.03,37.08099159063405,0.0,0.0,3466.450978590634
SOXS,DIREXION DAILY SEMI BEAR 3X,0.0,2895.3535,0.0,0.0,-25.53,-55.79,2.3829537802969254,0.0,0.0,2816.4164537802967
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,1844.76796,0.0,0.0,-29.37,-28.62,10.475038770731693,0.0,0.0,1797.252998770732
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,1570.151385,0.0,0.0,0.0,-176.88,12.553926747341837,0.0,0.0,1405.8253117473419
SDS,PROSHARES ULTRASHORT S&P500,0.0,949.460018,0.0,0.0,-26.99,-65.49,21.786009338373994,0.0,0.0,878.766027338374
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,885.190199,0.0,0.0,0.0,-67.17999999999999,16.436799827740554,0.0,0.0,834.4469988277406
LABD,DRX DLY S&P BIOTECH BEAR 3X,0.0,567.686303,0.0,0.0,-15.54,-112.18,14.023339801783733,0.0,0.0,453.9896428017837
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
TSYY,GRANITE YIELDBOOST TSLA ETF,0.49581973,19.692349,0.0,0.0,-15.28,-1.45,0.6213914243791445,0.0,0.0,4.079560154379146
TQQY,GRANITE YIELDBOOST QQQ,159.88451495,-20.514684,0.0,0.0,-141.41,-38.15,2.7487687318038114,0.0,0.0,-37.44140031819616
NVYY,GRANITE YIELDBOOST NVDA,104.42386226,10.644817,0.0,0.0,-164.31,-8.0,0.767206078705213,0.0,0.0,-56.47411466129478
FAZ,DIREXION DAILY FIN BEAR 3X,0.0,-87.332689,0.0,0.0,-26.13,-75.85,16.22030948212004,0.0,0.0,-173.09237951787995
EWV,PROSHARES ULTSHRT MSCI JAPAN,-379.67922922,152.23318,0.0,0.0,-1.46,-12.9,6.049293182339815,0.0,0.0,-235.7567560376602
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-1334.337632,0.0,0.0,0.0,-474.90999999999997,21.760139695392517,0.0,0.0,-1787.4874923046075
DUST,DIREXION DAILY GOLD MINERS I,-3.4059583,-2246.335048,0.0,0.0,-90.65,-245.98,29.879480976338755,0.0,0.0,-2556.4915253236613
