symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,4380.6359361,4380.6359361,1
SVIX,SVIX,volatility_etp_bucket5,-3471.0,3471.0,1
