ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,borrow_annual,strategy_tag,long_usd,short_usd,sleeve
AAPU,AAPL,1.986463,500,ols,0.091398,100000,0.091398,False,False,30.059999465942383,0.091398,1.0,False,True,False,False,False,False,False,False,False,0.47635,0.172616,0.237668,0.055344,0.172616,0.081218,0.081218,0.49661575,0.5959389,0.5,0.5959389,0.091398,ETF_LS,852.7637663341002,-429.2875157171818,core_leveraged
AMUU,AMD,2.007349,259,ols,0.050919,15000,0.050919,False,False,78.4000015258789,0.050919,1.0,False,True,False,False,False,False,False,False,False,1.171972,0.493084,0.584814,0.345787,0.493084,0.442165,0.442165,0.50183725,0.6022047,0.50183725,0.6022047,0.050919,ETF_LS,5902.938351216177,-2940.6637068173877,core_leveraged
AMZU,AMZN,1.988915,500,ols,0.162705,100000,0.162705,False,False,38.16999816894531,0.162705,1.0,False,True,False,False,False,False,False,False,False,0.628369,0.21118,0.31515,0.097674,0.21118,0.048475,0.048475,0.49722875,0.5966745,0.5,0.5966745,0.162705,ETF_LS,853.1159386068274,-428.9353434444546,core_leveraged
ASMU,ASML,2.005354,44,ols,0.117326,300,0.117326,False,False,23.3799991607666,0.117326,1.0,False,True,False,False,False,False,False,True,False,0.963569,0.326847,0.391139,0.154221,0.184362,0.209521,0.067036,0.5013385,0.6016062,0.5013385,0.6016062,0.117326,ETF_LS,855.4621740622457,-426.58910798903617,core_leveraged
AVL,AVGO,1.986509,378,ols,0.053894,100000,0.053894,False,False,53.70000076293945,0.053894,1.0,False,True,False,False,False,False,False,False,False,0.853188,0.375338,0.427061,0.178707,0.375338,0.321444,0.321444,0.49662725,0.5959527,0.5,0.5959527,0.053894,ETF_LS,4026.8838216634836,-2027.1158205995962,core_leveraged
BOEU,BA,1.993077,246,ols,0.053323,15000,0.053323,False,False,36.62900161743164,0.053323,1.0,False,True,False,False,False,False,False,False,False,0.601248,0.189758,0.306954,0.093245,0.18746,0.136435,0.1341369999999999,0.49826925,0.5979230999999999,0.5,0.5979230999999999,0.053323,ETF_LS,1261.9007336135778,-633.1419877975501,core_leveraged
BABU,BABA,2.034769,43,ols,0.0528019999999999,5000,0.0528019999999999,False,False,16.450000762939453,0.0528019999999999,1.0,False,True,False,False,False,False,False,False,False,0.755305,0.225446,0.432282,0.196726,0.201627,0.172644,0.148825,0.50869225,0.6104306999999999,0.50869225,0.6104306999999999,0.0528019999999999,ETF_LS,1499.1147616610422,-736.7493615545757,core_leveraged
CONX,COIN,2.004446,100,ols,0.129976,25000,0.129976,False,False,10.920000076293944,0.129976,1.0,False,True,False,False,False,False,False,False,False,1.505175,0.667209,0.72899,0.534976,0.587449,0.5372330000000001,0.457473,0.5011115,0.6013338,0.5011115,0.6013338,0.129976,ETF_LS,3785.36255400098,-1888.4831788938088,core_leveraged
CSCL,CSCO,2.02231,203,ols,0.10239,3000,0.10239,False,False,34.082000732421875,0.10239,1.0,False,True,False,False,False,False,False,False,False,0.533242,0.195276,0.253138,0.066239,0.170185,0.092886,0.067795,0.5055775,0.606693,0.5055775,0.606693,0.10239,ETF_LS,857.8554576483313,-424.19582440295073,core_leveraged
GGLL,GOOGL,1.994823,500,ols,0.084299,85000,0.084299,False,False,105.61000061035156,0.084299,1.0,False,True,False,False,False,False,False,False,False,0.575133,0.192132,0.287357,0.081934,0.192132,0.107833,0.107833,0.49870575,0.5984469,0.5,0.5984469,0.084299,ETF_LS,853.9621154957688,-428.0891665555134,core_leveraged
HODU,HOOD,2.007934,100,ols,0.106762,2000,0.106762,False,False,10.739999771118164,0.106762,1.0,False,True,False,False,False,False,False,False,False,1.446243,0.655041,0.667909,0.451426,0.532226,0.548279,0.4254639999999999,0.5019835,0.6023802,0.5019835,0.6023802,0.106762,ETF_LS,3998.8343940046407,-1991.51684965972,core_leveraged
LINT,INTC,1.990478,100,ols,0.138203,6000,0.138203,False,False,75.9000015258789,0.138203,1.0,False,True,False,False,False,False,False,False,False,1.453774,0.621405,0.636876,0.399836,0.48776,0.483202,0.349557,0.4976195,0.5971434,0.5,0.5971434,0.138203,ETF_LS,1939.7263672645681,-974.5027914222454,core_leveraged
ELIL,LLY,1.993004,264,ols,0.1102779999999999,10000,0.1102779999999999,False,False,18.57999992370605,0.1102779999999999,1.0,False,True,False,False,False,False,False,False,False,0.826264,0.27705,0.414778,0.17024,0.27705,0.166772,0.166772,0.498251,0.5979012,0.5,0.5979012,0.1102779999999999,ETF_LS,853.7019440446231,-428.3493380066588,core_leveraged
METU,META,1.998352,465,ols,0.069729,450000,0.069729,False,False,31.0,0.069729,1.0,False,True,False,False,False,False,False,False,False,0.716249,0.240182,0.357536,0.127516,0.240182,0.170453,0.170453,0.499588,0.5995056,0.5,0.5995056,0.069729,ETF_LS,1314.4798406665539,-657.7819326457771,core_leveraged
MRVU,MRVL,2.009402,43,ols,0.408828,2000,0.408828,False,False,59.65999984741211,0.408828,1.0,False,False,True,False,False,True,True,False,False,1.42882,0.585914,0.575085,0.335402,0.378148,0.177086,-0.03068,0.5023505,0.6028206,0.5023505,0.6028206,0.408828,ETF_LS,0.0,0.0,
MSFU,MSFT,1.99207,500,ols,0.036892,250000,0.036892,False,False,29.3799991607666,0.036892,1.0,False,True,False,False,False,False,False,False,False,0.495585,0.162464,0.247077,0.060323,0.162464,0.125572,0.125572,0.4980175,0.597621,0.5,0.597621,0.036892,ETF_LS,1622.584623995395,-814.5218912966889,core_leveraged
MUU,MU,1.993865,378,ols,0.063317,30000,0.063317,False,False,214.4600067138672,0.063317,1.0,False,True,False,False,False,False,False,False,False,1.174467,0.519708,0.588389,0.343022,0.519708,0.4563909999999999,0.4563909999999999,0.49846625,0.5981595,0.5,0.5981595,0.063317,ETF_LS,5749.759593873256,-2883.725625292212,core_leveraged
NFXL,NFLX,1.995762,383,ols,0.042774,15000,0.042774,False,False,37.47999954223633,0.042774,1.0,False,True,False,False,False,False,False,False,False,0.6521,0.227783,0.325262,0.105124,0.227783,0.185009,0.185009,0.4989405,0.5987285999999999,0.5,0.5987285999999999,0.042774,ETF_LS,2330.5702803821396,-1167.7596228318505,core_leveraged
