etf,underlying,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,haircut_factor,ema_applied,prev_w_book
AMUU,AMD,0.0,0.0,0.3343634528279837,0.09338701757695114,1.2531421553682616,1.0,False,2.2867789530270113e-11
AMZU,AMZN,0.0,0.0,0.06534934690167606,0.07484901735193517,0.30557878012002077,1.0,False,1.110121167658769e-11
AVL,AVGO,0.0,0.0,0.15324677247285096,0.08252164833781754,0.6499672685393715,1.0,False,1.1672106631882927e-11
BOEU,BA,0.0,0.0,0.062367162335997,0.08052005090122145,0.27109405139816944,1.0,False,1.0596882999982912e-11
METU,META,0.0,0.0,0.0801519526917904,0.07484901735193517,0.3747969503757466,1.0,False,1.1543634309819423e-11
MSFU,MSFT,0.0,0.0,0.0597189239173655,0.07484901735193517,0.27925047128942077,1.0,False,1.2320908608345401e-11
MUU,MU,0.0,0.0,0.3445352789308236,0.08654492653654665,1.3933497023059578,1.0,False,2.6790003151723575e-11
NFXL,NFLX,0.0,0.0,0.0844631214227444,0.11437854334280143,0.2584583754433787,1.0,False,1.1022314229514652e-11
NVDU,NVDA,0.0,0.0,0.0800068127038012,0.07484901735193517,0.37411826416725075,1.0,False,8.855837684407865e-12
PALU,PANW,0.0,0.0,0.0918569961479606,0.07484901735193517,0.42953067106571696,1.0,False,1.0806015996710279e-11
PLTU,PLTR,0.0,0.0,0.24622934089559334,0.08659205930952903,0.9952444831621409,1.0,False,2.1169700632633643e-11
QCMU,QCOM,0.0,0.0,0.1162162457666318,0.09463187645364275,0.42983070338087287,1.0,False,1.2792700209876924e-11
SHPU,SHOP,0.0,0.0,0.1710637029106969,0.11341784408334762,0.5278913252375474,1.0,False,1.480835844167128e-11
TSLL,TSLA,0.0,0.0,0.1800080180448118,0.07735763044730759,0.8144355760560518,1.0,False,1.499227633277019e-11
YINN,FXI,0.0,0.0,0.09538285584214296,0.1212680709766691,0.2752909259286628,1.0,False,1.2458412208028243e-11
SOXL,SOXX,0.0,0.0,0.17361943896284493,0.14238743634188644,0.42677082471720723,1.0,False,1.4946913373156198e-11
CWEB,KWEB,0.0,0.0,0.10104417863907485,0.07484901735193517,0.47249067222072016,1.0,False,1.2528720752889112e-11
NUGT,GDX,0.0,0.0,0.23264612454100847,0.07484901735193517,1.087871911617658,1.0,False,1.960472896929186e-11
JNUG,GDXJ,0.0,0.0,0.23669603578040882,0.07894966631628884,1.0493218830242332,1.0,False,1.960391598646954e-11
URAA,URA,0.0,0.0,0.2023900727231949,0.10148788579057472,0.6979801076878563,1.0,False,1.6790282885071978e-11
MSTU,MSTR,0.0,0.0,0.0954113471030731,0.14666619748532245,0.22768689758536537,1.0,False,1.2674870649006647e-11
NVDX,NVDA,0.0,0.0,-0.03008255708642075,0.08522051603037756,0.0,1.0,False,0.0
TSLT,TSLA,0.0,0.0,0.14164667576046686,0.08381821716273971,0.591474481256348,1.0,False,1.3210768706890088e-11
BTCL,IBIT,0.0,0.0,0.1747834317206155,0.07947261578963344,0.7697519515923006,1.0,False,1.5117162544528908e-11
ETU,ETHA,0.0,0.0,0.4912273071094564,0.09084638978511317,1.8925304340105271,1.0,False,7.866860248459288e-11
CRWU,CRWV,0.0,0.0,0.39774618907538406,0.45321540515216413,0.30716335895432584,1.0,False,3.492036756441316e-11
GOOX,GOOGL,0.0,0.0,0.08352944619450045,0.0791561524370272,0.3693371300649479,1.0,False,1.2357042795119365e-11
NFLU,NFLX,0.0,0.0,0.08651041072667384,0.07839378620983917,0.386237802997396,1.0,False,1.1000718813238963e-11
ROBN,HOOD,0.0,0.0,0.3416217039009059,0.1017016942971776,1.1756696600937087,1.0,False,2.4602884253577207e-11
RBLU,RBLX,0.0,0.0,0.29189060759529506,0.0998621200213988,1.023027676925562,1.0,False,2.4662298135341657e-11
SNOU,SNOW,0.0,0.0,0.2612808057877677,0.11989009965778451,0.762767587038042,1.0,False,2.1882464260371264e-11
SMUP,SMR,0.0,0.0,0.7875623998957012,0.1633411636114238,1.6875528119735834,1.0,False,0.0
GLXU,GLXY,0.0,0.0,0.7149912162360028,0.13466254262433763,1.858326159641172,1.0,False,0.005784772197950273
AFRU,AFRM,0.0,0.0,0.17324279012465849,0.1495710859178044,0.4053923669241255,1.0,False,1.4926233711843444e-11
KTUP,KTOS,0.0,0.0,0.3478711550511091,0.13268943262902133,0.9175930732049751,1.0,False,2.7608950632726225e-11
TTDU,TTD,0.0,0.0,0.04289008941747735,0.14111135843084793,0.10638074399569698,1.0,False,1.2409780522163626e-11
SBTU,SBET,0.0,0.0,0.4674355216179113,0.2202749136536276,0.7427193131194522,1.0,False,3.773832821481519e-11
GMEU,GME,0.0,0.0,-0.32572545309847795,0.3368995296147534,0.0,1.0,False,0.0
APPX,APP,0.0,0.0,0.48721524137870775,0.11157769070000063,1.5283103047995483,1.0,False,5.281185892217775e-11
ARCX,ACHR,0.0,0.0,0.3342820173252226,0.12845240464905938,0.9108331321899052,1.0,False,2.7302915224315144e-11
ASTX,ASTS,0.0,0.0,0.9163964475529239,0.11627323270271583,2.7584917799918687,1.0,False,0.09999999994743415
CEGX,CEG,0.0,0.0,0.12384876538129799,0.10832605776412293,0.40015365442210926,1.0,False,1.2969778355181882e-11
CLSX,CLSK,0.0,0.0,0.7775148405313508,0.14135964308787097,1.9250911238988706,1.0,False,0.09956316731976948
COZX,CORZ,0.0,0.0,0.40788304634230504,0.14504967244490097,0.9842081254891193,1.0,False,2.6226170077536326e-11
CRDU,CRDO,0.0,0.0,0.6979184811544733,0.14488467048212014,1.685971798059965,1.0,False,5.184474460116049e-10
CWVX,CRWV,0.0,0.0,0.5452518591995311,0.43763207758042444,0.4360698415320463,1.0,False,9.595949737896416e-11
GEVX,GEV,0.0,0.0,0.20854516037262644,0.10657471200536231,0.6848792246958801,1.0,False,1.7250115314913556e-11
IREX,IREN,0.0,0.0,0.7370736239491547,0.17214028327508052,1.4986368296487482,1.0,False,8.086175441401675e-11
JOBX,JOBY,0.0,0.0,0.1584744984548149,0.15917261301127827,0.3484649363345887,1.0,False,1.4186024988121082e-11
LABX,ALAB,0.0,0.0,0.6810095650415675,0.4255360963749884,0.5601248631902387,1.0,False,7.986663995070889e-11
LRCU,LRCX,0.0,0.0,0.214701152064813,0.11167992746982555,0.6728640045274729,1.0,False,1.773140968789042e-11
NEBX,NBIS,0.0,0.0,0.8353244859694027,0.11922771256839328,2.452144420044801,1.0,False,0.04874542345706437
NVTX,NVTS,0.0,0.0,1.086582317545798,0.17177853290483888,2.213919310579444,1.0,False,0.09999999997453844
OPEX,OPEN,0.0,0.0,0.2838684921393919,0.18655047066945768,0.5325849454694169,1.0,False,2.396823529365248e-11
PONX,PONY,0.0,0.0,0.28995728226369893,0.15587341330811103,0.6510735002106595,1.0,False,2.4498564099058085e-11
QBTX,QBTS,0.0,0.0,0.5549250789620555,0.4464807506895772,0.435010417216747,1.0,False,9.259187772403711e-11
QUBX,QUBT,0.0,0.0,0.4952303000782936,0.1596750865129377,1.08552065831108,1.0,False,6.068173662372857e-11
RGTU,RGTI,0.0,0.0,0.44695321813673705,0.16729617769084898,0.9350699370844908,1.0,False,3.534441904184366e-11
SMU,SMR,0.0,0.0,0.8355048127329259,0.1351590893931274,2.1635739465953625,1.0,False,0.09999999981733647
SRPU,SRPT,0.0,0.0,-0.43772163849446843,1.0452997677158575,0.0,1.0,False,0.0
TARK,ARKK,0.0,0.0,0.019311415381894605,0.1246345071252819,0.054230530047902445,1.0,False,1.2659446303645202e-11
TEMT,TEM,0.0,0.0,0.3702397335763491,0.10279463267530485,1.2606096581038042,1.0,False,2.7448732314286406e-11
UPSX,UPST,0.0,0.0,0.39295767896019895,0.1097610533868745,1.2530417975427013,1.0,False,2.6683466900720177e-11
WULX,WULF,0.0,0.0,0.7380507593462613,0.16847516205867977,1.533269133649621,1.0,False,0.040374031181771096
OKLL,OKLO,0.0,0.0,0.7306534225250771,0.11656279734761259,2.193913527325061,1.0,False,0.029278026633870812
GDXU,GDX,0.0,0.0,0.2899071046021556,0.15928718596822267,0.6370097255092253,1.0,False,2.4942675796829417e-11
BITX,IBIT,0.0,0.0,0.19025065167921495,0.07484901735193517,0.8896272849466293,1.0,False,1.5972933531041017e-11
ETHU,ETHA,0.0,0.0,0.4850380921273799,0.1916539002469368,0.8857807330080478,1.0,False,7.460573642108975e-11
MSTX,MSTR,0.0,0.0,0.20059878399912878,0.13002744140011874,0.5399596703871692,1.0,False,1.5460135579996613e-11
ORCX,ORCL,0.0,0.0,0.018869118029802845,0.34711182337918123,0.01902612030364822,1.0,False,1.2665289361197427e-11
IONX,IONQ,0.0,0.0,0.1603384071385212,0.37930141820493074,0.1479521030110214,1.0,False,1.376077903480495e-11
HIMZ,HIMS,0.0,0.0,0.22568452462272956,0.5039635505291132,0.15673669957881653,1.0,False,1.8639177813874152e-11
IRE,IREN,0.0,0.0,0.8984756171362082,0.1350732174805186,2.328118570530297,1.0,False,0.09999999983773405
AVGX,AVGO,0.0,0.0,0.1088438676499818,0.07977199879742387,0.47755295406643195,1.0,False,1.0918974713411422e-11
RKLX,RKLB,0.0,0.0,0.5765411427278755,0.09303654940465053,2.1689260967439723,1.0,False,5.314489467965523e-11
RGTX,RGTI,0.0,0.0,0.3988773711157118,0.39242360224924033,0.3557560735142285,1.0,False,2.911658043480093e-11
SOFX,SOFI,0.0,0.0,0.2341572963480738,0.08427557409455541,0.9724650897052802,1.0,False,1.937726397182361e-11
NVOX,NVO,0.0,0.0,0.0655455567117724,0.26679504798938364,0.08598714639573524,1.0,False,1.2310871901642679e-11
LLYX,LLY,0.0,0.0,0.11475710205746065,0.07490474184134166,0.5362141932908077,1.0,False,1.2762318266846479e-11
SOUX,SOUN,0.0,0.0,0.36232315468501386,0.11235279448338682,1.1287044948268397,1.0,False,2.7594544108048743e-11
QPUX,IONQ,0.0,0.0,0.16110890653820914,0.525267053027977,0.10735133102926564,1.0,False,1.3789828490563917e-11
HOOX,HOOD,0.0,0.0,0.325151515820854,0.0977080931805796,1.164724710439015,1.0,False,2.3798988018379134e-11
RIOX,RIOT,0.0,0.0,0.4220447086905401,0.11290429258766102,1.3083262350454905,1.0,False,2.628220949916592e-11
QSU,QS,0.0,0.0,0.28921627399565314,0.13365746844971557,0.7573515874016541,1.0,False,2.4435169908428905e-11
MPL,MP,0.0,0.0,0.30690288092709994,0.12640604817922424,0.8497695313770562,1.0,False,2.5417947372235972e-11
OSCX,OSCR,0.0,0.0,0.3972833168463674,0.11752342688925686,1.1831612179523627,1.0,False,2.6525752570300266e-11
DKNX,DKNG,0.0,0.0,0.20003861611197474,0.10529497409107759,0.6649274216890083,1.0,False,1.6620469846990828e-11
ANEL,ANET,0.0,0.0,0.20570975297816504,0.09059220611623364,0.7947528449630727,1.0,False,1.7035566504006397e-11
VSTL,VST,0.0,0.0,0.1518735763831608,0.08587915296460989,0.618959897706622,1.0,False,1.3899203616995577e-11
