ETF,Underlying,sleeve,strategy_tag,Delta,borrow_current,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,gross_target_usd,long_usd,short_usd
AAPU,AAPL,,ETF_LS,1.996899,0.018721,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
AMUU,AMD,core_leveraged,ETF_LS,1.986529,0.020246,3807.9959401105566,2532.938527270917,-1275.0574128396397,2532.938527270917,-1275.0574128396397,haircut,haircut,-291.78127826776426,1.0766233165309764,4099.777218378321,2727.0206777995018,-1372.7565405788193
AMZU,AMZN,core_leveraged,ETF_LS,1.998525,0.0402099999999999,270.0366800442854,179.98017558149607,-90.05650446278933,179.98017558149607,-90.05650446278933,haircut,haircut,-21.206468086059772,1.078531805688701,291.24314813034516,194.11434375808042,-97.12880437226474
ASMU,ASML,core_leveraged,ETF_LS,1.998519,0.089274,988.7502085145771,659.0040209751362,-329.74618753944105,659.0040209751362,-329.74618753944105,haircut,haircut,-69.38513546712886,1.0701745849149986,1058.135343981706,705.2493546043814,-352.8859893773246
AVL,AVGO,core_leveraged,ETF_LS,1.997762,0.0277329999999999,2475.0756276483567,1649.4344901436593,-825.6411375046974,1649.4344901436593,-825.6411375046974,haircut,haircut,-187.3801626733548,1.0757068432900332,2662.4557903217114,1774.3079686061412,-888.1478217155703
BOEU,BA,core_leveraged,ETF_LS,1.995012,0.0622119999999999,339.17364859112314,225.92747508960693,-113.24617350151625,225.92747508960693,-113.24617350151625,haircut,haircut,-23.41081868449527,1.0690231059569053,362.5844672756184,241.52169114129293,-121.06277613432547
BABU,BABA,core_leveraged,ETF_LS,2.004619,0.172456,144.87256186556266,96.65594542748426,-48.21661643807839,96.65594542748426,-48.21661643807839,haircut,haircut,-11.3117609959331,1.0780807687133336,156.18432286149576,104.20291594717625,-51.98140691431951
CONX,COIN,core_leveraged,ETF_LS,2.001485,0.140728,3857.687203286229,2572.4276723253115,-1285.2595309609171,2572.4276723253115,-1285.2595309609171,haircut,haircut,-292.7655191535482,1.075891461314995,4150.452722439777,2767.6529675052107,-1382.7997549345664
CSCL,CSCO,,ETF_LS,2.00276,0.223775,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
GGLL,GOOGL,core_leveraged,ETF_LS,2.000613,0.025216,297.0582870535147,198.0590868722468,-98.99920018126785,198.0590868722468,-98.99920018126785,haircut,haircut,-22.507624593534388,1.0757683780405012,319.56591164704906,213.06570264073966,-106.5002090063094
HODU,HOOD,core_leveraged,ETF_LS,1.999277,0.084481,2869.38508412863,1912.6928265850188,-956.6922575436114,1912.6928265850188,-956.6922575436114,haircut,haircut,-238.67839145020707,1.0831810246628812,3108.063475578837,2071.792575765703,-1036.2708998131338
LINT,INTC,core_leveraged,ETF_LS,1.994183,0.15752,3018.76211258879,2010.553157896044,-1008.2089546927458,2010.553157896044,-1008.2089546927458,haircut,haircut,-223.02247645637772,1.0738787847927245,3241.7845890451676,2159.0903819625787,-1082.694207082589
ELIL,LLY,,ETF_LS,1.983497,0.2254479999999999,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
METU,META,core_leveraged,ETF_LS,1.997444,0.033224,973.5750830073257,648.7733242397471,-324.8017587675785,648.7733242397471,-324.8017587675785,haircut,haircut,-69.12583870287835,1.071002062305613,1042.700921710204,694.8375682296373,-347.8633534805668
MRVU,MRVL,,ETF_LS,1.996236,0.394327,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
MSFU,MSFT,core_leveraged,ETF_LS,2.000007,0.024836,448.0886666566444,298.7261262836905,-149.36254037295396,298.7261262836905,-149.36254037295396,haircut,haircut,-33.36576319473005,1.0744624126374014,481.45442985137447,320.96999436459913,-160.48443548677537
MUU,MU,core_leveraged,ETF_LS,1.987891,0.024086,6342.731859333071,4219.919528048874,-2122.812331284197,4219.919528048874,-2122.812331284197,haircut,haircut,-440.72077114175136,1.0694843769082323,6783.452630474822,4513.138007058231,-2270.314623416591
NFXL,NFLX,core_leveraged,ETF_LS,1.999035,0.037747,228.1193443324467,152.05509555494103,-76.06424877750567,152.05509555494103,-76.06424877750567,haircut,haircut,-17.811733763859024,1.0780807687133334,245.93107809630573,163.9276743026502,-82.00340379365554
NVDU,NVDA,core_leveraged,ETF_LS,1.997011,0.038794,849.4508145652769,566.0181496316891,-283.4326649335878,566.0181496316891,-283.4326649335878,haircut,haircut,-66.32577258542403,1.0780807687133334,915.776587150701,610.21328186063,-305.563305290071
ORCU,ORCL,core_leveraged,ETF_LS,2.002171,0.042036,1378.4018002266762,919.2667941838238,-459.13500604285235,919.2667941838238,-459.13500604285235,haircut,haircut,-107.62667215754163,1.0780807687133336,1486.0284723842178,991.0438521263384,-494.98462025787927
PALU,PANW,core_leveraged,ETF_LS,1.99848,0.1059629999999999,218.31685654128637,145.50768104527293,-72.80917549601344,145.50768104527293,-72.80917549601344,haircut,haircut,-17.04634798182218,1.0780807687133334,235.36320452310855,156.86903263498237,-78.49417188812616
PLTU,PLTR,core_leveraged,ETF_LS,1.997152,0.039193,2362.262838468684,1574.0936570362162,-788.1691814324679,1574.0936570362162,-788.1691814324679,haircut,haircut,-180.98969848950355,1.0766170874562073,2543.2525369581876,1694.696128421621,-848.5564085365667
QCMU,QCOM,core_leveraged,ETF_LS,2.005356,0.070354,1860.0931875843287,1241.1671144055342,-618.9260731787942,1241.1671144055342,-618.9260731787942,haircut,haircut,-145.71863940160756,1.0783394296448394,2005.8118269859362,1338.3994382419949,-667.4123887439412
