ETF,Underlying,weight_solved,weight_capped,gross_solved_usd,gross_capped_usd,crash_budget_mult,cap_usd,L,C,runup,tail,hedge_ratio,crash_l_source,scale_to_budget,scale_mult,gross_final_usd,weight_final
LITZ,LITE,0.16647541517664455,0.014247165977315807,36.0540808336539,3.085551540758027,0.0855812010572153,3.085551540758027,0.5264204833397339,0.5659860999448534,1.1835582127822035,0.5659860999448534,0.3695679140311104,signal,True,6.463056232906872,19.94209311745157,0.09208023487094966
SNDQ,SNDK,0.12728929518179258,0.012076438457356025,27.567425093209987,2.61543055989474,0.09487395181274784,2.61543055989474,0.6210440293703965,0.728667115351079,4.4492243555608795,0.728667115351079,0.42505348093583406,signal,True,6.463056232906872,16.903674781862808,0.07805070084313111
MSTZ,MSTR,0.11879246311457999,0.01135749301106815,25.727240644015453,2.4597263845488118,0.09560785855676217,2.4597263845488118,0.6603569989161402,0.6616067306093181,0.0,0.6616067306093181,0.35634757876494394,signal,True,6.463056232906872,15.897349940903684,0.07340411599538024
CORD,CRWV,0.09344556728878042,0.01139964676231292,20.237787261268814,2.4688557491051824,0.12199237580830251,2.4688557491051824,0.657915122843534,0.7102172617420006,0.0,0.7102172617420006,0.3921983315224803,signal,True,6.463056232906872,15.956353537402213,0.07367655806010316
NBIZ,NBIS,0.09657480130718735,0.012808666876343225,20.915494874295938,2.774011468546331,0.13262949240352173,2.774011468546331,0.5855410303356403,0.7275035341804994,1.1513221250979315,0.7275035341804994,0.44599095941617745,signal,True,6.463056232906872,17.92859211194351,0.08278313429037788
QBTZ,QBTS,0.10034346052631392,0.015075417611186788,21.73168472417082,3.2649284855549765,0.15023816731169473,3.2649284855549765,0.4974986559864576,0.759494365711243,0.0,0.759494365711243,0.5165401404035925,signal,True,6.463056232906872,21.101416398561287,0.0974332717556548
RKLZ,RKLB,0.10427906805225524,0.01878554309456817,22.584031070442208,4.068441508417214,0.18014682568082171,4.068441508417214,0.3992431819641467,0.6983443597666478,0.1941353998557538,0.6983443597666478,0.5531586960746349,signal,True,6.463056232906872,26.294566249192915,0.12141202138588947
DAMD,AMD,0.10030097745505603,0.019696152206208586,21.72248403778978,4.265654859614498,0.19637049115532554,4.265654859614498,0.38078503463411817,0.5146332127040436,1.585277783925589,0.5146332127040436,0.44673593419367646,signal,True,6.463056232906872,27.569167227860973,0.12729733928061884
CONI,COIN,0.06424112677968277,0.013171880935039232,13.912893836618784,2.852673828500502,0.20503813670972282,2.852673828500502,0.5693947612332909,0.6295862724251657,0.0,0.6295862724251657,0.3810945001468772,signal,True,6.463056232906872,18.436991367740482,0.08513060717631252
SSPC,SPCX,0.01440220249475859,0.012251533227325138,3.119128265141739,2.653351360292312,0.8506708075923702,2.653351360292312,0.6121682781117075,,,,0.75,book_quantile,True,6.463056232906872,17.148759047229156,0.07918234818752938
MUZ,MU,0.013855622622948522,0.013855622622948522,3.00075382012607,3.00075382012607,1.0,3.354078702187802,0.48427531900071474,0.593476556125903,1.9676153768293858,0.593476556125903,0.4206582023736838,signal,True,6.463056232906872,19.394040680584904,0.08954966815405291
