source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-15,ASTN,ASTS,29525.56049472,24155.82
2026-07-15,CONI,COIN,12832.15239705,12832.15239705
2026-07-15,CORD,CRWV,95448.06019518,0.4415452600746847
2026-07-15,DAMD,AMD,5098.9485339,5098.9485339
2026-07-15,IREZ,IREN,31990.005942225,31990.005942225
2026-07-15,LITZ,LITE,57777.23966184001,15481.2
2026-07-15,MSTZ,MSTR,21023.89999584,15124.9
2026-07-15,MUZ,MU,4469.5,4469.5
2026-07-15,NBIZ,NBIS,50262.30875327201,32218.94
2026-07-15,QBTZ,QBTS,66116.9133702,0.0
2026-07-15,RKLZ,RKLB,21596.0552262,10639.35
2026-07-15,SNDQ,SNDK,48126.20250464,43945.5
2026-07-15,SPCG,SPCX,1865.52,2715.254558406196
2026-07-15,SSPC,SPCX,2337.76,2715.254558406196
2026-07-15,UVIX,SVIX,20526.778968861,20671.035
