etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.026351,0.75
ASTN,ASTS,-1.995424,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.000167,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.989523,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.014445,0.75
CONI,COIN,-1.923578,0.75
CRCD,CRCL,-2.013675,0.75
CORD,CRWV,-2.004858,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002295,0.75
SDOW,DIA,-2.99946,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-1.994022,0.75
BTCZ,IBIT,-1.999503,0.75
IONZ,IONQ,-2.015157,0.75
IREZ,IREN,-2.002367,0.75
TWM,IWM,-2.000126,0.75
TZA,IWM,-2.995949,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.991584,0.75
MSTZ,MSTR,-2.002952,0.75
SMST,MSTR,-1.977001,0.75
NBIZ,NBIS,-2.024791,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.004693,0.75
NVDS,NVDA,-1.489106,0.75
OKLS,OKLO,-1.996439,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-1.993872,0.75
QID,QQQ,-1.996658,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.980625,0.75
RKLZ,RKLB,-2.011541,0.75
SMCZ,SMCI,-2.022909,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.003084,0.75
SPXS,SPY,-2.996293,0.75
SPXU,SPY,-2.994429,0.75
UVIX,SVIX,-1.982305,0.75
TBT,TLT,-1.997953,0.75
TBX,TLT,-1.370361,0.75
TMV,TLT,-2.989839,0.75
TSDD,TSLA,-2.010417,0.75
STSM,TSM,-2.004705,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.749375,0.75
DUG,XLE,-1.990373,0.75
SKF,XLF,-1.998715,0.75
FNGD,XLK,-2.91636,0.75
REW,XLK,-2.003586,0.75
TECS,XLK,-2.995675,0.75
WEBS,XLK,-2.792816,0.75
DRIP,XOP,-1.996516,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
