symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AMZO,TRADR 2X SHORT AMZN DAILY ET,0.0,4542.096184,0.0,0.0,0.0,-198.56,25.099190194179847,0.0,0.0,4368.635374194179
SOXS,DIREX DAI SEMI BE 3X ETF-USD,0.0,2374.847821,0.0,0.0,-25.53,-55.43,3.155906186608599,0.0,0.0,2297.0437271866085
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,1703.503862,0.0,0.0,0.0,-141.06,8.830978559081569,0.0,0.0,1571.2748405590817
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,1465.528082,0.0,0.0,-29.37,-25.41,7.972705486646169,0.0,0.0,1418.7207874866463
SDS,PROSHARES ULTRASHORT S&P500,0.0,766.149892,0.0,0.0,-26.99,-56.41,15.176241608658923,0.0,0.0,697.9261336086589
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,589.780642,0.0,0.0,0.0,-57.78,13.204286633828017,0.0,0.0,545.204928633828
LABD,DIRE DLY SP BT BE 3X ETF-USD,0.0,358.732916,0.0,0.0,-15.54,-92.27,10.680869628875849,0.0,0.0,261.6037856288758
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
FAZ,DIREX DLY FIN BEA 3X ETF-USD,0.0,103.015122,0.0,0.0,-26.13,-68.53,11.036303501832752,0.0,0.0,19.39142550183276
TSYY,GRANITE YIELDBOOST TSLA ETF,0.0,16.481186,0.0,0.0,-11.97,-0.98,0.3802194180996197,0.0,0.0,3.91140541809962
TQQY,GRANITE YIELDBOOST QQQ,159.88451495,-13.821607,0.0,0.0,-127.43,-27.37,1.6066461221469568,0.0,0.0,-7.1304459278530405
NVYY,GRANITE YIELDBOOST NVDA,104.42386226,6.795803,0.0,0.0,-158.52,-7.58,0.45843448931515884,0.0,0.0,-54.421900250684835
EWV,PROSHARES ULTSHRT MSCI JAPAN,-379.67922922,69.577874,0.0,0.0,-1.46,-10.93,3.2975238594491096,0.0,0.0,-319.1938313605509
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-824.217632,0.0,0.0,0.0,-419.9,14.75204256230475,0.0,0.0,-1229.3655894376952
DUST,DIR DLY GOL MN IDX BR 2X ETF,-3.4059583,-2065.855048,0.0,0.0,-90.65,-186.5,21.95672313561037,0.0,0.0,-2324.4542831643894
