symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,15360.42935448,15360.42935448,1
DUST,flow_program,13341.3921792,13341.3921792,1
FAZ,flow_program,10104.5877596,10104.5877596,1
LABD,flow_program,9799.4616615,9799.4616615,1
SDS,flow_program,9234.226358749998,9234.226358749998,1
ZSL,flow_program,9071.8997616,9071.8997616,1
TSLQ,flow_program,8105.091650700001,8105.091650700001,1
SQQQ,flow_program,7308.54637632,7308.54637632,1
NVDQ,flow_program,5385.81093336,5385.81093336,1
SOXS,flow_program,2897.0926853,2897.0926853,1
EWV,flow_program,2012.125737804,2012.125737804,1
TSYY,flow_program,-56.18614716,56.18614716,1
NVYY,flow_program,-70.1877652,70.1877652,1
TQQY,flow_program,-347.74530915599996,347.74530915599996,1
