source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-09,ASTN,ASTS,25878.95195643,25878.95195643
2026-07-09,CONI,COIN,13191.7767921765,13191.7767921765
2026-07-09,CORD,CRWV,76557.83194345,9.828954815890697
2026-07-09,DAMD,AMD,5816.986084,177.7844741193312
2026-07-09,IREZ,IREN,25945.93683,25945.93683
2026-07-09,LITZ,LITE,80954.09199936001,8485.2
2026-07-09,MSTZ,MSTR,22881.80487831,12203.1
2026-07-09,NBIZ,NBIS,41289.49754853,27060.0
2026-07-09,QBTZ,QBTS,57789.00391572001,0.0
2026-07-09,RGTZ,RGTI,15088.32535288,15008.04
2026-07-09,RKLZ,RKLB,19717.16306904,8335.0
2026-07-09,SNDQ,SNDK,53299.35397776,24180.52
2026-07-09,SPCG,SPCX,1592.64,1838.6485737489083
2026-07-09,SSPC,SPCX,1992.72,1838.6485737489083
2026-07-09,UVIX,SVIX,21707.598960666,21673.96
