etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.030683,0.75
ASTN,ASTS,-2.00729,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.011114,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.991213,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.021316,0.75
CONI,COIN,-1.922835,0.75
CRCD,CRCL,-2.014008,0.75
CORD,CRWV,-2.008021,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002515,0.75
SDOW,DIA,-2.999517,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-1.993085,0.75
BTCZ,IBIT,-1.999373,0.75
IONZ,IONQ,-2.030527,0.75
IREZ,IREN,-2.012611,0.75
TWM,IWM,-2.000868,0.75
TZA,IWM,-2.996797,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.990445,0.75
MSTZ,MSTR,-2.002231,0.75
SMST,MSTR,-1.975629,0.75
NBIZ,NBIS,-2.035333,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.002599,0.75
NVDS,NVDA,-1.491306,0.75
OKLS,OKLO,-2.003906,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-2.004114,0.75
QID,QQQ,-1.997053,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.99681,0.75
RKLZ,RKLB,-2.018997,0.75
SMCZ,SMCI,-2.030958,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.005659,0.75
SPXS,SPY,-2.996189,0.75
SPXU,SPY,-2.994548,0.75
UVIX,SVIX,-1.982297,0.75
TBT,TLT,-1.997745,0.75
TBX,TLT,-1.370422,0.75
TMV,TLT,-2.990046,0.75
TSDD,TSLA,-2.011634,0.75
STSM,TSM,-2.006582,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.741821,0.75
DUG,XLE,-1.990766,0.75
SKF,XLF,-1.996777,0.75
FNGD,XLK,-2.914332,0.75
REW,XLK,-2.005642,0.75
TECS,XLK,-2.996931,0.75
WEBS,XLK,-2.792973,0.75
DRIP,XOP,-1.996122,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
