symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,15130.072232755201,15130.072232755201,1
DUST,flow_program,13936.670796800001,13936.670796800001,1
FAZ,flow_program,10129.483397880002,10129.483397880002,1
ZSL,flow_program,9523.99783296,9523.99783296,1
SDS,flow_program,9305.73800559,9305.73800559,1
LABD,flow_program,9008.2410201,9008.2410201,1
TSLQ,flow_program,7476.45581802,7476.45581802,1
SQQQ,flow_program,7221.305689,7221.305689,1
NVDQ,flow_program,5750.4154491,5750.4154491,1
SOXS,flow_program,2322.291434,2322.291434,1
EWV,flow_program,2208.8538398752,2208.8538398752,1
