ETF,Underlying,sleeve,strategy_tag,Delta,borrow_current,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,gross_target_usd,long_usd,short_usd
AMUU,AMD,core_leveraged,ETF_LS,2.007855,0.0,91197.16663828811,60877.49809100504,-30319.668547283065,60877.49809100504,-30319.668547283065,haircut,haircut,0.0,1.0,91197.16663828811,60877.49809100504,-30319.668547283065
BABU,BABA,,ETF_LS,2.02644,0.099382,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
METU,META,,ETF_LS,1.998657,0.092678,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
PALU,PANW,,ETF_LS,2.005113,0.084802,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
YINN,FXI,core_leveraged,ETF_LS,2.972911,0.0,75140.70275805486,56227.44173658852,-18913.26102146634,56227.44173658852,-18913.26102146634,haircut,haircut,0.0,1.0,75140.70275805486,56227.44173658852,-18913.26102146634
SOXL,SOXX,core_leveraged,ETF_LS,2.959678,0.0,78388.64208149009,58591.920711345825,-19796.721370144263,58591.920711345825,-19796.721370144263,haircut,haircut,0.0,1.0,78388.64208149009,58591.920711345825,-19796.721370144263
ERX,XLE,,ETF_LS,1.986013,0.08834,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
URAA,URA,core_leveraged,ETF_LS,1.932605,0.01347,176016.48124206476,115995.95981416541,-60020.521427899344,115995.95981416541,-60020.521427899344,haircut,haircut,0.0,1.0,176016.48124206476,115995.95981416541,-60020.521427899344
ETU,ETHA,core_leveraged,ETF_LS,1.989397,0.040618,92568.01848633274,61602.570107836094,-30965.448378496643,61602.570107836094,-30965.448378496643,haircut,haircut,0.0,1.0,92568.01848633274,61602.570107836094,-30965.448378496643
MSFX,MSFT,,ETF_LS,2.008453,0.095784,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
BMNU,BMNR,core_leveraged,ETF_LS,1.941962,0.335196,366659.9999999999,242028.88647779945,-124631.11352220045,242028.88647779945,-124631.11352220045,pair_cap,pair_cap,0.0,1.0,366659.9999999999,242028.88647779945,-124631.11352220045
XRPK,XRPZ,core_leveraged,ETF_LS,1.96587,0.203156,95647.77040700548,63398.28866741288,-32249.481739592586,63398.28866741288,-32249.481739592586,haircut,haircut,0.0,1.0,95647.77040700548,63398.28866741288,-32249.481739592586
XRPT,XRPZ,,ETF_LS,-0.125828,0.086564,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
APPX,APP,,ETF_LS,1.983777,0.085102,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
ASTX,ASTS,,ETF_LS,1.990004,0.1018,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
BLSX,BLSH,,ETF_LS,2.048146,0.092092,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
CEGX,CEG,,ETF_LS,1.985591,0.089626,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
COZX,CORZ,core_leveraged,ETF_LS,2.043647,0.05504,211325.10681957327,141893.56406196265,-69431.54275761062,141893.56406196265,-69431.54275761062,haircut,haircut,0.0,1.0,211325.10681957327,141893.56406196265,-69431.54275761062
NEBX,NBIS,core_leveraged,ETF_LS,1.998885,0.076544,92279.11570061801,61507.97385936102,-30771.14184125701,61507.97385936102,-30771.14184125701,haircut,haircut,0.0,1.0,92279.11570061801,61507.97385936102,-30771.14184125701
TEMT,TEM,,ETF_LS,1.983991,0.1060039999999999,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
CRMU,CRML,core_leveraged,ETF_LS,1.984579,0.180202,134639.44551344088,89527.7411446033,-45111.70436883757,89527.7411446033,-45111.70436883757,haircut,haircut,0.0,1.0,134639.44551344088,89527.7411446033,-45111.70436883757
UECG,UEC,core_leveraged,ETF_LS,1.939219,0.054512,366659.9999999999,241912.57559916418,-124747.42440083569,241912.57559916418,-124747.42440083569,pair_cap,pair_cap,0.0,1.0,366659.9999999999,241912.57559916418,-124747.42440083569
DNNG,DNN,core_leveraged,ETF_LS,1.944587,0.162016,267513.8111681119,176664.4624587303,-90849.34870938162,176664.4624587303,-90849.34870938162,haircut,haircut,0.0,1.0,267513.8111681119,176664.4624587303,-90849.34870938162
RDWU,RDW,core_leveraged,ETF_LS,2.012269,0.267994,217397.8880580898,145227.07992040695,-72170.80813768286,145227.07992040695,-72170.80813768286,haircut,haircut,0.0,1.0,217397.8880580898,145227.07992040695,-72170.80813768286
GDXU,GDX,core_leveraged,ETF_LS,3.045562,0.018584,129373.10442960121,97394.08533915068,-31979.019090450525,97394.08533915068,-31979.019090450525,haircut,haircut,0.0,1.0,129373.10442960121,97394.08533915068,-31979.019090450525
MRNX,MRNA,core_leveraged,ETF_LS,2.043116,0.077514,300690.9487009694,201880.7328889631,-98810.21581200632,201880.7328889631,-98810.21581200632,haircut,haircut,0.0,1.0,300690.9487009694,201880.7328889631,-98810.21581200632
RKTL,RKT,core_leveraged,ETF_LS,1.931718,0.0361979999999999,366659.9999999999,241593.4008250452,-125066.59917495471,241593.4008250452,-125066.59917495471,pair_cap,pair_cap,0.0,1.0,366659.9999999999,241593.4008250452,-125066.59917495471
FGRU,FIGR,core_leveraged,ETF_LS,1.96606,0.1821559999999999,366659.9999999999,243041.46227655534,-123618.53772344453,243041.46227655534,-123618.53772344453,pair_cap,pair_cap,0.0,1.0,366659.9999999999,243041.46227655534,-123618.53772344453
CLSZ,CLSK,inverse_decay_bucket4,ETF_LS,-2.036506,0.045184,1123.305443266245,-537.1599584841972,-586.1454847820479,-537.1599584841972,-586.1454847820479,pair_cap,pair_cap,0.0,1.0,1123.305443266245,-537.1599584841972,-586.1454847820479
BITX,IBIT,core_leveraged,ETF_LS,2.000026,0.056792,136522.4830798149,91015.38311474297,-45507.09996507194,91015.38311474297,-45507.09996507194,haircut,haircut,0.0,1.0,136522.4830798149,91015.38311474297,-45507.09996507194
ETHU,ETHA,core_leveraged,ETF_LS,2.000653,0.01628,209747.5455748282,139846.9120877745,-69900.63348705372,139846.9120877745,-69900.63348705372,haircut,haircut,0.0,1.0,209747.5455748282,139846.9120877745,-69900.63348705372
BULG,BULL,core_leveraged,ETF_LS,1.982021,0.133214,95123.18981547355,63224.28976900387,-31898.900046469676,63224.28976900387,-31898.900046469676,haircut,haircut,0.0,1.0,95123.18981547355,63224.28976900387,-31898.900046469676
CRWG,CRWV,,ETF_LS,1.997346,0.0951259999999999,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
IREG,IREN,,ETF_LS,1.970372,0.1126959999999999,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
OPEG,OPEN,,ETF_LS,2.009881,0.093986,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
PANG,PANW,,ETF_LS,1.99691,0.107566,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
TERG,TER,,ETF_LS,2.001646,0.099638,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
COIA,COIN,,ETF_LS,1.99851,0.091046,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
ETHT,ETHA,,ETF_LS,1.991699,0.104726,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
UXRP,XRPZ,core_leveraged,ETF_LS,2.006036,0.014194,106271.50583615084,70918.80020117147,-35352.705634979364,70918.80020117147,-35352.705634979364,haircut,haircut,0.0,1.0,106271.50583615084,70918.80020117147,-35352.705634979364
TSLR,TSLA,,ETF_LS,1.999882,0.083004,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
ETRL,ETOR,,ETF_LS,1.999939,0.11587,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
NVDL,NVDA,,ETF_LS,1.987688,0.106854,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
TSMU,TSM,,ETF_LS,1.991866,0.086546,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
VRTL,VRT,core_leveraged,ETF_LS,1.983419,0.0218719999999999,97517.07369009116,64830.725010910945,-32686.348679180213,64830.725010910945,-32686.348679180213,haircut,haircut,0.0,1.0,97517.07369009116,64830.725010910945,-32686.348679180213
IOYY,IONQ,,ETF_LS,0.373049,0.117616,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
MTYY,MSTR,,ETF_LS,0.394671,,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
YSPY,SPY,,ETF_LS,0.791333,0.082732,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
RYLD,IWM,,ETF_LS,0.566697,0.106528,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
HOOY,HOOD,,ETF_LS,0.789099,0.106946,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
MSFO,MSFT,,ETF_LS,0.779338,0.107992,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
PLTY,PLTR,,ETF_LS,0.793112,0.1192479999999999,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
PYPY,PYPL,,ETF_LS,0.805923,0.096458,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
