underlying,spot_net_usd,etf_b2_net_usd,etf_b4_net_usd,struct_short_usd,hr_b2,b4_signed_frac,pnl_frac_b1,pnl_frac_b2,pnl_frac_b4,spot_pnl_total,spot_pnl_b1,spot_pnl_b2,spot_pnl_b4,method
AMD,33675.85,-24778.4677297506,0.0,0.0,0.735793386944965,0.0,0.26420661305503496,0.735793386944965,0.0,44347.98165715,11717.03002946242,32630.95162768758,0.0,B2 hedge + orphan to B1
ASTS,4525.06,0.0,16296.2709504,0.0,0.0,-2.701003569632226,3.701003569632226,0.0,-2.701003569632226,398.61046860000033,1475.258767181374,0.0,-1076.6482985813736,B2 hedge + B4 structural
BABA,29647.6,-27679.06638,0.0,0.0,0.9292249479007604,0.0,0.0707750520992395,0.9292249479007604,0.0,-4247.48206894,-300.6157647198142,-3946.8663042201865,0.0,B2 hedge only
BE,14500.5,0.0,18562.700979,0.0,0.0,-0.9601065986862524,1.9601065986862523,0.0,-0.9601065986862524,7793.880599900001,15276.836793236756,0.0,-7482.956193336756,B2 hedge + B4 structural
CLSK,13985.94,0.0,8593.481567215,-15039.151874999998,0.0,-1.0753050474262007,2.075305047426201,0.0,-1.0753050474262007,4314.709398410001,8954.33819269754,0.0,-4639.628794287539,B2 hedge + B4 structural
COIN,51030.0,-37889.44643133,533.8791975,-1299.4734276463744,0.7424935612645502,-0.02546489178221388,0.23556155177226457,0.7899033400099492,-0.02546489178221388,-6805.63723355,-1603.1464675341397,-5375.795581677216,173.3048156613562,B2 hedge + B4 structural
CRCL,28683.6,0.0,6156.6219514800005,0.0,0.0,-0.1609793214104924,1.1609793214104924,0.0,-0.1609793214104924,3538.9490025799996,4108.646611521667,0.0,-569.6976089416673,B2 hedge + B4 structural
CRWV,29920.8,-6153.9389020989,18017.004974040003,-14906.363175,0.1705885916125328,-0.498194004672335,1.242619199452941,0.25557480521939396,-0.498194004672335,392.26011521000004,487.4299503395686,100.25180254013284,-195.4216376697014,B2 hedge + B4 structural
HIMS,13375.26,-6261.18703056,0.0,0.0,0.4681170332808483,0.0,0.5318829667191517,0.4681170332808483,0.0,-683.4279756899999,-363.5036992488614,-319.92427644113855,0.0,B2 hedge + orphan to B1
HOOD,28760.76,-15811.991854659,0.0,0.0,0.541411724881482,0.0,0.4585882751185179,0.541411724881482,0.0,-2569.2983774100003,-1178.2501111612592,-1391.0482662487411,0.0,B2 hedge only
IBIT,36448.12,-33720.10682208,0.0,0.0,0.9088186528027478,0.0,0.0911813471972523,0.9088186528027478,0.0,-4064.2606715399997,-370.5847633918265,-3693.675908148173,0.0,B2 hedge only
IONQ,51132.06,-36897.34117292999,0.0,0.0,0.7216087357507206,0.0,0.2783912642492794,0.7216087357507206,0.0,26700.697673899995,7433.240981774814,19267.456692125183,0.0,B2 hedge + orphan to B1
IREN,40543.65,0.0,16536.336147320002,-14977.72485,0.0,-0.369422211616369,1.369422211616369,0.0,-0.369422211616369,10436.35130375,14291.7712835867,0.0,-3855.419979836701,B2 hedge + B4 structural
MARA,19838.7,-18010.7075476,0.0,0.0,0.9078572460695508,0.0,0.0921427539304493,0.9078572460695508,0.0,5220.292831,481.0121577717209,4739.280673228279,0.0,B2 hedge + orphan to B1
META,30493.92,-28904.268415,0.0,0.0,0.9478698840621343,0.0,0.05213011593786568,0.9478698840621343,0.0,365.5729007900001,19.057357701924516,346.5155430880756,0.0,B2 hedge + orphan to B1
MSTR,40639.52,-42673.814148000005,7536.293634312,-10365.45945388997,0.9415215804259678,-0.25505860930173313,0.0733938439447481,1.181664765356985,-0.25505860930173313,-860.2610918700002,-63.13786832844546,-1016.5402212703074,219.41699772875268,B2 hedge + B4 structural
MU,11082.24,-3574.67775,0.0,0.0,0.3225591351567914,0.0,0.6774408648432086,0.3225591351567914,0.0,14351.128487599999,9722.040894115751,4629.087593484248,0.0,B2 hedge + orphan to B1
NBIS,31687.6,0.0,18721.91363868,-15111.538199999995,0.0,-0.4768912192782033,1.4768912192782033,0.0,-0.4768912192782033,25967.245313420004,38350.79659223308,0.0,-12383.551278813073,B2 hedge + B4 structural
NVDA,2356.75,-96.5552029344,0.0,0.0,0.0393571916037638,0.0,0.9606428083962362,0.0393571916037638,0.0,8217.64028764,7894.217044308543,323.42324333145683,0.0,B2 hedge only
QBTS,13358.97,-13732.9937081973,19705.32112626,-14901.18052499999,0.5,-1.1154438197705356,1.057721909885268,1.057721909885268,-1.1154438197705356,10145.16851049,10730.76701302336,10730.76701302336,-11316.36551555672,B2 hedge + B4 structural
QQQ,1471.2,-509.95282744,0.0,0.0,0.2574020642814059,0.0,0.7425979357185941,0.2574020642814059,0.0,-210.77970677,-156.52457513877255,-54.25513163122744,0.0,B2 hedge only
RIOT,28433.5,-25388.312775,0.0,0.0,0.8792872624387951,0.0,0.1207127375612048,0.8792872624387951,0.0,3169.028896659999,382.5421535263933,2786.486743133606,0.0,B2 hedge only
