underlying,spot_net_usd,shared_b1b2,b1_net_exp_usd,b2_net_exp_usd,b1_share,b2_share,b1b2_model_determined_usd,ledger_b2_spot_usd,b4_short_plan_usd,b4_short_etf_implied_usd,b4_short_chosen,b4_short_spread_usd,spot_pnl_total,spot_pnl_model_determined
FCX,1515.01,False,1515.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,296.99,0.0
GOOGL,1170.39,False,1170.39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,5258.34,0.0
UNH,1147.59,False,1147.59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,2453.57,0.0
NET,1140.55,False,1140.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,55.91,0.0
AMZN,1096.0,False,1003.77,0.0,0.9159,0.0,0.0,0.0,0.0,0.0,none,0.0,2872.84,0.0
NOW,1087.3,False,1087.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-183.06,0.0
KWEB,1066.4,False,1066.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-594.98,0.0
EWW,1024.53,False,1024.53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,49.07,0.0
XOP,824.8,False,824.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,1202.93,0.0
NFLX,777.24,False,777.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,736.95,0.0
CRWD,671.0,False,623.75,0.0,0.9296,0.0,0.0,0.0,0.0,0.0,none,0.0,209.19,0.0
PYPL,666.9,False,666.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-1415.98,0.0
AAPL,625.02,False,625.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,3183.43,0.0
CMG,615.98,False,615.98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-1372.36,0.0
APH,443.04,False,443.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,168.67,0.0
UPS,106.67,False,106.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-135.51,0.0
SBUX,100.75,False,100.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,18.87,0.0
DKNG,1152.91,False,1152.4,0.0,0.9996,0.0,0.0,0.0,0.0,0.0,none,0.0,-456.66,0.0
ADBE,1207.2,False,1207.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-303.55,0.0
SPY,1509.2,False,1509.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,160.16,0.0
QCOM,1216.45,False,1216.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,3297.03,0.0
RBLX,1498.56,False,1498.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-3948.31,0.0
IWM,1460.15,False,1460.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,119.71,0.0
CEG,1431.55,False,1431.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-773.82,0.0
XYZ,1412.65,False,1412.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-832.22,0.0
CRM,1409.36,False,1409.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-2248.75,0.0
NVO,1365.3,False,1365.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,808.7,0.0
SOUN,2790.56,False,2790.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,177.12,0.0
XPEV,1315.2,False,1308.86,0.0,0.9952,0.0,0.0,0.0,0.0,0.0,none,0.0,9.98,0.0
TTD,1311.3,False,1311.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-147.53,0.0
MSFT,1280.97,False,1280.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-2380.83,0.0
UBER,1276.56,False,1276.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-339.15,0.0
NIO,1259.85,False,1259.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-270.15,0.0
FXI,1259.64,False,1259.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-104.34,0.0
ETOR,1238.14,False,1238.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,859.77,0.0
ALB,1234.24,False,1234.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-225.1,0.0
MP,2740.03,False,2740.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,375.46,0.0
COHR,3769.5,False,3769.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,191.71,0.0
SNAP,2819.07,False,2819.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,116.72,0.0
PLTR,6593.64,False,6593.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-3505.58,0.0
ETHA,12744.41,False,12031.02,0.0,0.944,0.0,0.0,0.0,0.0,0.0,none,0.0,-4557.81,0.0
CRDO,12451.6,False,12273.92,0.0,0.9857,0.0,0.0,0.0,0.0,0.0,none,0.0,7916.82,0.0
USAR,12347.22,False,12347.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,6620.35,0.0
HUT,11554.32,False,11554.32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,10996.56,0.0
WULF,11323.45,False,11117.29,0.0,0.9818,0.0,0.0,0.0,0.0,0.0,none,0.0,6895.08,0.0
UUUU,11193.08,False,11193.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-1189.87,0.0
QUBT,10452.96,False,10392.18,0.0,0.9942,0.0,0.0,0.0,0.0,0.0,none,0.0,9510.96,0.0
RDW,10385.9,False,10385.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,10959.5,0.0
OPEN,9906.78,False,9906.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-3437.95,0.0
PL,9868.8,False,9868.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,1582.2,0.0
TSUI,9357.5,False,8894.03,0.0,0.9505,0.0,0.0,0.0,0.0,0.0,none,0.0,-2663.48,0.0
GEMI,8465.6,False,8465.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-104.93,0.0
BBAI,8215.22,False,8215.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,3246.48,0.0
SBET,7229.12,False,6712.27,0.0,0.9285,0.0,0.0,0.0,0.0,0.0,none,0.0,-621.03,0.0
FIGR,6702.89,False,6702.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,2191.44,0.0
XRPZ,13037.64,False,12586.52,0.0,0.9654,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0
RGTI,13596.09,False,13425.84,0.0,0.9875,0.0,0.0,0.0,0.0,0.0,none,0.0,5789.43,0.0
GLXY,14130.97,False,13914.32,0.0,0.9847,0.0,0.0,0.0,0.0,0.0,none,0.0,2964.4,0.0
FLY,23598.86,False,21098.59,0.0,0.8941,0.0,0.0,0.0,0.0,0.0,none,0.0,5576.68,0.0
AAOI,52058.16,False,50229.87,0.0,0.9649,0.0,0.0,0.0,0.0,0.0,none,0.0,9780.92,0.0
NVTS,32815.01,False,32064.4,0.0,0.9771,0.0,0.0,0.0,0.0,0.0,none,0.0,41648.85,0.0
CRCL,28683.6,False,28683.6,0.0,1.0,0.0,0.0,0.0,0.0,-4617.47,etf_implied,0.0,3538.95,0.0
SNDK,27907.88,False,26969.61,0.0,0.9664,0.0,0.0,0.0,0.0,0.0,none,0.0,13418.3,0.0
LUNR,25454.9,False,25454.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,4288.97,0.0
ONDS,24035.5,False,24035.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,6242.87,0.0
BMNR,23157.75,False,23157.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-918.92,0.0
ALAB,14315.97,False,14235.97,0.0,0.9944,0.0,0.0,0.0,0.0,0.0,none,0.0,15432.9,0.0
KEEL,18871.96,False,18871.96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0
EOSE,17773.23,False,17540.83,0.0,0.9869,0.0,0.0,0.0,0.0,0.0,none,0.0,9490.35,0.0
