underlying,sector,sector_source,sector_confidence,instrument_class,beta_to_spy,beta_source,net_notional_usd,gross_notional_usd
CVNA,consumer,override,1.0,letf,2.2688610429216594,computed,-66.46390697400034,3593.983906974
ARKK,broad,override,1.0,letf,2.3208497629919997,computed,-67.61230981440008,3470.0323098144
SPOT,software,override,1.0,letf,0.726512380711624,computed,-69.66325144499956,3169.923251445
TSLA,mega-cap-tech,override,1.0,letf,2.0706972162349766,computed,-72.06333953999913,10682.46333954
CNC,healthcare,override,1.0,letf,0.2841728112790892,computed,-76.71810894400005,6203.358108944
UNH,healthcare,override,1.0,letf,0.6671613451532686,computed,-76.78713330960021,2371.9671333096
NIO,china,override,1.0,letf,1.252167674573161,computed,-79.0667018304,2598.7667018304
NEM,metals,override,1.0,letf,1.2516252461582018,computed,-81.18845317500018,3328.0884531750003
UEC,nuclear,override,1.0,letf,2.459107598075272,computed,-88.35276574559975,9166.8527657456
FCX,metals,override,1.0,letf,2.065762873112723,computed,-88.42186374800008,3118.4418637480003
AVGO,semis,override,1.0,letf,2.0660972547221355,computed,-92.0413621480002,6064.161362148
QS,clean,override,1.0,letf,2.998042944147914,computed,-93.16123299999936,6867.621233
UPS,industrials,override,1.0,letf,0.8340687065720251,computed,-93.2319599812,306.5719599812
LMND,insurtech,override,1.0,letf,2.8383473310852163,computed,-97.26144629879992,4856.541446298799
MP,metals,override,1.0,letf,1.6701984418603968,computed,-100.15772016999996,5580.21772017
XYZ,fintech,override,1.0,letf,2.08484889632305,computed,-102.96459621949998,2928.2645962195
ARM,semis,override,1.0,letf,2.7807054554978343,computed,-108.25287408000077,8154.73287408
MSFT,mega-cap-tech,override,1.0,letf,0.8464974091114678,computed,-108.39533726000002,2670.33533726
COPX,metals,override,1.0,letf,2.0630978972360996,computed,-108.54337440000018,3999.9033744
NFLX,mega-cap-tech,override,1.0,letf,0.37667337465742534,computed,-109.00293244000008,1663.48293244
ETOR,fintech,override,1.0,letf,1.9789682986234562,computed,-112.62003253400007,2588.900032534
PLUG,clean,override,1.0,letf,2.789208838009692,computed,-122.47372068159984,9804.4737206816
NET,software,override,1.0,letf,1.4320611320240575,computed,-122.67721615999972,2403.77721616
MRNA,healthcare,override,1.0,letf,1.7908218565981124,computed,-125.72300046899954,5168.143000468999
BABA,china,override,1.0,letf,1.3058274273553276,computed,-130.14626132000558,59425.34626132
ANET,semis,override,1.0,letf,2.055643696523309,computed,-131.09670159999973,3236.4967016
LAC,metals,override,1.0,letf,1.879792382410899,computed,-134.3523047304002,6582.1523047304
FIGR,software,override,1.0,letf,2.953183949763498,computed,-140.07138100000066,13545.851381
CRM,mega-cap-tech,override,1.0,letf,0.6346666188681725,computed,-142.35244239999997,2961.0724424
LEU,nuclear,override,1.0,letf,2.8702404568449524,computed,-144.34568807999972,4224.46568808
LLY,healthcare,override,1.0,letf,0.5651554749773532,computed,-149.42844542999998,149.42844542999998
UUUU,nuclear,override,1.0,letf,2.378786722022168,computed,-153.29968030760028,22539.4596803076
GOOGL,mega-cap-tech,override,1.0,letf,1.3267189508360624,computed,-157.1265736800001,2497.90657368
ALB,metals,override,1.0,letf,1.548196929150066,computed,-157.70662546159997,2626.1866254616
TSM,semis,override,1.0,letf,1.964847546425942,computed,-161.7183616799996,8658.91836168
QCOM,semis,override,1.0,letf,1.7360794361826797,computed,-164.83287199999995,2597.732872
SOUN,software,override,1.0,letf,3.101898001035833,computed,-166.13837104449976,5747.2583710445
XOP,energy,override,1.0,letf,-0.12452650056958765,computed,-167.35323284000015,1816.9532328400005
UPST,fintech,override,1.0,letf,2.870864072379064,computed,-169.03562444,8733.815624439998
URA,nuclear,override,1.0,letf,2.2341549868282446,computed,-171.3339622399999,4231.33396224
PANW,software,override,1.0,letf,1.0407073627780208,computed,-175.66938690000006,3784.4493869
SATS,satellite,override,1.0,letf,1.6450697013574287,computed,-176.10652440000035,3321.7865244000004
KTOS,drones,override,1.0,letf,2.010037230368075,computed,-178.6764137500004,5002.73641375
DNN,nuclear,override,1.0,letf,1.818851680098132,computed,-181.6631926788,3823.5431926788
SPY,broad,override,1.0,letf,1.0,computed,-182.81964070000004,3201.2196407
NVDA,semis,override,1.0,letf,1.798786085970711,computed,-184.82943150720007,4898.3294315072
U,software,override,1.0,letf,2.4371528014375503,computed,-188.3964175680003,10966.796417568
CMG,consumer,override,1.0,letf,1.1039296381493693,computed,-193.38346653120004,1425.3434665312002
CEG,nuclear,override,1.0,letf,1.5261286533883611,computed,-194.9188715,3058.0188715
VRT,hardware,override,1.0,letf,2.45444386877428,computed,-196.73369863999983,3338.53369864
INTC,semis,override,1.0,letf,2.3811286346976837,computed,-203.3129669099995,9874.51296691
ONDS,drones,override,1.0,letf,3.383837613889039,computed,-207.8402999900009,48278.84029999
AVAV,drones,override,1.0,letf,1.769413999565582,computed,-224.26333419999992,10086.2033342
APH,semis,override,1.0,letf,1.691418903622336,computed,-225.90039765,1111.98039765
RBLX,software,override,1.0,letf,1.515412345541248,computed,-229.75477632,3226.87477632
KEEL,industrials,override,1.0,letf,4.29299069673246,computed,-233.9175831840039,37977.837583184
FXI,china,override,1.0,letf,0.9203653811370223,computed,-236.12603988,2755.40603988
USAR,industrials,override,1.0,letf,2.9768994838075162,computed,-236.98837782239931,24931.4283778224
NOW,software,override,1.0,letf,0.7214108569868651,computed,-239.83557703999983,2414.43557704
PAAS,metals,override,1.0,letf,1.5164253209915233,computed,-245.2640348269997,6092.224034827
IWM,broad,override,1.0,letf,1.3336297367355487,computed,-249.3903325000001,3169.6903325
FIG,software,override,1.0,letf,1.4689706971743244,computed,-256.47730629000034,11939.55730629
DELL,hardware,override,1.0,letf,1.9054224164718498,computed,-258.35932109999976,4062.9593211
BLSH,crypto-equity,override,1.0,letf,2.684812976105307,computed,-276.85284595199937,9590.052845952
PLTR,software,override,1.0,letf,1.8319699313904414,computed,-277.98829253999975,13465.26829254
GDX,metals,override,1.0,letf,1.4328380745501885,computed,-285.02279897999983,7956.86279898
SNOW,software,override,1.0,letf,1.3789922094503326,computed,-301.8743162400005,8913.07431624
PL,space,override,1.0,letf,1.9869471138713932,computed,-302.2367567199999,20039.83675672
TER,semis,override,1.0,letf,2.802485177623097,computed,-313.98132536160006,3375.1813253616
SHOP,software,override,1.0,letf,2.3279599125943333,computed,-324.30861336,5155.56861336
MRVL,semis,override,1.0,letf,2.3638402337056403,computed,-352.92652095999983,4449.52652096
RIOT,crypto-equity,override,1.0,letf,4.2303913755854525,computed,-355.92127249999976,57222.9212725
EWY,intl,override,1.0,letf,2.189156523949441,computed,-359.93346336000104,12744.53346336
RDDT,software,override,1.0,letf,1.789152407826313,computed,-410.30147343,8459.42147343
CRCL,software,override,1.0,letf,2.871061718241871,computed,-450.9471867799985,70143.30026702
OPEN,consumer,override,1.0,letf,2.9169798407889376,computed,-451.434129145,20264.994129145
RDW,space,override,1.0,letf,3.6724520847911597,computed,-547.8308185599999,21319.63081856
BMNR,crypto-equity,override,1.0,letf,5.117717466447218,computed,-583.9939283100011,46899.49392831
BBAI,software,override,1.0,letf,3.4047116445070857,computed,-657.1810639615978,17087.6210639616
RCAT,drones,override,1.0,letf,3.5073521925936713,computed,-684.4686873600003,109016.86868736
IBIT,crypto,override,1.0,letf,1.9043863685596663,computed,-684.5777042599948,73580.81770426
GEV,industrials,override,1.0,letf,1.9329436753111122,computed,-771.12541687,4755.12541687
QQQ,broad,override,1.0,letf,1.279885835441092,computed,-790.3495279650001,3732.749527965
ASTS,space,override,1.0,letf,3.0985235269432163,computed,-1105.7489660999963,42595.658354900006
LUNR,space,override,1.0,letf,3.4550186627214363,computed,-1599.7984557499983,52509.598455750005
