symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,4459.4648604,4459.4648604,1
SVIX,SVIX,volatility_etp_bucket5,-3449.16,3449.16,1
