symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,19969.014166212997,19969.014166212997,1
SVIX,SVIX,volatility_etp_bucket5,-22581.96,22581.96,1
