symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,17376.22377504,17376.22377504,1
DUST,flow_program,15954.9810816,15954.9810816,1
ZSL,flow_program,14065.07682294,14065.07682294,1
SDS,flow_program,10430.102946120001,10430.102946120001,1
FAZ,flow_program,8601.25960852,8601.25960852,1
SQQQ,flow_program,7926.8341236,7926.8341236,1
TSLQ,flow_program,7442.86163652,7442.86163652,1
NVDQ,flow_program,5784.10392924,5784.10392924,1
LABD,flow_program,5089.21883466,5089.21883466,1
EWV,flow_program,3103.02859545,3103.02859545,1
SOXS,flow_program,1502.33231232,1502.33231232,1
TSYY,flow_program,-64.42140768,64.42140768,1
NVYY,flow_program,-91.670490795,91.670490795,1
TQQY,flow_program,-455.7499128,455.7499128,1
