underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
GDX,"GDX, GDXU, NUGT",-170.39822705,3201.014729,0.0,0.0,-10.84,-22.15,24.997127287163735,0.0,0.0,3022.623629237164
IBIT,"BITU, BITX, BTCL, IBIT",51.93918404250951,1888.5460638710585,-0.19,0.0,-28.71,-109.54,38.46915958677171,0.0,0.0,1840.5144075003398
BLSH,"BLSG, BLSH",1753.26777316,-50.66996499999996,0.0,0.0,0.0,-40.47,11.464729710595321,0.0,0.0,1673.5925378705952
SLV,SLV,950.869985,0.0,0.0,0.0,0.0,-0.5800000000000001,0.0,0.0,0.0,950.289985
CRWV,"CRWG, CRWV, CWVX",181.83653006,732.397751,0.0,0.0,0.0,-52.550000000000004,14.539970291284707,0.0,0.0,876.2242513512847
META,"FBL, META, METU",140.93138948464525,572.882409,0.0,0.0,0.0,-27.75,10.075863782013483,0.0,0.0,696.1396622666588
SOXX,"SOXL, SOXX",933.2817249,-263.34753700000005,0.0,0.0,4.16,-2.04,7.9316530727781975,0.0,0.0,679.9858409727781
TSM,"TSM, TSMG, TSMU",328.43494075,323.93008799999996,0.0,0.0,0.0,-57.17,21.991051267808377,0.0,0.0,617.1860800178083
RCAT,"RCAT, RCAX",0.0,594.4926,0.0,0.0,0.0,-45.67,12.704308401497274,0.0,0.0,561.5269084014972
NVDA,"NVDA, NVDB, NVDG, NVDL, NVDU",-29.632190480000002,717.1109260000001,1.44,0.0,-44.92,-147.85,47.97192215175744,0.0,0.0,544.1206576717576
XRPZ,"GXRP, UXRP, XXRP",-1439.7644517400004,2004.0268380000002,0.0,0.0,-11.16,-55.709999999999994,24.00565015783888,0.0,0.0,521.3980364178387
XOM,"XOM, XOMX",-4.56948121,509.639635,38.11,0.0,-15.55,-36.6,12.969352684539052,0.0,0.0,503.999506474539
ENPH,"ENPH, ENPX",436.15916215,-0.5041519999999995,0.0,0.0,0.0,-14.26,1.0910566083849864,0.0,0.0,422.486066758385
ARM,"ARM, ARMG",411.89545225,-13.957667,0.0,0.0,0.0,-2.54,2.626094500054822,0.0,0.0,398.02387975005485
IREN,"IREG, IREN",0.0,450.2422100000001,0.0,0.0,0.0,-68.85,11.095952249037557,0.0,0.0,392.4881622490377
CRML,"CRML, CRMU",0.0,447.38169800000014,0.0,0.0,0.0,-80.88,25.86183460217466,0.0,0.0,392.3635326021745
EWJ,EWJ,388.675936,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,388.275936
VRT,"VRT, VRTL",-205.89726944,602.9192070000004,2.06,0.0,0.0,-30.18,13.393303298737436,0.0,0.0,382.295240858738
SRPT,"SRPT, SRPU",0.0,354.16559499999994,0.0,0.0,0.0,-51.35,13.266014271991525,0.0,0.0,316.0816092719915
MU,"MU, MUU",23.55845,314.634588,0.0,0.0,-14.21,-25.21,11.724636523257487,0.0,0.0,310.4976745232575
MRNA,"MRNA, MRNX",18.78210107999999,303.81446100000005,0.0,0.0,0.0,-40.08,10.858945437322808,0.0,0.0,293.37550751732283
MRVL,"MRVL, MRVU",0.0,321.5232139999998,0.0,0.0,-9.19,-45.79,23.08937685024111,0.0,0.0,289.63259085024083
AVGO,"AVGG, AVGO, AVL",0.0,306.5483760000001,34.45,0.0,-30.49,-73.14,28.389743298644667,0.0,0.0,265.7581192986447
NFLX,"NFLU, NFLX, NFXL",-1850.47729995,2151.06643,0.0,0.0,0.0,-86.26,41.4019993262475,0.0,0.0,255.73112937624683
ALAB,"ALAB, LABX",2.4e-07,277.4257070000001,0.0,0.0,0.0,-36.36,14.36846622691001,0.0,0.0,255.43417346691012
WULF,"WULF, WULX",0.0,281.54156999999987,0.0,0.0,0.0,-54.59,16.825160839288166,0.0,0.0,243.77673083928812
CORZ,"CORZ, COZX",-11.887826,256.98177,0.0,0.0,0.0,-23.1,13.148098395991392,0.0,0.0,235.14204239599133
RKT,"RKT, RKTL",14.0651807,207.31022700000017,0.0,0.0,0.0,-21.94,10.371459617631887,0.0,0.0,209.80686731763194
MDB,"MDB, MDBX",0.0,240.95111199999974,0.0,0.0,0.0,-41.07,8.092144368200856,0.0,0.0,207.9732563682005
LEU,"LEU, LEUX",-39.946372,298.827949,0.0,0.0,0.0,-66.58,13.015699225835974,0.0,0.0,205.31727622583594
UEC,"UEC, UECG",-18.90443527,240.4825209999999,0.0,0.0,0.0,-27.45,11.169516452558378,0.0,0.0,205.2976021825582
BMNR,"BMNG, BMNR",0.0,285.081663,0.0,0.0,0.0,-102.38,14.539970291284707,0.0,0.0,197.2416332912847
URA,"URA, URAA",0.0,232.39462900000007,0.0,0.0,-42.69,-12.52,11.443933886345935,0.0,0.0,188.62856288634606
INTC,"INTC, INTW",-33.50780248,233.56669599999987,0.0,0.0,0.0,-33.04,19.444587558637537,0.0,0.0,186.46348107863741
LITE,"LITE, LITX",0.0,192.77196100000003,0.0,0.0,0.0,-12.09,5.686195939306416,0.0,0.0,186.36815693930646
KLAC,"KLAC, KLAG",0.0,193.96446600000002,11.4,0.0,0.0,-36.4,14.88603904068579,0.0,0.0,183.8505050406859
AAPL,"AAPB, AAPL, AAPU, AAPX",-221.54420291000002,478.770176,21.84,0.0,-22.97,-94.44,21.852093624827923,0.0,0.0,183.50806671482792
ASTS,"ASTS, ASTX",121.69252075,86.34852500000011,0.0,0.0,0.0,-53.27,16.3455998409275,0.0,0.0,171.11664559092753
APP,"APP, APPX",0.0,183.7427439999999,0.0,0.0,0.0,-21.830000000000002,3.5880311746969076,0.0,0.0,165.50077517469686
SOEZ,"SOEZ, SOLT",13.511677599999999,179.11643699999968,7.91,0.0,-18.09,-31.31,11.1171306508684,0.0,0.0,162.25524525086803
NBIS,"NBIS, NEBX",-50.607662499999996,233.70587999999998,0.0,0.0,0.0,-42.21,19.2494456651226,0.0,0.0,160.13766316512238
CIFR,"CIFG, CIFR",0.0,171.355474,0.0,0.0,0.0,-36.4,9.580617102812933,0.0,0.0,144.53609110281295
XPEV,"XPEG, XPEV",143.78664600000002,-2.288166999999998,0.0,0.0,0.0,-2.3200000000000003,2.9417210047596907,0.0,0.0,142.1202000047597
GSOL,"GSOL, SOLX",0.0,162.71790299999998,0.0,0.0,0.0,-39.29,16.757171337668627,0.0,0.0,140.18507433766854
PLUG,"PLUG, PLUL",0.0,168.43941700000005,0.0,0.0,0.0,-50.37,18.698260678118515,0.0,0.0,136.76767767811862
FIGR,"FGRU, FIGR",264.31496168,-109.110659,0.0,0.0,0.0,-36.07,17.342651672153632,0.0,0.0,136.4769543521536
HUT,"HUT, HUTG",0.0,146.51793800000007,0.0,0.0,0.0,-29.49,12.365508626143946,0.0,0.0,129.39344662614405
CRDO,"CRDO, CRDU",3.9e-07,149.36931299999998,0.0,0.0,0.0,-30.13,9.682492047361828,0.0,0.0,128.9218054373618
TER,"TER, TERG",-3.350405,186.66969100000006,3.12,0.0,0.0,-81.0,17.67087591007659,0.0,0.0,123.11016191007639
