ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.983938,499,ols,0.09114599999999999,-0.054745999999999996,0.145892,10000,0.145892,False,False,False,,True,False,False,False,False,True,False,False,False,0.563752,0.171081,0.283953,0.078697,0.171081,0.025189000000000017,0.025189000000000017,0.4959845,0.5951814,0.5,0.5951814
AMUU,AMD,2.008364,242,ols,0.044395,-0.007995,0.05239,35000,0.05239,False,False,False,,True,False,False,False,False,True,False,False,False,1.291531,0.480455,0.556509,0.313599,0.473834,0.42806500000000003,0.421444,0.502091,0.6025092,0.502091,0.6025092
AMZU,AMZN,1.986957,499,ols,0.041449,-0.0050490000000000005,0.046498,80000,0.046498,False,False,False,,True,False,False,False,False,True,False,False,False,0.632141,0.20845,0.317977,0.09914,0.20845,0.16195199999999998,0.16195199999999998,0.49673925,0.5960871,0.5,0.5960871
ASMU,ASML,1.967146,27,ols_short_history,0.050176,-0.013776,0.063952,2000,0.063952,False,False,False,,True,False,False,False,False,True,False,False,False,0.871226,,0.435522,0.180434,0.180434,,0.11648200000000002,0.4917865,0.5901438,0.5,0.5901438
AVL,AVGO,1.987881,361,ols,0.049635,-0.013234999999999999,0.06287,85000,0.06287,False,False,False,,True,False,False,False,False,True,False,False,False,1.078248,0.371749,0.534861,0.280897,0.371749,0.308879,0.308879,0.49697025,0.5963643,0.5,0.5963643
BOEU,BA,1.992984,229,ols,0.054309,-0.017908999999999998,0.072218,5000,0.072218,False,False,False,,True,False,False,False,False,True,False,False,False,0.593037,0.182998,0.3518,0.122464,0.177473,0.11077999999999999,0.10525499999999999,0.498246,0.5978952,0.5,0.5978952
BABU,BABA,2.04483,26,ols_short_history,0.046191,-0.009791,0.055982000000000004,10000,0.055982000000000004,False,False,False,,True,False,False,False,False,True,False,False,False,0.716027,,0.443781,0.210383,0.210383,,0.15440099999999998,0.5112075,0.613449,0.5112075,0.613449
BRKU,BRK-B,1.944791,318,ols,,,,0,,False,True,False,,False,False,False,False,False,True,False,True,False,0.358251,0.135445,0.172767,0.027422,0.135445,0.135445,0.135445,0.48619775,1.0,0.5,1.0
CONX,COIN,2.000148,83,ols,0.09745699999999999,-0.061057,0.158514,2000,0.158514,False,False,False,,True,False,False,False,False,True,False,False,False,1.515929,0.611233,0.789931,0.62413,0.619882,0.45271900000000004,0.46136800000000006,0.500037,0.6000443999999999,0.500037,0.6000443999999999
CSCL,CSCO,2.029556,186,ols,0.089058,-0.052657999999999996,0.141716,10000,0.141716,False,False,False,,True,False,False,False,False,True,False,False,False,0.530384,0.18447,0.236741,0.058556,0.151493,0.042753999999999986,0.00977699999999998,0.507389,0.6088667999999999,0.507389,0.6088667999999999
FRDU,F,1.978993,167,ols,0.10031599999999999,-0.063916,0.164232,100,0.164232,False,False,False,,True,False,False,False,False,True,False,True,False,0.628273,0.214038,0.347798,0.117179,0.181367,0.04980600000000002,0.01713500000000001,0.49474825,0.5936979,0.5,0.5936979
GGLL,GOOGL,1.991973,499,ols,0.047958,-0.011557999999999999,0.059516,40000,0.059516,False,False,False,,True,False,False,False,False,True,False,False,False,0.59088,0.193435,0.296475,0.086842,0.193435,0.133919,0.133919,0.49799325,0.5975919,0.5,0.5975919
HODU,HOOD,2.007919,83,ols,0.095572,-0.059172,0.154744,15000,0.154744,False,False,False,,True,False,False,False,False,True,False,False,False,1.42627,0.617776,0.704171,0.501762,0.539973,0.463032,0.38522900000000004,0.50197975,0.6023757,0.50197975,0.6023757
LINT,INTC,1.987111,83,ols,0.193681,-0.157281,0.350962,25000,0.350962,False,False,False,,False,True,False,False,True,False,True,False,False,1.413541,0.545834,0.621266,0.378541,0.433641,0.19487200000000005,0.082679,0.49677775,0.5961333,0.5,0.5961333
ELIL,LLY,1.990792,247,ols,0.088255,-0.051855000000000005,0.14011,7000,0.14011,False,False,False,,True,False,False,False,False,True,False,False,False,0.848974,0.285775,0.373649,0.137691,0.282837,0.145665,0.142727,0.497698,0.5972375999999999,0.5,0.5972375999999999
LMTL,LMT,1.983905,157,ols,0.11527,-0.07887,0.19413999999999998,10000,0.19413999999999998,False,False,False,,True,False,False,False,False,True,False,False,False,0.474655,0.149321,0.24144,0.056893,0.114477,-0.04481899999999997,-0.07966299999999998,0.49597625,0.5951715,0.5,0.5951715
METU,META,1.998839,448,ols,0.081284,-0.04488400000000001,0.126168,30000,0.126168,False,False,False,,True,False,False,False,False,True,False,False,False,0.706447,0.232069,0.352916,0.124333,0.232069,0.105901,0.105901,0.49970975,0.5996517,0.5,0.5996517
MRVU,MRVL,2.028796,26,ols_short_history,0.051603,-0.015203,0.066806,10000,0.066806,False,False,False,,True,False,False,False,False,True,False,False,False,1.383886,,0.632428,0.417407,0.417407,,0.35060099999999994,0.507199,0.6086387999999999,0.507199,0.6086387999999999
MSFU,MSFT,1.990965,499,ols,0.03476,0.00164,0.03312,100000,0.03312,False,False,False,,True,False,False,False,False,True,False,False,False,0.47755,0.161359,0.239624,0.056644,0.161359,0.128239,0.128239,0.49774125,0.5972895,0.5,0.5972895
