ETF,Underlying,Leverage,is_yieldboost,scenario_style,Delta_product_class,Delta,Delta_n_obs,Delta_source,Delta_se,Delta_resid_sigma_annual,Delta_horizon_chosen,Delta_quality,Delta_prior_mu,Delta_prior_tau,Delta_prior_source
AAPU,AAPL,2.0,False,,letf_long,1.997311,500,posterior.nominal_L,0.012202944796020493,0.026801903168744274,1,ok,2.0,240.0,nominal_L
AMUU,AMD,2.0,False,,letf_long,1.986484,298,posterior.nominal_L,0.014094833835785326,0.08463363978145724,1,ok,2.0,240.0,nominal_L
AMZU,AMZN,2.0,False,,letf_long,1.99637,500,posterior.nominal_L,0.006616262188206791,0.02575441379039413,1,ok,2.0,240.0,nominal_L
ASMU,ASML,2.0,False,,letf_long,1.994008,83,posterior.nominal_L,0.010990910882446367,0.09174047249086784,1,ok,2.0,240.0,nominal_L
AVL,AVGO,2.0,False,,letf_long,1.995222,417,posterior.nominal_L,0.0189254298579264,0.07248308189148528,1,ok,2.0,240.0,nominal_L
BOEU,BA,2.0,False,,letf_long,1.995231,285,posterior.nominal_L,0.009902663787160319,0.05165699032836136,1,ok,2.0,240.0,nominal_L
BABU,BABA,2.0,False,,letf_long,2.007437,82,posterior.nominal_L,0.013019756445896067,0.0684341036531386,1,ok,2.0,240.0,nominal_L
BRKU,BRK-B,2.0,False,,letf_long,1.981613,374,posterior.nominal_L,0.009146895903180127,0.036328186096476436,1,ok,2.0,240.0,nominal_L
CONX,COIN,2.0,False,,letf_long,2.002987,139,posterior.nominal_L,0.009716283656541327,0.07923062902603334,1,ok,2.0,240.0,nominal_L
CSCL,CSCO,2.0,False,,letf_long,1.999516,242,posterior.nominal_L,0.030603324685629988,0.05785076377575405,1,ok,2.0,240.0,nominal_L
GGLL,GOOGL,2.0,False,,letf_long,1.996554,500,posterior.nominal_L,0.008767311800672438,0.026504496031229775,1,ok,2.0,240.0,nominal_L
HODU,HOOD,2.0,False,,letf_long,2.001928,139,posterior.nominal_L,0.009688124653189988,0.07526799182840616,1,ok,2.0,240.0,nominal_L
LINT,INTC,2.0,False,,letf_long,1.990033,139,posterior.nominal_L,0.013873128345295624,0.10945136801524148,1,ok,2.0,240.0,nominal_L
ELIL,LLY,2.0,False,,letf_long,1.98823,303,posterior.nominal_L,0.012613112369491385,0.059525123374238785,1,ok,2.0,240.0,nominal_L
LMTL,LMT,2.0,False,,letf_long,1.998152,213,posterior.nominal_L,0.008606161241877642,0.04989078500227457,1,ok,2.0,240.0,nominal_L
METU,META,2.0,False,,letf_long,2.001548,500,posterior.nominal_L,0.009335614235821814,0.0361521047386832,1,ok,2.0,240.0,nominal_L
MRVU,MRVL,2.0,False,,letf_long,1.99188,82,posterior.nominal_L,0.02306281101270679,0.16771263855148985,1,ok,2.0,240.0,nominal_L
MSFU,MSFT,2.0,False,,letf_long,2.000163,500,posterior.nominal_L,0.010309029580271462,0.027779673184570485,1,ok,2.0,240.0,nominal_L
MUU,MU,2.0,False,,letf_long,1.98806,417,posterior.nominal_L,0.012592530455117927,0.09561399504559943,1,ok,2.0,240.0,nominal_L
NFXL,NFLX,2.0,False,,letf_long,2.000307,422,posterior.nominal_L,0.012489342648421395,0.042092870565945746,1,ok,2.0,240.0,nominal_L
NVDU,NVDA,2.0,False,,letf_long,1.996653,500,posterior.nominal_L,0.010463986339104267,0.05322891108169128,1,ok,2.0,240.0,nominal_L
ORCU,ORCL,2.0,False,,letf_long,2.000546,139,posterior.nominal_L,0.01670524845091842,0.1024533602287659,1,ok,2.0,240.0,nominal_L
PALU,PANW,2.0,False,,letf_long,1.998055,303,posterior.nominal_L,0.006596385131623561,0.041614005710813314,1,ok,2.0,240.0,nominal_L
PLTU,PLTR,2.0,False,,letf_long,1.997754,374,posterior.nominal_L,0.010129009951293252,0.06551557191247621,1,ok,2.0,240.0,nominal_L
QCMU,QCOM,2.0,False,,letf_long,2.005017,242,posterior.nominal_L,0.012223130237918182,0.10311611436419343,1,ok,2.0,240.0,nominal_L
SHPU,SHOP,2.0,False,,letf_long,2.006237,213,posterior.nominal_L,0.018189980783387672,0.07077126486559344,1,ok,2.0,240.0,nominal_L
SOFA,SOFI,2.0,False,,letf_long,2.001231,83,posterior.nominal_L,0.022239493306328448,0.08475151657169523,1,ok,2.0,240.0,nominal_L
TSLL,TSLA,2.0,False,,letf_long,1.995292,500,posterior.nominal_L,0.009498997896495272,0.05946030273307129,1,ok,2.0,240.0,nominal_L
TSMX,TSM,2.0,False,,letf_long,1.997523,422,posterior.nominal_L,0.006434227372653017,0.042673760234023646,1,ok,2.0,240.0,nominal_L
XOMX,XOM,2.0,False,,letf_long,2.004037,285,posterior.nominal_L,0.012477357429996295,0.06027029125402519,1,ok,2.0,240.0,nominal_L
YINN,FXI,3.0,False,,letf_long,2.987628,500,posterior.nominal_L,0.02701464526819696,0.08140812540410824,1,ok,3.0,540.0,nominal_L
MEXX,EWW,3.0,False,,letf_long,2.985844,500,posterior.nominal_L,0.00988902749402544,0.06431038926314045,1,ok,3.0,540.0,nominal_L
KORU,EWY,3.0,False,,letf_long,2.981293,500,posterior.nominal_L,0.04393291239573996,0.15719735315203606,1,ok,3.0,540.0,nominal_L
HIBL,SPHB,3.0,False,,letf_long,2.999073,500,posterior.nominal_L,0.018227539393528593,0.06543509755502669,1,ok,3.0,540.0,nominal_L
LABU,XBI,3.0,False,,letf_long,2.994724,500,posterior.nominal_L,0.007920324690321718,0.044454538763930566,1,ok,3.0,540.0,nominal_L
SOXL,SOXX,3.0,False,,letf_long,2.98807,500,posterior.nominal_L,0.015841010246781403,0.10685642793736981,1,ok,3.0,540.0,nominal_L
CHAU,ASHR,2.0,False,,letf_long,1.987475,500,posterior.nominal_L,0.010137146009837474,0.031667709226128646,1,ok,2.0,240.0,nominal_L
CWEB,KWEB,2.0,False,,letf_long,1.99683,500,posterior.nominal_L,0.006105735254100429,0.03432388509130887,1,ok,2.0,240.0,nominal_L
ERX,XLE,2.0,False,,letf_long,2.001352,500,posterior.nominal_L,0.003881078791167522,0.02445095090061875,1,ok,2.0,240.0,nominal_L
NUGT,GDX,2.0,False,,letf_long,1.991102,500,posterior.nominal_L,0.008546060186865018,0.046652623479906764,1,ok,2.0,240.0,nominal_L
JNUG,GDXJ,2.0,False,,letf_long,1.996783,500,posterior.nominal_L,0.009177688424916626,0.06630434753746256,1,ok,2.0,240.0,nominal_L
GUSH,XOP,2.0,False,,letf_long,2.006195,500,posterior.nominal_L,0.006992487627289967,0.029156000959180653,1,ok,2.0,240.0,nominal_L
URAA,URA,2.0,False,,letf_long,1.951143,491,posterior.nominal_L,0.01264034582651276,0.12346449090876685,1,ok,2.0,240.0,nominal_L
TQQQ,QQQ,3.0,False,,letf_long,2.991939,500,posterior.nominal_L,0.01462259817773812,0.03381025897383761,1,ok,3.0,540.0,nominal_L
SPXL,SPY,3.0,False,,letf_long,2.991663,500,posterior.nominal_L,0.04044373004595446,0.04215292298988841,1,ok,3.0,540.0,nominal_L
URTY,IWM,3.0,False,,letf_long,2.99653,500,posterior.nominal_L,0.007792527143942931,0.030275494477340868,1,ok,3.0,540.0,nominal_L
MSTU,MSTR,2.0,False,,letf_long,1.990494,433,posterior.nominal_L,0.00887169690712015,0.12586896559407335,1,ok,2.0,240.0,nominal_L
NVDX,NVDA,2.0,False,,letf_long,2.00182,500,posterior.nominal_L,0.011040350216166719,0.06086658003168789,1,ok,2.0,240.0,nominal_L
TSLT,TSLA,2.0,False,,letf_long,1.994419,500,posterior.nominal_L,0.009260961437150082,0.06541340421290512,1,ok,2.0,240.0,nominal_L
