symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
DUST,flow_program,15025.018795679998,15025.018795679998,1
ZSL,flow_program,13621.774724999997,13621.774724999997,1
SQQQ,flow_program,11298.800369999999,11298.800369999999,1
SOXS,flow_program,10958.1715737,10958.1715737,1
FAZ,flow_program,10783.77755625,10783.77755625,1
LABD,flow_program,10124.8014504,10124.8014504,1
SDS,flow_program,9632.0518398,9632.0518398,1
TSLQ,flow_program,9543.02429184,9543.02429184,1
NVDQ,flow_program,9299.705845559998,9299.705845559998,1
EWV,flow_program,472.2758081999999,472.2758081999999,1
TSYY,flow_program,-23.382233020799998,23.382233020799998,1
NVYY,flow_program,-28.9698183,28.9698183,1
TQQY,flow_program,-137.54072765520002,137.54072765520002,1
