underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
MSTR,"MSTR, MSTW, MTYY",637.4296327979623,5472.70555293211,0.0,0.0,-4754.61,-336.21,61.309681818825986,0.0,0.0,1080.6248675488978
META,"FBYY, META, METW",315.0707149155714,779.8981296560978,6.452411950732473,0.0,-615.7,-79.58999999999999,13.661520946408256,0.0,0.0,419.79277746880985
COIN,"COIN, COIW",2079.4719818913854,-1554.011461289445,0.0,0.0,-136.06,-13.67,0.0,0.0,0.0,375.7305206019407
PLTR,"PLTR, PLTW",84.77056708821274,500.8413909229953,0.0,0.0,-327.26,-7.75,4.141432947744918,0.0,0.0,254.743390958953
MSFT,"MSFT, MSFW",38.27551575,321.16745117508935,8.742842772472136,0.0,-169.24,-10.82,4.061849249889667,0.0,0.0,192.18765894745138
MARA,"MAAY, MARA",-6.86933126,2490.6892504968214,0.0,0.0,-2274.27,-149.28,25.745641657004224,0.0,0.0,86.01556089382575
ARM,"ARM, ARMW",173.84355602000002,0.0,0.0,0.0,-140.34,-15.81,0.0,0.0,0.0,17.693556020000017
SPY,"JEPI, SPY, SPYI, XYLD, XYLG",4.239159799999991,0.0,-0.34,0.0,-64.38,-26.71,0.0,0.0,0.0,-87.19084020000001
NFLX,"NFLW, NFLX",506.87144053941904,-350.2886230788745,0.0,0.0,-286.55,-23.0,7.056396760155581,0.0,0.0,-145.91078577929983
AMZN,"AMZN, AMZW",819.7275258958977,-1056.1298822263848,0.0,0.0,-99.67,-9.91,0.0,0.0,0.0,-345.98235633048705
QQQ,"JEPQ, QQQ, QQQX, QYLD, QYLG",-399.36648267000004,0.0,0.0,0.0,-59.99,-18.28,0.0,0.0,0.0,-477.6364826700001
HOOD,"HOOD, HOOW",-35.1744957,-750.121884481423,0.0,0.0,-428.71,-9.47,5.14640268143559,0.0,0.0,-1218.3299774999875
TSLA,"TSLA, TSLW",635.0262614679199,-2513.946006490141,0.0,0.0,-192.4,-28.3,0.0,0.0,0.0,-2099.6197450222207
IBIT,"IBIT, XBTY",7.886771313458769,-2265.8516922196313,-0.15,0.0,-1086.78,-40.21,16.111334548386786,0.0,0.0,-3368.9935863577857
