underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
NVDA,NVDA,31165.68,31165.68,1
PLTR,"PLTR, PLTW",30779.175801499998,36803.304198499995,2
IBIT,"IBIT, XBTY",27516.319897376397,39098.800102623594,2
AMD,AMD,25675.02,25675.02,1
MSFT,"MSFT, MSFW",24560.952527700003,30334.547472300004,2
SMR,SMR,24090.08,24090.08,1
NFLX,"NFLW, NFLX",23737.2452866748,33747.874713325196,2
ETHA,ETHA,22695.280000000002,22695.280000000002,1
TSLA,TSLA,18233.39,18233.39,1
PANW,PANW,17825.04,17825.04,1
XRPZ,XRPZ,17782.8,17782.8,1
AMZN,AMZN,17225.82,17225.82,1
AVGO,AVGO,16398.995000000003,16398.995000000003,1
AAPL,AAPL,15679.179999999998,15679.179999999998,1
GOOGL,GOOGL,15169.68,15169.68,1
CRML,CRML,14399.34,14399.34,1
BA,BA,14382.640000000001,14382.640000000001,1
GDX,GDX,13594.35,13594.35,1
TSM,TSM,13044.400000000001,13044.400000000001,1
MRVL,MRVL,12210.0,12210.0,1
XOP,XOP,11860.48,11860.48,1
CEG,CEG,10331.65,10331.65,1
LEU,LEU,10245.43,10245.43,1
CRCL,CRCL,10220.08,10220.08,1
NBIS,NBIS,10173.119999999999,10173.119999999999,1
RCAT,RCAT,10122.0,10122.0,1
XLE,XLE,9904.720000000001,9904.720000000001,1
QBTS,QBTS,9669.0,9669.0,1
PLUG,PLUG,9535.5,9535.5,1
TER,TER,9514.88,9514.88,1
CRM,CRM,9467.64,9467.64,1
ASTS,ASTS,9401.02,9401.02,1
XOM,XOM,9264.08,9264.08,1
WULF,WULF,8964.4,8964.4,1
CSCO,CSCO,8873.279999999999,8873.279999999999,1
MRNA,MRNA,8785.48,8785.48,1
FXI,FXI,8767.43,8767.43,1
GEV,GEV,8731.2,8731.2,1
KLAC,KLAC,8706.78,8706.78,1
SOEZ,SOEZ,8628.1912,8628.1912,1
BMNR,BMNR,8469.449999999999,8469.449999999999,1
CRWV,CRWV,8447.25,8447.25,1
ALAB,ALAB,8406.77,8406.77,1
VRT,VRT,8329.2,8329.2,1
SNOW,SNOW,8278.83,8278.83,1
META,"FBYY, META",8143.862409074999,18138.057590925,2
INTC,INTC,8070.3,8070.3,1
SRPT,SRPT,7999.92,7999.92,1
ASML,ASML,7977.0,7977.0,1
IREN,IREN,7976.85,7976.85,1
CORZ,CORZ,7942.37,7942.37,1
COST,COST,7837.2,7837.2,1
UBER,UBER,7831.049999999999,7831.049999999999,1
QCOM,QCOM,7701.86,7701.86,1
SOFI,SOFI,7585.86,7585.86,1
KWEB,KWEB,7585.8,7585.8,1
UNH,UNH,7505.400000000001,7505.400000000001,1
ASHR,ASHR,7466.94,7466.94,1
NU,NU,7304.42,7304.42,1
UEC,UEC,7229.700000000001,7229.700000000001,1
MU,MU,7109.2,7109.2,1
URA,URA,7051.700000000001,7051.700000000001,1
BABA,BABA,7022.96,7022.96,1
FIG,FIG,6600.7,6600.7,1
CMG,CMG,6562.68,6562.68,1
RBLX,RBLX,6515.85,6515.85,1
RKT,RKT,6444.9,6444.9,1
TEM,TEM,6419.7300000000005,6419.7300000000005,1
COPX,COPX,6096.54,6096.54,1
HUT,HUT,6069.599999999999,6069.599999999999,1
CIFR,CIFR,5696.95,5696.95,1
GLXY,GLXY,5667.29,5667.29,1
OKLO,OKLO,5647.29,5647.29,1
CRDO,CRDO,5497.08,5497.08,1
CLSK,CLSK,5440.5,5440.5,1
LAC,LAC,5179.8,5179.8,1
COIN,COIN,4334.5,4334.5,1
RDW,RDW,4222.12,4222.12,1
UPST,UPST,3723.5099999999998,3723.5099999999998,1
OPEN,OPEN,3699.5000000000005,3699.5000000000005,1
SATS,SATS,3453.4,3453.4,1
BE,BE,3338.0000000000005,3338.0000000000005,1
UUUU,UUUU,3178.8,3178.8,1
RDDT,RDDT,2926.98,2926.98,1
PBR,PBR,2825.87,2825.87,1
DELL,DELL,2813.12,2813.12,1
ISRG,ISRG,2811.3,2811.3,1
ETOR,ETOR,2794.65,2794.65,1
LITE,LITE,2755.2,2755.2,1
APP,APP,2738.47,2738.47,1
SMCI,SMCI,2731.83,2731.83,1
OKTA,OKTA,2540.16,2540.16,1
EWW,EWW,2491.86,2491.86,1
U,U,2466.72,2466.72,1
ORLY,ORLY,2306.75,2306.75,1
VALE,VALE,2302.2999999999997,2302.2999999999997,1
FCX,FCX,2289.0299999999997,2289.0299999999997,1
EWY,EWY,2279.81,2279.81,1
PYPL,PYPL,2260.0,2260.0,1
SBUX,SBUX,2189.2799999999997,2189.2799999999997,1
WDC,WDC,2186.8,2186.8,1
NOK,NOK,2177.64,2177.64,1
ARKK,ARKK,2156.48,2156.48,1
ORCL,ORCL,2142.15,2142.15,1
XYZ,XYZ,2137.3199999999997,2137.3199999999997,1
RTX,RTX,2121.35,2121.35,1
LRCX,LRCX,2116.2,2116.2,1
DNN,DNN,2106.72,2106.72,1
ZETA,ZETA,2090.3999999999996,2090.3999999999996,1
BIDU,BIDU,2088.29,2088.29,1
SHOP,SHOP,2077.7400000000002,2077.7400000000002,1
NOW,NOW,2072.8,2072.8,1
KTOS,KTOS,2048.22,2048.22,1
UPS,UPS,2047.5,2047.5,1
AAL,AAL,2013.4800000000002,2013.4800000000002,1
BULL,BULL,1984.6499999999999,1984.6499999999999,1
APH,APH,1970.08,1970.08,1
CRWD,CRWD,1963.1,1963.1,1
ADBE,ADBE,1927.04,1927.04,1
GDXJ,GDXJ,1906.56,1906.56,1
LMT,LMT,1881.9900000000002,1881.9900000000002,1
ACHR,ACHR,1852.65,1852.65,1
OSCR,OSCR,1847.04,1847.04,1
LLY,LLY,1794.0,1794.0,1
CLS,CLS,1640.28,1640.28,1
NEM,NEM,1589.76,1589.76,1
MSTR,"MSTR, MSTW, MTYY",1533.4691258400017,35686.930874159996,3
SNAP,SNAP,1467.6599999999999,1467.6599999999999,1
MARA,"MAAY, MARA, MARO",1180.0220134240008,17112.537986576,3
HOOD,"HOOD, HOOW",890.0730726400002,8255.42692736,2
DKNG,DKNG,42.54,42.54,1
