Underlying,ETF,LevType
AAPL,AAPU,2x
AAPL,APLY,CC
ABNB,ABNY,CC
AI,AIYY,CC
AMD,AMDY,CC
AMD,AMUU,2x
AMZN,AMZU,2x
AMZN,AMZY,CC
AVGO,AVL,2x
BA,BOEU,2x
BABA,BABO,CC
BRK-B,BRKC,CC
BRK-B,BRKU,2x
BTC,BITX,2x
BULL,BULU,2x
COIN,CONY,CC
CRCL,CRCO,CC
CSCO,CSCL,2x
CVNA,CVNY,CC
DIS,DISO,CC
DKNG,DRAY,CC
ETH,ETHU,2x
F,FRDU,2x
GME,GMEU,2x
GME,GMEY,CC
GOOGL,GGLL,2x
GOOGL,GOOY,CC
HIMS,HIYY,CC
HOOD,HOOY,CC
IWM,RYLD,CC
JPM,JPMO,CC
LLY,ELIL,2x
LMT,LMTL,2x
MARA,MARO,CC
META,FBY,CC
META,METU,2x
MRNA,MRNY,CC
MSFT,MSFO,CC
MSFT,MSFU,2x
MSTR,MSTX,2x
MSTR,MSTY,CC
MU,MUU,2x
NFLX,NFLY,CC
NFLX,NFXL,2x
NVDA,NVDU,2x
NVDA,NVDY,CC
PANW,PALU,2x
PLTR,PLTU,2x
PLTR,PLTY,CC
PYPL,PYPY,CC
QCOM,QCMU,2x
QQQ,JEPQ,CC
QQQ,QQQX,CC
QQQ,QYLD,CC
QQQ,QYLG,CC
RBLX,RBLY,CC
RDDT,RDYY,CC
SHOP,SHPU,2x
SMCI,SMCY,CC
SNOW,SNOY,CC
SPY,JEPI,CC
SPY,SPYI,CC
SPY,XYLD,CC
SPY,XYLG,CC
TSLA,TSLL,2x
TSLA,TSLY,CC
TSM,TSMX,2x
TSM,TSMY,CC
XOM,XOMO,CC
XOM,XOMX,2x
XRP,XXRP,2x
XYZ,XYZY,CC
