underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
SMCI,"SMCI, SMCL",1496.1400682999995,3812.5399317,2
SMR,"SMR, SMUP",1483.0382224337955,49809.7617775662,2
LEU,"LEU, LEUX",981.2777753749979,19541.382224625002,2
META,"FBL, META",908.6336128460944,15533.766680846096,2
MSFT,"MSFL, MSFT, MSFU, MSFX",845.7798449008624,49280.60895894086,4
NBIS,"NBIS, NEBX",814.3621506000018,21102.4378494,2
CEG,"CEG, CEGX",776.6018924599994,19506.59810754,2
XRPZ,"UXRP, XRPZ, XXRP",750.8130097999983,37177.70699020001,3
KWEB,"CWEB, KWEB",715.2351696000014,14585.4848304,2
UEC,"UEC, UECG",713.1384547919997,13147.941545208,2
MU,"MU, MUU",670.8579820999994,15503.142017900002,2
BE,"BE, BEX",663.41088704,6403.08911296,2
AMZN,"AMZN, AMZU, AMZZ",646.8450182799988,34236.39498172,3
NVDA,"NVDA, NVDB, NVDG, NVDL, NVDU",589.7322062299972,63343.22779377,5
FXI,"FXI, YINN",557.8922809600008,17202.86771904,2
UNH,"UNH, UNHG",524.5272762200011,15108.79272378,2
BABA,"BABA, BABX",520.7604508500008,14102.19954915,2
GOOGL,"GGLL, GOOGL, GOOX",491.3442532800009,32131.13574672,3
ASHR,"ASHR, CHAU",481.8327252599993,15212.247274739999,2
URA,"URA, URAA",481.8154937699992,14059.484506230001,2
TSM,"TSM, TSMG, TSMU",477.0305582400015,26598.969441759997,3
MRNA,"MRNA, MRNX",474.9894933140022,16344.850506685998,2
INTC,"INTC, INTW",468.17081211999994,15639.48918788,2
EWW,"EWW, MEXX",451.6745644799994,4383.12543552,2
AAPL,"AAPB, AAPL, AAPU",443.9534011699998,30740.80659883,3
SNPS,"SNPS, SNPX",425.80012222000005,3898.99987778,2
BA,"BA, BOEG, BOEU",407.16197042709973,28957.5180295729,3
U,"U, UNX",403.7171183999999,4967.4828816,2
NEM,"NEM, NEMG",393.940023655,3335.379976345,2
BULL,"BULG, BULL",381.03495986999974,4472.30504013,2
SNAP,"SNAG, SNAP",371.22509951999973,3579.53490048,2
OSCR,"OSCG, OSCR",370.7157907290002,3438.804209271,2
UPS,"UPS, UPSG",362.36682720000044,3739.7731728,2
ACHR,"ACHR, ARCX",362.24464607999994,3701.85535392,2
RBLX,"RBLU, RBLX",346.7366694399998,13408.543330560002,2
SOFI,"SOFA, SOFI",345.1805820799982,16050.21941792,2
CRML,"CRML, CRMU",335.7085952079997,31680.051404792,2
EWY,"EWY, KORU",327.5589936000001,4757.221006399999,2
MRVL,"MRVL, MRVU",324.3870254000012,22215.6129746,2
UUUU,"UUUG, UUUU",310.9877381370002,6093.412261862999,2
CORZ,"CORZ, COZX",310.5277504000005,16368.952249599999,2
AAL,"AAL, AALG",304.49093433020016,3760.0690656698002,2
IBIT,"BITU, BITX, BTCL, IBIT",300.21780371106615,56349.20275351107,4
UPST,"UPST, UPSX",288.8584535500004,7916.6815464500005,2
GDXJ,"GDXJ, JNUG",288.30491000000006,3672.77509,2
OPEN,"OPEG, OPEN",283.1033504800007,7583.99664952,2
CRDO,"CRDO, CRDU",274.9569238799995,11706.44307612,2
FIG,"FIG, FIGG",262.4961793659995,13564.703820634,2
ETOR,"ETOR, ETRL",258.78993565439987,5311.9100643456,2
ADBE,"ADBE, ADBG",254.02900480000017,3708.2109951999996,2
PANW,"PALU, PANG, PANW",253.46132250039955,37149.9386774996,3
LAC,"LAC, LACG",246.35172481439986,10273.4482751856,2
VRT,"VRT, VRTL",245.9790381799994,16650.020961820002,2
ISRG,"ISRG, ISUL",219.1639668636003,5517.3160331364,2
LLY,"ELIL, LLY",217.07815729000004,3425.12184271,2
FCX,"FCX, FCXG",212.18428495690023,4292.8957150431,2
QCOM,"QCMU, QCOM",208.1862855499994,14937.113714449999,2
SHOP,"SHOP, SHPU",207.90565694279985,4151.694343057199,2
XYZ,"XYZ, XYZG",207.182868288,4197.057131711999,2
RTX,"RTX, RTXG",203.6922057741001,4082.3477942258996,2
KTOS,"KTOS, KTUP",201.6650007000003,4317.5949992999995,2
ASML,"ASML, ASMU",197.14949701759997,16238.2905029824,2
ZETA,"ZETA, ZETX",194.79610027700028,4396.803899723,2
RDDT,"RDDT, RDTL",193.29382230400097,6290.866177696,2
RKT,"RKT, RKTL",175.34308416959993,13000.896915830399,2
