underlying,sector,sector_source,sector_confidence,instrument_class,beta_to_spy,beta_source,net_notional_usd,gross_notional_usd
CRWV,software,override,1.0,standard_letf,2.920453197830077,computed,3605.6571878,71509.8228122
NBIS,software,override,1.0,standard_letf,3.1657766037233936,computed,3316.744785049996,78504.21521495
QUBT,quantum,override,1.0,standard_letf,3.657343380536942,computed,2880.619595999997,47219.140404
QBTS,quantum,override,1.0,standard_letf,4.077310935356446,computed,2647.5017315347995,32483.4982684652
PLTR,software,override,1.0,standard_letf,1.7903566787716079,computed,2012.7103419199996,63236.32965808
USAR,industrials,override,1.0,standard_letf,3.040864297428169,computed,1928.0208006943997,27495.5391993056
FLY,evtol,override,1.0,standard_letf,3.159727083891268,computed,1787.140339399999,21047.3596606
NVTS,semis,override,1.0,standard_letf,4.257920064257825,computed,1622.974056720006,129152.06594328
IONQ,quantum,override,1.0,standard_letf,3.359187887182876,computed,1613.7580247249998,62421.241975275
RCAT,drones,override,1.0,standard_letf,3.4425252927923906,computed,1581.800577220005,32000.99942278
FIGR,software,override,1.0,standard_letf,2.8557455640484393,computed,1458.6348540089984,23232.565145991
RDW,space,override,1.0,standard_letf,3.749036999495683,computed,1285.4756450000004,11104.924355
ETHA,crypto,override,1.0,standard_letf,2.96948281034266,computed,1197.2137117799994,69863.90628822
MSFT,mega-cap-tech,override,1.0,standard_letf,0.8003185269488805,computed,1158.3545760000052,64233.125424
ASTS,space,override,1.0,standard_letf,3.228723229175,computed,1099.275430120002,25029.52456988
RGTI,quantum,override,1.0,standard_letf,3.7861883491392807,computed,1063.9295417600006,16908.09045824
CRCL,software,override,1.0,standard_letf,3.033920107686827,computed,1000.945294979998,59592.33470502
DKNG,software,override,1.0,standard_letf,0.7963342571321939,computed,996.74,996.74
IBIT,crypto,override,1.0,standard_letf,1.802702866980832,computed,939.7188172968,81113.5611827032
BMNR,crypto-equity,override,1.0,standard_letf,5.025233074402912,computed,915.015702329998,38981.26429767
NFLX,mega-cap-tech,override,1.0,standard_letf,0.3217623315790996,computed,864.159583749999,58482.32041625
ONDS,drones,override,1.0,standard_letf,3.4686835559571576,computed,810.4123896400015,29742.38761036
RKLB,space,override,1.0,standard_letf,3.3248528972263798,computed,797.5137272000002,12748.0862728
BLSH,crypto-equity,override,1.0,standard_letf,2.676300106053648,computed,774.2397012329984,18401.760298767003
SNOW,software,override,1.0,standard_letf,1.27175792323306,computed,766.2325283700002,14668.96747163
HUT,crypto-equity,override,1.0,standard_letf,4.566000476906745,computed,753.442796245603,28457.1572037544
BBAI,software,override,1.0,standard_letf,3.0555413304637407,computed,732.207134000002,23547.192866
MRNA,healthcare,override,1.0,standard_letf,1.6404492750442818,computed,731.6431626384992,15603.4168373615
SNPS,software,vendor,0.75,standard_letf,1.5933202307050323,computed,722.9940138999996,4285.2059861
MDB,software,vendor,0.75,standard_letf,1.7467372933604177,computed,677.8503061454994,10987.2896938545
CIFR,crypto-equity,override,1.0,standard_letf,3.984591099129745,computed,672.9691508127999,19165.0308491872
TEM,software,override,1.0,standard_letf,2.5124072101626433,computed,660.4089048000005,17164.6310952
FIG,software,override,1.0,standard_letf,1.2418918468294895,computed,648.7207975965985,9763.3992024034
SRPT,healthcare,override,1.0,standard_letf,2.3689056351452864,computed,603.4783760049995,29846.521623995
COPX,metals,override,1.0,standard_letf,2.250203779408512,computed,592.1909151328018,16046.5490848672
GDX,metals,override,1.0,standard_letf,1.7025260061014063,computed,570.098853620002,37543.26114638
CRM,mega-cap-tech,override,1.0,standard_letf,0.5247909608106887,computed,568.4024800000007,18316.55752
RBLX,software,override,1.0,standard_letf,1.696768280751925,computed,542.9703703000005,14264.7896297
AAPL,mega-cap-tech,override,1.0,standard_letf,0.8754933344397672,computed,466.3593548400022,33145.08064516
LAC,metals,override,1.0,standard_letf,2.087658167721897,computed,466.1853199775997,14567.4146800224
TSLA,mega-cap-tech,override,1.0,standard_letf,2.0978772580424696,computed,440.3684362928001,56004.6315637072
FCX,metals,override,1.0,standard_letf,2.1368187311172027,computed,400.3795816055999,5216.2204183944
NU,fintech,override,1.0,standard_letf,1.3188592137241022,computed,378.2437007648987,15901.9762992351
CRML,metals,override,1.0,standard_letf,3.6140463211839493,computed,371.5177650000005,57707.942235
