etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.007913,1.0
ASTN,ASTS,-1.904012,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BEZ,BE,-1.982257,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
BMNZ,BMNR,-1.965766,1.0
CELT,CELH,-1.0,1.0
CLSZ,CLSK,-2.029592,1.0
CONI,COIN,-1.503785,1.0
CRCD,CRCL,-2.009102,1.0
CORD,CRWV,-2.006098,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-1.989229,1.0
SDOW,DIA,-2.987495,1.0
DKUP,DKNG,-1.0,1.0
HOOZ,HOOD,-2.009246,1.0
BTCZ,IBIT,-1.992099,1.0
IONZ,IONQ,-1.985274,1.0
IREZ,IREN,-2.009007,1.0
TWM,IWM,-2.003401,1.0
TZA,IWM,-2.990621,1.0
LITZ,LITE,-2.0,1.0
LYFX,LYFT,-1.0,1.0
MSDD,MSTR,-2.000171,1.0
MSTZ,MSTR,-1.982552,1.0
SMST,MSTR,-1.629699,1.0
NBIZ,NBIS,-1.988348,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVD,NVDA,-1.992809,1.0
NVDS,NVDA,-1.463646,1.0
OKLS,OKLO,-2.0038,1.0
OKTX,OKTA,-1.0,1.0
QBTZ,QBTS,-1.999031,1.0
QID,QQQ,-1.992674,1.0
QSX,QS,-1.0,1.0
RGTZ,RGTI,-1.75033,1.0
RKLZ,RKLB,-1.998054,1.0
SMCZ,SMCI,-1.988293,1.0
SNDQ,SNDK,-2.0,1.0
HIBS,SPHB,-3.015696,1.0
SPXS,SPY,-2.901883,1.0
SPXU,SPY,-2.89519,1.0
UVIX,SVIX,-2.046789,1.0
TBT,TLT,-1.981637,1.0
TBX,TLT,-0.42247,1.0
TMV,TLT,-2.965862,1.0
TSDD,TSLA,-1.993204,1.0
STSM,TSM,-1.985912,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.339667,1.0
DUG,XLE,-1.97721,1.0
SKF,XLF,-2.004365,1.0
FNGD,XLK,-2.820478,1.0
REW,XLK,-1.998668,1.0
TECS,XLK,-2.965186,1.0
WEBS,XLK,-2.237722,1.0
DRIP,XOP,-1.998735,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
